date,aristocracy,aristocrat,aristocratic,associate,backer,isPartial
2004-09-11,0,14,0,54,0,False
2004-09-12,7,0,0,46,13,False
2004-09-13,0,4,8,54,12,False
2004-09-14,4,7,0,56,4,False
2004-09-15,12,12,4,74,4,False
2004-09-16,4,4,0,56,4,False
2004-09-17,4,4,0,63,0,False
2004-09-18,7,13,0,33,13,False
2004-09-19,0,20,7,46,7,False
2004-09-20,12,8,0,65,15,False
2004-09-21,4,4,0,53,7,False
2004-09-22,4,4,0,100,4,False
2004-09-23,0,19,4,58,0,False
2004-09-24,0,8,0,63,4,False
2004-09-25,7,7,0,81,0,False
2004-09-26,0,7,0,53,7,False
2004-09-27,8,11,8,57,11,False
2004-09-28,0,7,0,40,11,False
2004-09-29,4,0,0,45,11,False
2004-09-30,0,0,0,42,8,False
2004-10-01,4,4,0,68,4,False
2004-10-02,7,0,0,80,7,False
2004-10-03,6,0,0,39,19,False
2004-10-04,0,4,0,92,7,False
2004-10-05,7,0,4,55,15,False
2004-10-06,4,0,0,66,8,False
2004-10-07,4,0,0,39,4,False
2004-10-08,4,0,4,67,13,False
2004-10-09,0,21,7,21,0,False
2004-10-10,0,0,0,53,13,False
2004-10-11,4,8,0,71,12,False
2004-10-12,0,0,0,78,16,False
2004-10-13,0,5,5,30,0,False
2004-10-14,0,4,0,74,8,False
2004-10-15,0,4,0,37,4,False
2004-10-16,20,0,0,33,13,False
2004-10-17,0,13,0,13,13,False
2004-10-18,7,4,0,82,0,False
2004-10-19,4,7,0,69,11,False
2004-10-20,4,4,0,71,0,False
2004-10-21,4,0,0,72,4,False
2004-10-22,4,12,4,77,8,False
2004-10-23,7,0,0,33,0,False
2004-10-24,0,0,0,31,0,False
2004-10-25,0,0,0,33,4,False
2004-10-26,7,0,4,46,0,False
2004-10-27,4,4,0,91,4,False
2004-10-28,0,0,0,48,4,False
2004-10-29,0,0,0,17,0,False
2004-10-30,9,0,0,57,0,False
2004-10-31,0,13,0,33,13,False
2004-11-01,8,4,0,69,4,False
2004-11-02,0,0,0,69,3,False
2004-11-03,4,4,0,96,7,False
2004-11-04,4,7,0,80,4,False
2004-11-05,4,4,0,54,4,False
2004-11-06,0,0,0,51,0,False
2004-11-07,0,0,0,31,19,False
2004-11-08,0,14,0,14,0,False
2004-11-09,0,0,0,0,0,False
2004-11-10,0,0,0,99,10,False
2004-11-11,4,8,0,46,4,False
2004-11-12,4,0,0,43,4,False
2004-11-13,6,0,0,50,0,False
2004-11-14,12,12,0,24,0,False
2004-11-15,4,0,0,36,4,False
2004-11-16,4,4,4,67,7,False
2004-11-17,7,4,0,47,4,False
2004-11-18,4,11,0,58,4,False
2004-11-19,0,13,0,26,0,False
2004-11-20,0,0,0,10,0,False
2004-11-21,0,6,0,42,6,False
2004-11-22,4,4,4,82,14,False
2004-11-23,0,4,4,26,4,False
2004-11-24,0,0,0,42,8,False
2004-11-25,7,0,0,48,0,False
2004-11-26,6,6,0,37,6,False
2004-11-27,0,6,0,32,0,False
2004-11-28,0,0,0,18,0,False
2004-11-29,10,0,3,69,3,False
2004-11-30,3,7,7,40,0,False
2004-12-01,0,3,0,28,14,False
2004-12-02,7,11,0,78,4,False
2004-12-03,0,0,0,77,11,False
2004-12-04,0,6,0,35,18,False
2004-12-05,6,0,0,29,6,False
2004-12-06,3,7,3,54,10,False
2004-12-07,3,0,0,86,10,False
2004-12-08,3,7,3,45,10,False
2004-12-09,3,7,7,31,7,False
2004-12-10,0,4,7,70,4,False
2004-12-11,0,0,0,35,12,False
2004-12-12,0,0,0,29,12,False
2004-12-13,0,0,0,52,7,False
2004-12-14,3,3,0,51,13,False
2004-12-15,0,4,0,43,4,False
2004-12-16,0,4,4,51,4,False
2004-12-17,4,4,0,32,0,False
2004-12-18,6,0,0,45,0,False
2004-12-19,6,6,0,52,0,False
2004-12-20,0,4,0,58,8,False
2004-12-21,0,0,0,74,8,False
2004-12-22,4,4,4,67,8,False
2004-12-23,0,0,0,33,5,False
2004-12-24,0,0,0,27,14,False
2004-12-25,0,0,0,19,9,False
2004-12-26,0,0,0,39,8,False
2004-12-27,0,5,0,33,5,False
2004-12-28,0,4,0,72,4,False
2004-12-29,4,4,0,42,4,False
2004-12-30,4,0,4,53,13,False
2004-12-31,0,0,0,34,0,False
2005-01-01,10,10,0,20,10,False
2005-01-02,6,12,0,59,0,False
2005-01-03,7,0,0,68,11,False
2005-01-04,3,3,0,61,3,False
2005-01-05,0,0,0,41,7,False
2005-01-06,0,7,0,72,7,False
2005-01-07,4,7,0,68,4,False
2005-01-08,0,6,0,50,17,False
2005-01-09,0,5,0,17,0,False
2005-01-10,0,16,0,43,13,False
2005-01-11,6,3,0,58,0,False
2005-01-12,7,10,0,69,3,False
2005-01-13,0,3,0,87,10,False
2005-01-14,3,7,0,69,3,False
2005-01-15,0,11,0,67,6,False
