date,charity,community,compensate,compensation,contribute,isPartial
2010-04-05,4,90,0,5,1,False
2010-04-06,5,88,0,6,1,False
2010-04-07,5,87,0,5,1,False
2010-04-08,4,86,0,5,1,False
2010-04-09,4,77,0,4,1,False
2010-04-10,4,59,0,3,1,False
2010-04-11,3,61,0,3,1,False
2010-04-12,4,92,0,5,1,False
2010-04-13,4,94,0,6,1,False
2010-04-14,6,87,0,5,1,False
2010-04-15,4,84,0,6,2,False
2010-04-16,6,78,0,5,1,False
2010-04-17,4,60,0,3,1,False
2010-04-18,4,60,0,2,1,False
2010-04-19,5,93,0,5,1,False
2010-04-20,5,86,0,6,1,False
2010-04-21,5,88,0,6,1,False
2010-04-22,4,85,0,5,1,False
2010-04-23,4,79,0,4,1,False
2010-04-24,3,58,0,3,1,False
2010-04-25,3,63,0,3,1,False
2010-04-26,4,87,0,5,1,False
2010-04-27,4,90,0,5,1,False
2010-04-28,4,87,0,5,1,False
2010-04-29,5,87,0,4,1,False
2010-04-30,4,81,0,5,1,False
2010-05-01,3,60,0,2,1,False
2010-05-02,5,61,0,3,1,False
2010-05-03,4,90,0,5,1,False
2010-05-04,4,89,0,5,1,False
2010-05-05,4,87,0,5,1,False
2010-05-06,4,86,0,5,1,False
2010-05-07,4,82,0,4,1,False
2010-05-08,3,59,0,2,0,False
2010-05-09,4,55,0,2,1,False
2010-05-10,4,92,0,5,1,False
2010-05-11,5,94,0,5,1,False
2010-05-12,5,95,0,5,1,False
2010-05-13,5,92,0,5,1,False
2010-05-14,4,84,0,5,1,False
2010-05-15,4,60,0,2,1,False
2010-05-16,3,64,0,3,1,False
2010-05-17,5,94,0,5,1,False
2010-05-18,4,90,0,5,1,False
2010-05-19,4,89,0,4,1,False
2010-05-20,4,86,0,5,1,False
2010-05-21,4,81,0,5,1,False
2010-05-22,3,62,0,3,0,False
2010-05-23,3,63,0,2,1,False
2010-05-24,4,91,0,5,1,False
2010-05-25,4,90,0,5,1,False
2010-05-26,4,86,0,5,1,False
2010-05-27,4,80,0,4,1,False
2010-05-28,4,71,0,5,1,False
2010-05-29,3,53,0,2,1,False
2010-05-30,3,53,0,2,0,False
2010-05-31,3,58,0,2,1,False
2010-06-01,4,93,0,5,1,False
2010-06-02,4,87,0,5,1,False
2010-06-03,4,87,0,5,1,False
2010-06-04,4,77,0,4,1,False
2010-06-05,2,57,0,3,1,False
2010-06-06,3,55,0,2,0,False
2010-06-07,5,91,0,6,1,False
2010-06-08,4,87,0,5,1,False
2010-06-09,3,82,0,5,1,False
2010-06-10,4,79,0,5,1,False
2010-06-11,4,79,0,5,0,False
2010-06-12,2,56,0,3,1,False
2010-06-13,3,56,0,3,1,False
2010-06-14,4,86,0,6,1,False
2010-06-15,4,84,0,5,1,False
2010-06-16,3,82,0,6,1,False
2010-06-17,4,80,0,5,1,False
2010-06-18,4,73,0,5,1,False
2010-06-19,3,52,0,3,1,False
2010-06-20,3,56,0,3,1,False
2010-06-21,4,84,0,5,1,False
2010-06-22,4,83,0,6,1,False
2010-06-23,4,82,0,5,1,False
2010-06-24,4,77,0,5,1,False
2010-06-25,3,73,0,5,1,False
2010-06-26,3,52,0,2,0,False
2010-06-27,3,55,0,2,0,False
2010-06-28,4,85,0,5,1,False
2010-06-29,3,85,0,6,1,False
2010-06-30,3,79,0,5,1,False
2010-07-01,4,77,0,4,1,False
2010-07-02,3,62,0,4,1,False
2010-07-03,2,42,0,2,0,False
2010-07-04,1,44,0,1,0,False
2010-07-05,2,55,0,2,0,False
2010-07-06,3,82,0,5,0,False
2010-07-07,3,80,0,4,1,False
2010-07-08,3,74,0,5,1,False
2010-07-09,3,74,0,4,1,False
2010-07-10,2,48,0,2,0,False
2010-07-11,3,52,0,3,1,False
2010-07-12,3,84,0,5,0,False
2010-07-13,4,80,0,5,0,False
2010-07-14,3,75,0,4,1,False
2010-07-15,3,73,0,4,1,False
2010-07-16,3,68,0,4,0,False
2010-07-17,2,50,0,2,0,False
2010-07-18,3,52,0,3,0,False
2010-07-19,4,82,0,5,1,False
2010-07-20,4,80,0,6,1,False
2010-07-21,3,83,0,5,1,False
2010-07-22,3,73,0,5,0,False
2010-07-23,3,67,0,4,1,False
2010-07-24,2,49,0,2,1,False
2010-07-25,2,53,0,2,1,False
2010-07-26,3,82,0,4,1,False
2010-07-27,4,81,0,4,1,False
2010-07-28,3,79,0,5,1,False
2010-07-29,3,75,0,5,0,False
2010-07-30,3,72,0,5,0,False
2010-07-31,3,48,0,3,0,False
2010-08-01,3,50,0,2,0,False
2010-08-02,3,82,0,4,1,False
2010-08-03,3,82,0,5,1,False
2010-08-04,4,85,0,4,1,False
2010-08-05,4,79,0,4,1,False
2010-08-06,4,75,0,4,0,False
2010-08-07,3,51,0,2,0,False
2010-08-08,4,57,0,3,0,False
2010-08-09,4,88,0,4,1,False
2010-08-10,4,86,0,5,1,False
2010-08-11,4,81,0,4,0,False
2010-08-12,3,82,0,4,1,False
2010-08-13,3,74,0,4,1,False
2010-08-14,3,53,0,2,0,False
2010-08-15,2,56,0,2,1,False
2010-08-16,4,94,0,4,1,False
2010-08-17,4,90,0,4,1,False
2010-08-18,4,91,0,4,0,False
2010-08-19,3,87,0,4,1,False
2010-08-20,3,81,0,3,0,False
2010-08-21,3,57,0,1,0,False
2010-08-22,4,59,0,2,0,False
2010-08-23,3,100,0,4,1,False
2010-08-24,3,94,0,4,1,False
2010-08-25,3,91,0,5,1,False
2010-08-26,3,89,0,4,1,False
2010-08-27,3,75,0,3,1,False
2010-08-28,2,54,0,2,0,False
2010-08-29,3,59,0,2,1,False
2010-08-30,4,96,0,4,1,False
2010-08-31,4,89,0,5,1,False
2010-09-01,3,88,0,4,1,False
2010-09-02,4,81,0,4,1,False
2010-09-03,3,71,0,4,1,False
2010-09-04,2,51,0,2,1,False
2010-09-05,3,47,0,2,0,False
2010-09-06,2,52,0,2,1,False
