date,backward,backwardness,broke,cheap,colony,isPartial
2005-05-23,0,0,2,78,5,False
2005-05-24,0,0,2,79,5,False
2005-05-25,1,0,2,79,4,False
2005-05-26,0,0,2,79,4,False
2005-05-27,0,0,2,76,5,False
2005-05-28,1,0,2,90,3,False
2005-05-29,1,0,1,79,3,False
2005-05-30,0,0,2,83,5,False
2005-05-31,1,0,1,81,5,False
2005-06-01,2,0,1,86,5,False
2005-06-02,1,0,2,79,4,False
2005-06-03,0,0,1,78,3,False
2005-06-04,1,0,2,91,3,False
2005-06-05,1,0,1,96,3,False
2005-06-06,0,0,1,82,5,False
2005-06-07,0,0,1,84,3,False
2005-06-08,0,0,1,82,5,False
2005-06-09,0,0,2,84,5,False
2005-06-10,0,0,1,82,3,False
2005-06-11,0,0,3,88,3,False
2005-06-12,0,0,1,92,5,False
2005-06-13,0,0,1,82,5,False
2005-06-14,0,0,2,84,3,False
2005-06-15,1,0,2,80,4,False
2005-06-16,0,0,1,83,5,False
2005-06-17,0,0,0,80,5,False
2005-06-18,1,0,1,79,5,False
2005-06-19,0,0,2,86,5,False
2005-06-20,1,0,2,88,4,False
2005-06-21,0,0,1,83,3,False
2005-06-22,1,0,1,89,4,False
2005-06-23,1,0,1,89,4,False
2005-06-24,0,0,1,82,3,False
2005-06-25,0,0,2,97,4,False
2005-06-26,0,0,1,93,4,False
2005-06-27,0,0,1,87,5,False
2005-06-28,0,0,2,76,3,False
2005-06-29,0,0,1,83,5,False
2005-06-30,1,0,1,79,4,False
2005-07-01,0,0,2,86,3,False
2005-07-02,1,0,2,94,5,False
2005-07-03,0,0,1,82,4,False
2005-07-04,0,0,1,83,4,False
2005-07-05,0,0,1,87,5,False
2005-07-06,1,0,2,87,5,False
2005-07-07,1,0,1,85,4,False
2005-07-08,1,0,1,83,4,False
2005-07-09,0,0,2,90,3,False
2005-07-10,1,0,2,100,4,False
2005-07-11,1,0,2,84,4,False
2005-07-12,0,0,2,85,5,False
2005-07-13,1,0,2,85,4,False
2005-07-14,0,0,1,83,3,False
2005-07-15,0,0,1,76,5,False
2005-07-16,1,0,1,84,5,False
2005-07-17,0,0,2,97,4,False
2005-07-18,0,0,2,84,6,False
2005-07-19,0,0,2,82,4,False
2005-07-20,1,0,1,84,4,False
2005-07-21,1,0,1,79,4,False
2005-07-22,1,0,2,81,5,False
2005-07-23,0,0,2,87,4,False
2005-07-24,0,0,1,90,3,False
2005-07-25,0,0,2,90,4,False
2005-07-26,1,0,2,88,5,False
2005-07-27,1,0,1,81,4,False
2005-07-28,1,0,1,83,3,False
2005-07-29,1,0,2,83,4,False
2005-07-30,0,0,1,82,5,False
2005-07-31,0,0,1,85,4,False
2005-08-01,1,0,2,88,6,False
2005-08-02,1,0,1,80,4,False
2005-08-03,0,0,1,86,4,False
2005-08-04,0,0,1,82,4,False
2005-08-05,0,0,2,84,4,False
2005-08-06,0,0,2,81,3,False
2005-08-07,1,0,1,80,4,False
2005-08-08,1,0,1,86,5,False
2005-08-09,1,0,2,83,4,False
2005-08-10,0,0,1,85,5,False
2005-08-11,0,0,2,91,4,False
2005-08-12,1,0,1,83,4,False
2005-08-13,0,0,1,96,3,False
2005-08-14,0,0,2,92,4,False
2005-08-15,0,0,1,88,6,False
2005-08-16,0,0,2,89,5,False
2005-08-17,1,0,1,90,2,False
2005-08-18,0,0,1,84,4,False
2005-08-19,0,0,2,81,4,False
2005-08-20,0,0,1,90,4,False
2005-08-21,0,0,2,94,4,False
2005-08-22,0,0,0,77,4,False
2005-08-23,0,0,2,86,4,False
2005-08-24,1,0,3,99,3,False
2005-08-25,0,0,1,78,4,False
2005-08-26,0,0,1,77,5,False
2005-08-27,1,0,1,91,3,False
2005-08-28,1,0,2,86,5,False
2005-08-29,1,0,2,81,3,False
2005-08-30,0,0,2,86,5,False
2005-08-31,1,0,2,96,5,False
2005-09-01,0,0,1,96,6,False
2005-09-02,0,0,2,91,6,False
2005-09-03,1,0,1,91,4,False
2005-09-04,0,0,1,87,4,False
