date,lay,liquidate,miser,owe,recession,isPartial
2008-11-13,44,0,1,6,38,False
2008-11-14,39,0,3,3,32,False
2008-11-15,37,0,2,8,24,False
2008-11-16,39,0,2,1,22,False
2008-11-17,41,0,2,4,47,False
2008-11-18,45,1,3,7,36,False
2008-11-19,47,1,3,6,26,False
2008-11-20,43,1,4,5,48,False
2008-11-21,37,0,2,4,36,False
2008-11-22,41,0,3,4,20,False
2008-11-23,55,0,3,4,27,False
2008-11-24,42,0,4,4,29,False
2008-11-25,41,1,2,4,24,False
2008-11-26,32,0,3,4,24,False
2008-11-27,38,0,1,3,13,False
2008-11-28,29,1,4,4,17,False
2008-11-29,44,0,7,4,14,False
2008-11-30,39,2,5,4,13,False
2008-12-01,33,0,3,7,72,False
2008-12-02,42,0,4,4,100,False
2008-12-03,42,2,6,3,61,False
2008-12-04,40,0,7,5,44,False
2008-12-05,40,0,7,5,49,False
2008-12-06,43,0,7,5,38,False
2008-12-07,45,1,9,5,28,False
2008-12-08,41,0,6,7,35,False
2008-12-09,45,0,6,4,35,False
2008-12-10,44,0,9,4,29,False
2008-12-11,41,1,7,6,36,False
2008-12-12,44,0,8,5,28,False
2008-12-13,37,1,15,5,18,False
2008-12-14,32,1,29,4,20,False
2008-12-15,35,1,10,4,27,False
2008-12-16,34,0,9,5,31,False
2008-12-17,34,0,8,6,29,False
2008-12-18,40,0,8,3,29,False
2008-12-19,47,0,11,6,24,False
2008-12-20,39,0,8,5,13,False
2008-12-21,33,1,9,5,14,False
2008-12-22,30,0,7,5,24,False
2008-12-23,32,1,10,5,21,False
2008-12-24,39,1,16,3,16,False
2008-12-25,30,0,15,1,19,False
2008-12-26,38,0,3,4,17,False
2008-12-27,38,0,4,6,19,False
2008-12-28,39,0,4,4,14,False
2008-12-29,39,0,1,5,18,False
2008-12-30,35,0,2,4,22,False
2008-12-31,33,0,3,5,13,False
2009-01-01,35,1,3,3,14,False
2009-01-02,36,1,1,6,14,False
2009-01-03,34,0,1,3,13,False
2009-01-04,48,0,1,6,14,False
2009-01-05,40,0,1,8,19,False
2009-01-06,46,0,1,6,21,False
2009-01-07,44,1,1,9,18,False
2009-01-08,46,0,1,6,24,False
2009-01-09,44,0,2,7,32,False
2009-01-10,45,1,3,5,22,False
2009-01-11,40,0,2,5,23,False
2009-01-12,43,0,2,7,21,False
2009-01-13,40,1,3,7,24,False
2009-01-14,35,0,2,8,23,False
2009-01-15,43,0,4,10,26,False
2009-01-16,36,6,2,7,27,False
2009-01-17,46,2,2,11,17,False
2009-01-18,42,2,2,4,19,False
2009-01-19,40,1,0,6,25,False
2009-01-20,36,1,1,7,25,False
2009-01-21,48,1,2,9,21,False
2009-01-22,44,1,1,9,32,False
2009-01-23,50,1,2,6,25,False
2009-01-24,44,0,2,10,18,False
2009-01-25,46,0,1,7,21,False
2009-01-26,51,1,2,6,31,False
2009-01-27,54,1,3,9,33,False
2009-01-28,54,1,1,7,35,False
2009-01-29,50,0,1,7,32,False
2009-01-30,44,0,1,8,39,False
2009-01-31,42,1,2,9,26,False
2009-02-01,55,2,2,9,26,False
2009-02-02,49,1,1,9,34,False
2009-02-03,41,1,1,7,29,False
2009-02-04,47,1,1,13,27,False
2009-02-05,40,0,2,8,31,False
2009-02-06,43,0,2,9,38,False
2009-02-07,46,0,3,7,28,False
2009-02-08,41,1,1,7,23,False
2009-02-09,40,1,1,9,33,False
2009-02-10,47,0,1,8,44,False
2009-02-11,44,0,2,11,35,False
2009-02-12,39,0,2,9,34,False
2009-02-13,41,1,3,8,29,False
2009-02-14,42,1,0,5,21,False
2009-02-15,38,1,1,6,25,False
2009-02-16,42,1,2,8,29,False
2009-02-17,45,0,1,11,31,False
2009-02-18,38,0,1,11,32,False
2009-02-19,49,1,1,8,28,False
2009-02-20,42,0,2,7,31,False
2009-02-21,42,0,2,4,34,False
2009-02-22,49,1,1,7,22,False
2009-02-23,38,0,1,8,31,False
2009-02-24,35,0,1,8,39,False
2009-02-25,42,1,1,6,31,False
2009-02-26,41,1,2,7,36,False
2009-02-27,50,0,1,8,29,False
2009-02-28,33,0,0,8,26,False
2009-03-01,44,1,2,5,24,False
2009-03-02,41,0,1,9,37,False
2009-03-03,43,0,3,5,34,False
2009-03-04,45,1,1,6,36,False
2009-03-05,45,1,1,8,32,False
2009-03-06,38,1,3,7,37,False
2009-03-07,46,1,1,6,31,False
2009-03-08,39,0,1,5,35,False
2009-03-09,44,1,3,8,42,False
2009-03-10,49,1,3,6,34,False
2009-03-11,42,0,1,4,36,False
2009-03-12,38,1,1,5,36,False
2009-03-13,39,0,1,10,32,False
2009-03-14,38,0,0,4,24,False
2009-03-15,44,1,2,9,19,False
2009-03-16,40,1,1,8,36,False
2009-03-17,37,0,0,8,26,False
2009-03-18,37,0,1,6,26,False
2009-03-19,38,0,1,6,25,False
2009-03-20,44,1,1,9,24,False
2009-03-21,36,0,3,4,17,False
2009-03-22,39,0,2,6,25,False
2009-03-23,41,0,1,8,22,False
2009-03-24,46,0,1,6,25,False
2009-03-25,40,0,0,6,28,False
2009-03-26,41,0,1,10,32,False
2009-03-27,48,0,1,4,22,False
2009-03-28,37,0,1,4,19,False
2009-03-29,43,0,2,4,16,False
2009-03-30,44,0,3,10,24,False
2009-03-31,33,0,1,7,26,False
2009-04-01,40,0,1,7,21,False
2009-04-02,41,1,1,9,27,False
2009-04-03,43,0,0,6,22,False
2009-04-04,36,1,1,6,18,False
2009-04-05,45,0,2,3,21,False
2009-04-06,48,0,2,11,30,False
2009-04-07,41,0,1,8,26,False
2009-04-08,40,0,1,6,29,False
2009-04-09,42,1,1,6,29,False
2009-04-10,49,0,1,9,24,False
2009-04-11,44,1,0,8,20,False
2009-04-12,38,0,1,12,15,False
2009-04-13,40,0,1,10,22,False
2009-04-14,42,0,2,15,30,False
2009-04-15,44,0,2,16,22,False
2009-04-16,45,0,1,10,20,False
2009-04-17,41,1,1,7,18,False
2009-04-18,48,1,2,7,18,False
2009-04-19,40,0,3,4,19,False
2009-04-20,42,0,1,6,25,False
2009-04-21,41,1,1,7,30,False
2009-04-22,51,1,1,7,27,False
2009-04-23,54,1,1,5,26,False
2009-04-24,37,1,2,4,29,False
2009-04-25,40,1,3,3,14,False
2009-04-26,46,1,2,3,20,False
2009-04-27,46,1,1,6,21,False
2009-04-28,42,0,1,7,21,False
2009-04-29,41,0,1,7,18,False
2009-04-30,48,0,1,7,23,False
2009-05-01,47,1,2,5,16,False
2009-05-02,40,0,1,3,13,False
2009-05-03,41,0,2,6,19,False
2009-05-04,42,1,2,7,28,False
2009-05-05,43,1,2,8,25,False
2009-05-06,49,0,1,5,23,False
2009-05-07,46,1,1,8,18,False
2009-05-08,34,0,1,8,18,False
2009-05-09,48,0,1,5,16,False
2009-05-10,47,0,1,4,15,False
2009-05-11,42,1,2,5,20,False
2009-05-12,42,0,1,5,19,False
2009-05-13,42,1,1,7,19,False
2009-05-14,40,1,2,6,19,False
2009-05-15,39,0,2,4,13,False
2009-05-16,38,1,1,6,12,False
2009-05-17,42,1,1,6,20,False
2009-05-18,44,1,1,7,21,False
2009-05-19,44,1,1,3,20,False
2009-05-20,37,0,2,7,23,False
2009-05-21,45,0,1,4,13,False
2009-05-22,41,0,2,5,18,False
2009-05-23,40,0,1,7,9,False
2009-05-24,34,1,1,5,13,False
2009-05-25,52,0,1,4,15,False
2009-05-26,45,1,2,4,13,False
2009-05-27,38,0,0,3,20,False
2009-05-28,38,1,0,6,21,False
2009-05-29,42,1,2,5,15,False
2009-05-30,39,0,1,4,9,False
2009-05-31,42,1,1,2,10,False
2009-06-01,43,0,1,5,14,False
2009-06-02,38,0,1,5,15,False
2009-06-03,38,0,1,5,16,False
2009-06-04,44,0,1,5,15,False
2009-06-05,37,1,2,4,20,False
2009-06-06,47,1,2,5,13,False
2009-06-07,42,0,1,8,14,False
2009-06-08,35,0,1,4,18,False
2009-06-09,35,0,1,5,14,False
2009-06-10,32,1,2,5,12,False
2009-06-11,32,1,1,3,16,False
2009-06-12,38,0,1,6,8,False
2009-06-13,38,0,2,5,11,False
2009-06-14,46,0,2,6,9,False
2009-06-15,40,0,1,4,19,False
2009-06-16,40,0,0,4,18,False
