date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2011-08-26,0,2,48,42,8,False
2011-08-27,0,2,37,39,12,False
2011-08-28,0,1,32,69,11,False
2011-08-29,1,3,52,54,10,False
2011-08-30,0,2,53,46,8,False
2011-08-31,0,2,57,46,12,False
2011-09-01,0,2,47,43,10,False
2011-09-02,1,2,48,46,11,False
2011-09-03,1,1,25,35,11,False
2011-09-04,0,2,25,55,12,False
2011-09-05,0,2,33,36,16,False
2011-09-06,0,2,57,45,8,False
2011-09-07,0,3,57,50,11,False
2011-09-08,0,1,56,50,11,False
2011-09-09,0,1,51,44,9,False
2011-09-10,1,1,29,41,9,False
2011-09-11,1,1,34,62,13,False
2011-09-12,0,2,59,51,13,False
2011-09-13,0,3,60,51,11,False
2011-09-14,1,3,55,51,9,False
2011-09-15,1,2,59,48,11,False
2011-09-16,0,3,51,47,11,False
2011-09-17,0,1,30,43,13,False
2011-09-18,0,1,33,55,12,False
2011-09-19,0,3,55,47,9,False
2011-09-20,0,2,63,48,13,False
2011-09-21,0,2,58,46,11,False
2011-09-22,0,2,52,46,13,False
2011-09-23,0,2,50,41,11,False
2011-09-24,0,1,32,39,7,False
2011-09-25,0,1,32,66,11,False
2011-09-26,0,2,63,50,11,False
2011-09-27,0,2,62,44,10,False
2011-09-28,0,4,64,45,11,False
2011-09-29,1,3,58,44,12,False
2011-09-30,0,3,61,49,13,False
2011-10-01,0,1,32,33,14,False
2011-10-02,0,1,32,65,12,False
2011-10-03,0,2,64,51,9,False
2011-10-04,0,3,60,47,11,False
2011-10-05,0,3,57,41,11,False
2011-10-06,1,3,59,49,11,False
2011-10-07,1,2,56,42,8,False
2011-10-08,0,2,26,40,8,False
2011-10-09,0,2,31,52,8,False
2011-10-10,0,4,61,45,12,False
2011-10-11,0,3,63,48,11,False
2011-10-12,1,4,67,48,10,False
2011-10-13,1,2,59,45,10,False
2011-10-14,0,2,54,44,7,False
2011-10-15,0,1,33,35,11,False
2011-10-16,0,2,32,52,13,False
2011-10-17,0,2,52,48,13,False
2011-10-18,0,2,60,52,10,False
2011-10-19,0,2,57,49,13,False
2011-10-20,0,3,55,49,11,False
2011-10-21,0,3,50,44,13,False
2011-10-22,0,1,31,39,9,False
2011-10-23,1,2,30,58,11,False
2011-10-24,1,2,62,49,13,False
2011-10-25,1,3,59,52,12,False
2011-10-26,0,1,54,42,11,False
