date,lay,liquidate,miser,owe,recession
2004-03-19,35.5763451464,0.0,1.28519299734,1.92777792859,3.19945701947
2004-03-20,42.9369682802,0.0,2.57038599469,7.71111171437,0.0
2004-03-21,45.3905093247,0.0,0.0,0.0,0.0
2004-03-22,87.1007070826,0.0,0.0,8.67500067866,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,55.2046735031,0.0,1.92778949602,0.0,0.0
2004-03-25,60.1117555922,0.0,0.0,0.0,12.7978280779
2004-03-26,55.2046735031,0.0,8.99635098141,0.0,0.0
2004-03-27,38.029886191,0.0,0.0,3.85555585718,6.39891403894
2004-03-28,34.3495746241,0.0,0.0,3.85555585718,0.0
2004-03-29,46.617279847,0.0,0.0,6.74722275007,14.3975565876
2004-03-30,40.4834272356,0.0,1.28519299734,0.0,3.19945701947
2004-03-31,46.617279847,0.0,1.28519299734,3.85555585718,6.39891403894
2004-04-01,31.8960335796,0.0,0.0,3.85555585718,3.19945701947
2004-04-02,31.8960335796,0.0,1.28519299734,4.81944482148,7.99864254867
2004-04-03,51.5243619362,0.0,5.14077198938,0.0,6.39891403894
2004-04-04,35.5763451464,0.0,2.57038599469,3.85555585718,0.0
2004-04-05,57.6582145477,0.0,1.28519299734,0.0,17.5970136071
2004-04-06,38.029886191,0.0,2.57038599469,3.85555585718,6.39891403894
2004-04-07,46.617279847,0.0,1.28519299734,3.85555585718,6.39891403894
2004-04-08,65.0188376814,0.0,1.28519299734,4.81944482148,3.19945701947
2004-04-09,46.617279847,0.0,5.14077198938,4.81944482148,7.99864254867
2004-04-10,38.029886191,0.0,2.57038599469,7.71111171437,0.0
2004-04-11,76.059772382,0.0,0.0,0.0,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,49.0708208916,0.0,0.0,5.78333378578,6.39891403894
2004-04-15,55.2046735031,0.0,0.0,14.4583344644,3.19945701947
2004-04-16,49.0708208916,0.0,0.0,11.5666675716,7.99864254867
2004-04-17,73.6062313374,0.0,0.0,3.85555585718,6.39891403894
2004-04-18,63.7920671591,0.0,0.0,3.85555585718,6.39891403894
2004-04-19,69.9259197706,0.0,0.0,1.92777792859,6.39891403894
2004-04-20,45.3905093247,0.0,0.0,0.0,19.1967421168
2004-04-21,71.1526902928,0.0,1.28519299734,9.63888964296,6.39891403894
2004-04-22,36.8031156687,0.0,0.0,0.0,0.0
2004-04-23,53.9779029808,0.0,1.28519299734,1.92777792859,0.0
2004-04-24,28.2157220127,0.0,0.0,0.0,6.39891403894
2004-04-25,66.2456082037,0.0,0.0,3.85555585718,0.0
2004-04-26,61.3385261145,0.0,2.57038599469,1.92777792859,3.19945701947
2004-04-27,36.8031156687,0.0,0.0,5.78333378578,0.0
2004-04-28,60.1117555922,0.0,2.57038599469,5.78333378578,9.59837105841
2004-04-29,56.4314440254,0.0,1.28519299734,0.0,9.59837105841
2004-04-30,65.0188376814,0.0,0.0,0.0,3.19945701947
2004-05-01,40.4834272356,0.0,0.0,0.0,0.0
2004-05-02,47.8440503693,0.0,0.0,6.74722275007,0.0
2004-05-03,45.3905093247,0.0,2.57038599469,3.85555585718,6.39891403894
2004-05-04,58.8849850699,0.0,1.28519299734,5.78333378578,0.0
2004-05-05,72.3794608151,0.0,0.0,1.92777792859,3.19945701947
2004-05-06,42.9369682802,0.0,0.0,3.85555585718,0.0
2004-05-07,55.2046735031,0.0,0.0,1.92777792859,11.1980995681
