date,hustle,hustler,inflation,jobless,laid
2004-01-01,0.0,102.784455153,71.2940713807,0.0,51.9074394329
2004-01-02,10.7266054,111.349826416,92.4182406786,1.32905857603,11.5349865406
2004-01-03,13.40825675,122.770321433,50.1699020827,0.0,40.3724528923
2004-01-04,37.5431189,122.770321433,124.104494626,1.66132322003,69.2099192439
2004-01-05,0.0,128.480568941,118.823452301,0.0,0.0
2004-01-06,0.0,65.6678463478,100.339804165,1.32905857603,77.8611591494
2004-01-07,8.04495404999,62.8127225936,81.8561560296,0.0,23.0699730813
2004-01-08,16.0899081,105.639578907,36.9672962715,0.0,49.0236927977
2004-01-09,0.0,125.625445187,47.5293809204,0.99679393202,34.6049596219
2004-01-10,13.40825675,117.060073924,71.2940713807,0.0,40.3724528923
2004-01-11,24.13486215,91.3639601361,110.901888814,1.66132322003,66.3261726087
2004-01-12,16.0899081,71.3780938563,79.2156348674,0.0,17.302479811
2004-01-13,8.04495404999,54.2473513308,118.823452301,0.0,54.7911860681
2004-01-14,0.0,45.681980068,79.2156348674,0.0,31.7212129868
2004-01-15,8.04495404999,99.9293313988,129.38553695,1.66132322003,14.4187331758
2004-01-16,0.0,57.1024750851,84.4966771919,0.99679393202,17.302479811
2004-01-17,0.0,77.0883413648,36.9672962715,1.32905857603,40.3724528923
2004-01-18,24.13486215,77.0883413648,60.7319867317,1.66132322003,66.3261726087
2004-01-19,24.13486215,71.3780938563,66.0130290562,0.0,54.7911860681
2004-01-20,8.04495404999,85.6537126276,92.4182406786,0.0,31.7212129868
2004-01-21,8.04495404999,82.7985888733,55.4509444072,0.99679393202,46.1399461626
2004-01-22,0.0,31.4063612968,92.4182406786,2.65811715205,37.4887062571
2004-01-23,16.0899081,71.3780938563,118.823452301,1.99358786404,17.302479811
2004-01-24,0.0,171.307425255,79.2156348674,1.32905857603,49.0236927977
2004-01-25,0.0,71.3780938563,34.3267751092,2.65811715205,49.0236927977
2004-01-26,8.04495404999,59.9575988393,124.104494626,0.0,37.4887062571
2004-01-27,13.40825675,59.9575988393,89.7777195164,0.0,14.4187331758
2004-01-28,0.0,97.0742076446,76.5751137052,0.0,83.6286524197
2004-01-29,0.0,105.639578907,113.542409977,2.65811715205,31.7212129868
2004-01-30,0.0,57.1024750851,60.7319867317,0.0,8.65123990549
2004-01-31,10.7266054,59.9575988393,44.8888597582,0.0,86.5123990549
2004-02-01,0.0,62.8127225936,126.745015788,1.32905857603,63.4424259736
2004-02-02,13.40825675,51.3922275765,68.6535502184,0.0,28.8374663516
2004-02-03,5.3633027,42.8268563138,26.4052116225,1.66132322003,20.1862264461
2004-02-04,13.40825675,62.8127225936,79.2156348674,1.66132322003,14.4187331758
2004-02-05,18.77155945,85.6537126276,92.4182406786,0.0,14.4187331758
2004-02-06,21.4532108,88.5088363818,76.5751137052,1.66132322003,0.0
2004-02-07,29.49816485,191.293291535,29.0457327847,0.0,63.4424259736
2004-02-08,16.0899081,108.494702662,50.1699020827,0.0,17.302479811
2004-02-09,0.0,51.3922275765,105.62084649,1.66132322003,14.4187331758
2004-02-10,21.4532108,85.6537126276,92.4182406786,0.99679393202,37.4887062571
2004-02-11,8.04495404999,57.1024750851,121.463973463,0.0,37.4887062571
2004-02-12,8.04495404999,65.6678463478,116.182931139,0.0,23.0699730813
2004-02-13,8.04495404999,62.8127225936,132.026058112,0.0,23.0699730813
2004-02-14,0.0,99.9293313988,92.4182406786,0.0,51.9074394329
2004-02-15,10.7266054,154.17668273,58.0914655694,0.0,25.9537197165
2004-02-16,0.0,65.6678463478,124.104494626,0.99679393202,43.2561995274
2004-02-17,8.04495404999,65.6678463478,100.339804165,0.0,8.65123990549
2004-02-18,18.77155945,34.261485051,163.712312059,0.0,34.6049596219
2004-02-19,8.04495404999,79.9434651191,87.1371983541,0.99679393202,14.4187331758
2004-02-20,16.0899081,102.784455153,79.2156348674,0.99679393202,49.0236927977
2004-02-21,0.0,285.512375425,110.901888814,1.32905857603,60.5586793384
2004-02-22,0.0,128.480568941,87.1371983541,0.0,34.6049596219
2004-02-23,0.0,77.0883413648,92.4182406786,0.0,28.8374663516
2004-02-24,0.0,85.6537126276,113.542409977,0.0,37.4887062571
2004-02-25,18.77155945,62.8127225936,66.0130290562,0.0,14.4187331758
2004-02-26,0.0,62.8127225936,73.9345925429,0.664529288013,43.2561995274
2004-02-27,21.4532108,45.681980068,108.261367652,0.0,8.65123990549
2004-02-28,24.13486215,159.886930238,68.6535502184,1.32905857603,0.0
2004-02-29,64.3596323999,139.901063958,31.686253947,0.0,106.698625501
2004-03-01,26.8165135,59.9575988393,73.9345925429,2.32585250805,40.3724528923
2004-03-02,26.8165135,97.0742076446,84.4966771919,0.664529288013,49.0236927977
2004-03-03,48.2697243,74.2332176106,68.6535502184,0.0,0.0
2004-03-04,29.49816485,79.9434651191,73.9345925429,1.32905857603,51.9074394329
2004-03-05,0.0,79.9434651191,171.633875546,0.0,25.9537197165
2004-03-06,0.0,77.0883413648,52.8104232449,0.0,37.4887062571
2004-03-07,64.3596323999,205.568910306,63.3725078939,0.0,69.2099192439
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,18.77155945,59.9575988393,81.8561560296,0.0,20.1862264461
2004-03-11,0.0,79.9434651191,23.7646904602,2.99038179606,25.9537197165
2004-03-12,21.4532108,119.915197679,71.2940713807,0.0,77.8611591494
2004-03-13,24.13486215,137.045940204,116.182931139,0.0,51.9074394329
2004-03-14,10.7266054,134.19081645,89.7777195164,0.0,11.5349865406
2004-03-15,21.4532108,57.1024750851,52.8104232449,0.0,28.8374663516
2004-03-16,13.40825675,57.1024750851,84.4966771919,0.0,34.6049596219
2004-03-17,5.3633027,77.0883413648,92.4182406786,0.0,43.2561995274
2004-03-18,0.0,97.0742076446,102.980325328,0.0,37.4887062571
2004-03-19,8.04495404999,111.349826416,73.9345925429,0.99679393202,63.4424259736
2004-03-20,0.0,139.901063958,58.0914655694,1.32905857603,11.5349865406
2004-03-21,21.4532108,108.494702662,89.7777195164,0.0,49.0236927977
2004-03-22,0.0,85.6537126276,184.836481357,0.0,115.349865406
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,18.77155945,68.5229701021,71.2940713807,0.0,40.3724528923
2004-03-25,50.95137565,79.9434651191,73.9345925429,0.0,25.9537197165
2004-03-26,0.0,77.0883413648,71.2940713807,0.0,23.0699730813
2004-03-27,10.7266054,122.770321433,44.8888597582,0.0,37.4887062571
2004-03-28,58.9963296999,77.0883413648,81.8561560296,0.0,11.5349865406
2004-03-29,21.4532108,42.8268563138,105.62084649,0.99679393202,51.9074394329
2004-03-30,42.9064216,79.9434651191,92.4182406786,0.664529288013,25.9537197165
2004-03-31,18.77155945,68.5229701021,81.8561560296,0.0,28.8374663516
2004-04-01,5.3633027,62.8127225936,84.4966771919,0.664529288013,20.1862264461
2004-04-02,34.86146755,119.915197679,68.6535502184,0.99679393202,51.9074394329
2004-04-03,0.0,111.349826416,58.0914655694,0.0,37.4887062571
2004-04-04,0.0,82.7985888733,55.4509444072,1.32905857603,106.698625501
2004-04-05,21.4532108,65.6678463478,100.339804165,0.0,23.0699730813
2004-04-06,18.77155945,42.8268563138,66.0130290562,0.0,14.4187331758
2004-04-07,8.04495404999,94.2190838903,79.2156348674,0.99679393202,23.0699730813
2004-04-08,13.40825675,88.5088363818,102.980325328,1.66132322003,60.5586793384
2004-04-09,8.04495404999,79.9434651191,116.182931139,0.99679393202,34.6049596219
2004-04-10,0.0,114.20495017,116.182931139,0.0,25.9537197165
2004-04-11,0.0,79.9434651191,147.869185086,0.0,80.7449057845
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,26.8165135,68.5229701021,126.745015788,0.0,5.76749327032
2004-04-15,0.0,62.8127225936,121.463973463,1.66132322003,54.7911860681
2004-04-16,8.04495404999,59.9575988393,110.901888814,0.0,37.4887062571
2004-04-17,13.40825675,117.060073924,60.7319867317,0.0,51.9074394329
2004-04-18,21.4532108,145.611311467,66.0130290562,1.32905857603,60.5586793384
2004-04-19,13.40825675,62.8127225936,113.542409977,0.0,40.3724528923
2004-04-20,5.3633027,74.2332176106,110.901888814,0.0,60.5586793384
