date,gain,generosity,gift,gold,guide,isPartial
2013-01-15,13,0,28,59,73,False
2013-01-16,12,0,29,62,69,False
2013-01-17,12,0,26,67,68,False
2013-01-18,10,0,25,67,67,False
2013-01-19,10,0,29,73,74,False
2013-01-20,12,0,29,70,81,False
2013-01-21,14,0,26,65,75,False
2013-01-22,12,0,26,62,72,False
2013-01-23,11,0,27,59,69,False
2013-01-24,12,0,25,61,66,False
2013-01-25,11,0,27,62,67,False
2013-01-26,11,0,30,72,72,False
2013-01-27,11,0,29,77,82,False
2013-01-28,11,0,27,67,75,False
2013-01-29,12,0,26,62,68,False
2013-01-30,12,0,27,63,70,False
2013-01-31,12,0,26,63,68,False
2013-02-01,11,0,25,63,66,False
2013-02-02,10,0,28,72,71,False
2013-02-03,11,0,25,70,77,False
2013-02-04,11,0,25,59,60,False
2013-02-05,12,0,30,63,68,False
2013-02-06,12,0,29,64,69,False
2013-02-07,11,0,30,61,65,False
2013-02-08,11,0,29,60,66,False
2013-02-09,11,0,30,71,71,False
2013-02-10,11,0,32,69,79,False
2013-02-11,12,0,33,62,71,False
2013-02-12,12,0,35,63,68,False
2013-02-13,11,0,38,59,65,False
2013-02-14,11,0,40,59,63,False
2013-02-15,10,0,27,62,62,False
2013-02-16,9,0,27,72,71,False
2013-02-17,10,0,24,65,79,False
2013-02-18,12,0,24,67,72,False
2013-02-19,11,0,23,62,70,False
2013-02-20,12,0,24,69,66,False
2013-02-21,12,0,23,66,68,False
2013-02-22,10,0,24,65,64,False
2013-02-23,11,0,26,87,74,False
2013-02-24,11,0,25,69,79,False
2013-02-25,11,0,24,66,68,False
2013-02-26,12,0,22,66,69,False
2013-02-27,12,0,23,63,65,False
2013-02-28,12,0,24,64,67,False
2013-03-01,10,0,25,64,65,False
2013-03-02,10,0,25,70,73,False
2013-03-03,12,0,27,67,81,False
2013-03-04,12,0,23,62,71,False
2013-03-05,12,0,24,65,71,False
2013-03-06,13,0,23,64,67,False
2013-03-07,13,0,24,61,68,False
2013-03-08,12,0,23,59,66,False
2013-03-09,11,0,25,68,73,False
2013-03-10,12,0,25,63,79,False
2013-03-11,13,0,23,62,72,False
2013-03-12,14,0,24,64,66,False
2013-03-13,12,0,23,62,69,False
2013-03-14,13,0,23,63,66,False
2013-03-15,12,0,23,61,63,False
2013-03-16,11,0,25,72,68,False
2013-03-17,12,0,25,68,75,False
2013-03-18,11,0,24,64,69,False
2013-03-19,13,0,24,58,67,False
2013-03-20,14,0,24,60,69,False
2013-03-21,12,0,25,60,68,False
2013-03-22,11,0,24,60,66,False
2013-03-23,11,0,26,67,68,False
2013-03-24,12,0,25,63,73,False
2013-03-25,12,0,25,59,71,False
2013-03-26,13,0,25,63,68,False
2013-03-27,13,0,24,63,68,False
2013-03-28,13,0,25,61,66,False
2013-03-29,12,0,26,60,65,False
2013-03-30,11,0,26,62,70,False
2013-03-31,12,0,23,59,74,False
2013-04-01,13,0,23,59,68,False
2013-04-02,14,0,25,61,68,False
2013-04-03,14,0,23,58,66,False
2013-04-04,13,0,24,59,65,False
2013-04-05,13,0,24,62,62,False
2013-04-06,14,0,25,59,71,False
2013-04-07,14,0,25,62,77,False
2013-04-08,15,0,24,59,67,False
2013-04-09,14,0,24,58,64,False
2013-04-10,15,0,24,62,65,False
2013-04-11,15,0,25,60,65,False
2013-04-12,14,0,25,67,61,False
2013-04-13,14,0,27,70,71,False
2013-04-14,15,0,25,68,74,False
2013-04-15,17,0,25,100,66,False
2013-04-16,15,0,23,92,61,False
2013-04-17,15,0,24,81,65,False
2013-04-18,16,0,24,74,63,False
2013-04-19,13,0,23,67,59,False
2013-04-20,13,0,26,68,68,False
2013-04-21,16,0,25,66,75,False
2013-04-22,15,0,27,68,66,False
2013-04-23,18,0,28,68,65,False
2013-04-24,19,0,29,63,66,False
2013-04-25,21,0,27,69,65,False
2013-04-26,28,0,27,64,59,False
2013-04-27,36,0,27,64,67,False
2013-04-28,38,0,27,65,72,False
2013-04-29,26,0,28,64,66,False
2013-04-30,21,0,29,63,64,False
2013-05-01,20,0,30,61,64,False
2013-05-02,17,0,28,61,61,False
2013-05-03,19,0,29,60,61,False
2013-05-04,21,0,31,64,69,False
2013-05-05,19,0,30,65,72,False
2013-05-06,18,0,35,64,65,False
2013-05-07,16,0,34,60,64,False
2013-05-08,17,0,36,60,63,False
2013-05-09,15,0,36,59,63,False
2013-05-10,15,0,37,58,62,False
2013-05-11,15,0,40,62,65,False
2013-05-12,18,0,37,59,71,False
2013-05-13,16,0,28,60,67,False
2013-05-14,14,0,27,60,67,False
2013-05-15,14,0,29,61,67,False
2013-05-16,14,0,27,64,63,False
2013-05-17,13,0,26,62,61,False
2013-05-18,15,0,29,62,67,False
2013-05-19,16,0,28,62,71,False
2013-05-20,14,0,28,61,64,False
2013-05-21,12,0,27,59,61,False
2013-05-22,13,0,27,62,64,False
2013-05-23,13,0,25,59,63,False
2013-05-24,12,0,27,58,62,False
2013-05-25,11,0,29,59,70,False
2013-05-26,12,0,26,60,71,False
2013-05-27,14,0,25,62,74,False
2013-05-28,13,0,28,61,66,False
2013-05-29,13,0,29,59,69,False
2013-05-30,14,0,29,58,60,False
2013-05-31,12,0,27,59,62,False
2013-06-01,12,0,29,62,69,False
2013-06-02,13,0,28,60,74,False
2013-06-03,14,0,29,58,69,False
2013-06-04,13,0,30,56,69,False
2013-06-05,13,0,30,57,66,False
2013-06-06,11,0,30,57,66,False
2013-06-07,11,0,29,57,64,False
2013-06-08,12,0,30,61,72,False
2013-06-09,10,0,30,61,72,False
2013-06-10,12,0,31,60,67,False
2013-06-11,11,0,34,59,67,False
