date,hustle,hustler,inflation,jobless,laid,isPartial
2011-08-26,30,47,42,3,46,False
2011-08-27,44,63,35,2,44,False
2011-08-28,46,65,40,0,45,False
2011-08-29,40,42,55,4,40,False
2011-08-30,33,45,52,1,47,False
2011-08-31,39,48,55,2,39,False
2011-09-01,37,50,52,12,61,False
2011-09-02,32,42,45,11,47,False
2011-09-03,31,49,46,3,48,False
2011-09-04,46,64,34,2,49,False
2011-09-05,56,62,44,2,54,False
2011-09-06,30,51,67,2,51,False
2011-09-07,34,46,58,5,45,False
2011-09-08,37,39,59,11,53,False
2011-09-09,34,44,65,2,45,False
2011-09-10,32,53,41,1,45,False
2011-09-11,41,57,49,2,40,False
2011-09-12,38,37,71,3,49,False
2011-09-13,35,39,61,4,35,False
2011-09-14,36,32,71,5,44,False
2011-09-15,43,54,67,10,37,False
2011-09-16,33,46,61,8,40,False
2011-09-17,46,55,38,3,40,False
2011-09-18,28,47,46,2,39,False
2011-09-19,42,53,72,6,45,False
2011-09-20,38,42,69,2,57,False
2011-09-21,38,42,75,4,46,False
2011-09-22,33,42,71,10,42,False
2011-09-23,31,40,65,1,44,False
2011-09-24,37,52,43,4,35,False
2011-09-25,34,46,55,2,36,False
2011-09-26,33,35,73,5,39,False
2011-09-27,42,46,69,5,42,False
2011-09-28,41,41,64,3,45,False
2011-09-29,36,42,72,11,52,False
2011-09-30,38,49,59,5,61,False
2011-10-01,36,53,51,2,41,False
2011-10-02,42,55,57,1,52,False
2011-10-03,30,37,76,0,40,False
2011-10-04,30,41,76,3,45,False
2011-10-05,40,39,67,3,52,False
2011-10-06,39,41,60,10,38,False
2011-10-07,40,49,81,4,55,False
2011-10-08,30,56,53,3,39,False
2011-10-09,41,49,47,1,38,False
2011-10-10,40,45,64,3,51,False
2011-10-11,33,35,67,4,48,False
2011-10-12,33,50,67,5,48,False
2011-10-13,39,31,61,15,52,False
2011-10-14,40,50,70,5,39,False
2011-10-15,55,51,52,2,32,False
2011-10-16,37,47,61,2,34,False
2011-10-17,25,39,75,3,43,False
2011-10-18,37,45,76,2,48,False
2011-10-19,36,36,100,2,47,False
2011-10-20,40,51,95,7,43,False
2011-10-21,40,55,66,4,53,False
2011-10-22,40,59,50,1,49,False
2011-10-23,36,43,53,2,39,False
2011-10-24,45,46,66,4,42,False
2011-10-25,33,40,74,3,46,False
2011-10-26,45,43,78,1,41,False
2011-10-27,37,42,68,6,47,False
2011-10-28,36,55,57,1,41,False
2011-10-29,71,46,47,2,36,False
2011-10-30,43,54,52,2,57,False
2011-10-31,35,46,84,4,39,False
2011-11-01,49,46,78,3,34,False
2011-11-02,37,46,86,3,46,False
2011-11-03,43,38,77,3,40,False
2011-11-04,37,42,66,1,41,False
2011-11-05,71,68,45,1,47,False
2011-11-06,39,50,58,4,41,False
2011-11-07,28,33,81,4,38,False
2011-11-08,34,50,63,4,44,False
2011-11-09,33,47,87,2,39,False
2011-11-10,28,41,77,2,47,False
2011-11-11,35,48,67,6,41,False
2011-11-12,33,35,42,2,55,False
2011-11-13,34,45,44,2,59,False
2011-11-14,38,34,69,4,63,False
2011-11-15,41,42,86,6,57,False
2011-11-16,30,45,77,4,60,False
2011-11-17,37,38,85,6,59,False
2011-11-18,38,34,86,2,61,False
2011-11-19,36,59,48,1,71,False
2011-11-20,58,47,51,5,61,False
2011-11-21,29,39,76,1,53,False
2011-11-22,32,37,79,4,54,False
2011-11-23,42,44,62,5,54,False
2011-11-24,37,37,40,2,53,False
2011-11-25,32,56,49,2,37,False
2011-11-26,43,65,48,0,60,False
2011-11-27,40,55,62,2,56,False
2011-11-28,37,47,69,4,54,False
2011-11-29,38,44,82,5,43,False
2011-11-30,42,33,84,1,50,False
2011-12-01,37,37,89,8,45,False
2011-12-02,47,39,78,9,43,False
2011-12-03,47,48,52,7,47,False
2011-12-04,43,52,55,4,49,False
2011-12-05,37,38,83,5,47,False
2011-12-06,75,36,81,8,45,False
2011-12-07,43,42,77,1,49,False
2011-12-08,36,41,78,10,42,False
2011-12-09,47,41,55,4,51,False
2011-12-10,43,54,53,1,48,False
2011-12-11,39,54,54,4,54,False
2011-12-12,35,38,79,7,45,False
2011-12-13,55,38,71,2,41,False
2011-12-14,48,56,77,3,44,False
2011-12-15,41,59,64,7,52,False
2011-12-16,48,50,71,7,38,False
2011-12-17,40,54,47,5,51,False
2011-12-18,37,57,53,4,39,False
2011-12-19,38,53,59,7,49,False
2011-12-20,43,49,52,1,45,False
2011-12-21,37,45,52,3,44,False
2011-12-22,30,50,41,10,40,False
2011-12-23,37,52,32,6,46,False
2011-12-24,33,49,41,2,42,False
2011-12-25,42,48,41,1,38,False
2011-12-26,35,56,33,0,42,False
2011-12-27,47,45,42,1,39,False
2011-12-28,43,47,50,3,46,False
2011-12-29,39,53,45,9,47,False
2011-12-30,43,42,36,2,50,False
2011-12-31,30,50,41,1,52,False
2012-01-01,38,57,46,1,52,False
2012-01-02,53,49,39,2,52,False
2012-01-03,49,49,45,2,40,False
2012-01-04,48,34,50,3,41,False
2012-01-05,45,46,59,7,60,False
2012-01-06,35,41,45,7,62,False
2012-01-07,41,44,31,1,52,False
2012-01-08,37,62,54,0,58,False
2012-01-09,37,39,56,1,47,False
2012-01-10,60,42,57,2,48,False
2012-01-11,31,40,53,1,37,False
2012-01-12,53,43,61,10,52,False
2012-01-13,44,41,56,5,50,False
2012-01-14,52,45,37,4,49,False
2012-01-15,39,56,54,1,46,False
2012-01-16,38,34,52,1,58,False
2012-01-17,44,44,68,3,51,False
2012-01-18,35,43,54,3,40,False
2012-01-19,31,41,68,9,43,False
2012-01-20,32,37,49,4,40,False
2012-01-21,49,58,51,3,50,False
2012-01-22,34,55,58,2,46,False
2012-01-23,34,30,63,3,38,False
2012-01-24,35,48,80,4,57,False
2012-01-25,43,45,71,3,37,False
2012-01-26,42,40,70,11,58,False
2012-01-27,32,48,51,4,46,False
2012-01-28,46,42,42,4,47,False
2012-01-29,39,38,52,2,37,False
2012-01-30,27,45,70,1,46,False
2012-01-31,38,33,65,4,51,False
2012-02-01,31,41,70,1,48,False
2012-02-02,50,35,78,6,51,False
2012-02-03,38,36,74,9,43,False
2012-02-04,41,50,44,10,60,False
2012-02-05,37,43,61,3,42,False
2012-02-06,37,35,70,2,33,False
2012-02-07,34,38,74,2,53,False
2012-02-08,38,42,64,3,48,False
2012-02-09,31,42,73,13,44,False
2012-02-10,33,46,76,12,41,False
2012-02-11,48,50,48,1,50,False
2012-02-12,39,40,52,1,48,False
2012-02-13,33,41,64,1,51,False
2012-02-14,36,37,66,1,57,False
2012-02-15,33,46,70,3,42,False
