date,privileged,productive,productivity,profit,profitable,isPartial
2009-07-25,5,1,7,46,5,False
2009-07-26,2,2,3,48,8,False
2009-07-27,4,3,5,71,3,False
2009-07-28,2,3,6,72,8,False
2009-07-29,3,3,10,70,5,False
2009-07-30,2,1,7,83,2,False
2009-07-31,5,1,8,67,4,False
2009-08-01,2,4,6,52,12,False
2009-08-02,0,0,6,55,6,False
2009-08-03,2,2,6,69,5,False
2009-08-04,3,3,11,84,2,False
2009-08-05,3,3,9,80,5,False
2009-08-06,2,3,8,63,5,False
2009-08-07,7,5,9,64,4,False
2009-08-08,4,2,7,38,5,False
2009-08-09,2,6,4,42,3,False
2009-08-10,4,6,11,75,8,False
2009-08-11,3,2,11,87,7,False
2009-08-12,3,2,8,75,4,False
2009-08-13,2,2,4,69,5,False
2009-08-14,1,2,10,67,4,False
2009-08-15,4,3,6,45,4,False
2009-08-16,4,2,6,44,6,False
2009-08-17,2,5,8,77,7,False
2009-08-18,1,5,7,86,5,False
2009-08-19,1,2,6,77,4,False
2009-08-20,3,3,8,60,4,False
2009-08-21,2,2,11,64,4,False
2009-08-22,1,2,4,54,4,False
2009-08-23,3,2,4,54,5,False
2009-08-24,2,2,6,76,1,False
2009-08-25,2,3,6,83,5,False
2009-08-26,1,5,5,76,7,False
2009-08-27,2,3,6,71,4,False
2009-08-28,5,6,9,63,2,False
2009-08-29,2,4,6,44,6,False
2009-08-30,1,4,7,49,4,False
2009-08-31,3,3,8,74,4,False
2009-09-01,2,2,9,74,5,False
2009-09-02,6,4,11,71,3,False
2009-09-03,4,5,16,66,5,False
2009-09-04,4,3,11,61,3,False
2009-09-05,4,4,5,50,4,False
2009-09-06,2,2,9,46,6,False
2009-09-07,6,3,6,50,5,False
2009-09-08,4,3,12,65,5,False
2009-09-09,4,4,8,65,4,False
2009-09-10,6,1,10,75,4,False
2009-09-11,7,4,9,68,7,False
2009-09-12,6,4,6,44,2,False
2009-09-13,4,4,11,58,4,False
2009-09-14,5,2,8,77,5,False
2009-09-15,8,7,7,84,5,False
2009-09-16,4,5,12,86,7,False
2009-09-17,2,3,10,81,4,False
