date,privileged,productive,productivity,profit,profitable,isPartial
2012-05-06,1,4,8,58,4,False
2012-05-07,3,6,16,78,8,False
2012-05-08,4,4,13,76,6,False
2012-05-09,2,5,9,83,5,False
2012-05-10,2,5,10,75,5,False
2012-05-11,3,3,9,72,7,False
2012-05-12,1,4,5,52,5,False
2012-05-13,1,3,5,59,5,False
2012-05-14,2,7,11,88,5,False
2012-05-15,1,6,11,82,9,False
2012-05-16,3,6,7,78,5,False
2012-05-17,2,5,8,77,8,False
2012-05-18,2,6,9,66,6,False
2012-05-19,1,3,4,49,4,False
2012-05-20,2,5,7,53,5,False
2012-05-21,1,5,7,73,8,False
2012-05-22,2,5,9,80,5,False
2012-05-23,4,5,8,81,5,False
2012-05-24,2,6,9,67,7,False
2012-05-25,1,4,9,71,2,False
2012-05-26,2,3,4,45,6,False
2012-05-27,4,5,5,43,4,False
2012-05-28,1,4,7,54,7,False
2012-05-29,2,5,8,73,6,False
2012-05-30,2,4,11,66,6,False
2012-05-31,3,3,10,72,5,False
2012-06-01,3,5,9,72,3,False
2012-06-02,1,4,6,46,3,False
2012-06-03,2,7,6,49,5,False
2012-06-04,2,7,7,73,6,False
2012-06-05,3,6,12,81,5,False
2012-06-06,2,6,7,82,5,False
2012-06-07,3,4,10,76,3,False
2012-06-08,2,4,9,70,3,False
2012-06-09,3,4,6,48,5,False
2012-06-10,2,4,4,45,6,False
2012-06-11,2,5,10,79,5,False
2012-06-12,2,7,11,74,5,False
2012-06-13,2,3,6,74,6,False
2012-06-14,2,4,8,69,4,False
2012-06-15,4,5,5,67,5,False
2012-06-16,1,4,5,49,4,False
2012-06-17,1,5,7,46,6,False
2012-06-18,1,4,10,76,6,False
2012-06-19,2,6,8,78,6,False
2012-06-20,2,5,8,74,5,False
2012-06-21,3,7,9,72,6,False
2012-06-22,2,3,8,62,3,False
2012-06-23,2,5,5,45,4,False
2012-06-24,2,5,5,52,6,False
2012-06-25,1,6,11,71,5,False
2012-06-26,3,4,9,70,6,False
2012-06-27,2,6,9,82,6,False
2012-06-28,2,5,10,64,7,False
2012-06-29,2,3,6,59,4,False
2012-06-30,1,2,3,41,6,False
2012-07-01,1,6,4,47,7,False
2012-07-02,2,4,6,76,4,False
2012-07-03,1,3,7,69,5,False
2012-07-04,2,3,4,44,6,False
2012-07-05,2,5,9,59,4,False
2012-07-06,2,6,6,66,4,False
2012-07-07,2,2,4,50,6,False
2012-07-08,0,5,3,51,5,False
2012-07-09,1,4,9,70,4,False
2012-07-10,4,4,9,75,5,False
2012-07-11,2,5,11,77,6,False
2012-07-12,3,5,7,81,5,False
2012-07-13,3,6,7,64,5,False
2012-07-14,3,4,4,41,6,False
2012-07-15,2,4,6,54,7,False
2012-07-16,2,5,7,75,7,False
2012-07-17,2,4,8,74,6,False
2012-07-18,5,5,7,78,6,False
2012-07-19,2,4,8,74,5,False
2012-07-20,2,4,8,69,5,False
2012-07-21,1,3,7,51,7,False
2012-07-22,2,4,5,53,7,False
2012-07-23,2,5,8,76,5,False
2012-07-24,2,6,7,72,6,False
2012-07-25,2,5,7,75,6,False
2012-07-26,3,3,11,74,5,False
2012-07-27,1,3,6,65,3,False
2012-07-28,2,4,5,51,4,False
2012-07-29,2,5,7,47,5,False
2012-07-30,2,4,7,74,5,False
2012-07-31,2,3,8,74,9,False
2012-08-01,1,5,9,80,4,False
2012-08-02,3,7,10,75,7,False
2012-08-03,2,4,8,66,6,False
2012-08-04,2,4,3,45,3,False
2012-08-05,2,3,5,52,3,False
2012-08-06,1,5,8,64,5,False
2012-08-07,3,4,7,63,6,False
2012-08-08,2,4,8,68,6,False
2012-08-09,3,6,10,69,7,False
2012-08-10,2,4,8,63,6,False
2012-08-11,2,3,6,42,2,False
2012-08-12,2,2,5,46,5,False
2012-08-13,2,6,10,65,8,False
2012-08-14,2,4,7,68,7,False
2012-08-15,3,5,10,64,4,False
2012-08-16,2,6,10,64,4,False
2012-08-17,3,6,6,64,5,False
2012-08-18,1,2,9,47,6,False
2012-08-19,1,5,6,45,6,False
2012-08-20,3,6,10,68,5,False
2012-08-21,1,4,7,73,6,False
2012-08-22,2,6,7,76,7,False
2012-08-23,2,5,14,81,4,False
2012-08-24,2,4,9,68,6,False
2012-08-25,1,1,5,56,6,False
2012-08-26,2,3,6,51,5,False
2012-08-27,2,5,9,71,7,False
2012-08-28,2,7,11,73,4,False
2012-08-29,3,5,11,71,8,False
2012-08-30,4,3,9,77,9,False
2012-08-31,1,3,8,67,6,False
2012-09-01,1,3,5,42,5,False
2012-09-02,1,5,5,41,4,False
2012-09-03,4,7,8,51,5,False
2012-09-04,2,9,11,79,7,False
2012-09-05,4,7,12,92,7,False
2012-09-06,4,6,10,89,8,False
2012-09-07,1,7,12,73,5,False
2012-09-08,2,5,5,47,6,False
