date,bargain,benefactor,beneficiary,benefit,benevolence,isPartial
2010-04-05,19,0,8,90,0,False
2010-04-06,25,1,7,84,0,False
2010-04-07,19,1,6,87,1,False
2010-04-08,25,2,9,76,1,False
2010-04-09,18,1,7,76,1,False
2010-04-10,22,0,1,59,1,False
2010-04-11,32,2,5,73,1,False
2010-04-12,28,1,7,79,0,False
2010-04-13,20,2,9,90,1,False
2010-04-14,22,1,7,88,0,False
2010-04-15,17,1,7,87,1,False
2010-04-16,22,0,10,72,1,False
2010-04-17,33,0,1,59,1,False
2010-04-18,32,2,1,59,1,False
2010-04-19,17,1,8,86,1,False
2010-04-20,21,0,8,86,2,False
2010-04-21,22,0,9,80,2,False
2010-04-22,23,2,5,85,2,False
2010-04-23,21,2,6,79,2,False
2010-04-24,27,0,5,61,1,False
2010-04-25,23,0,6,50,0,False
2010-04-26,21,0,9,94,0,False
2010-04-27,24,0,7,85,0,False
2010-04-28,24,1,9,97,1,False
2010-04-29,17,2,7,88,1,False
2010-04-30,18,1,8,82,1,False
2010-05-01,15,1,4,57,0,False
2010-05-02,24,2,4,56,0,False
2010-05-03,21,2,4,89,1,False
2010-05-04,26,2,8,84,1,False
2010-05-05,16,1,8,81,2,False
2010-05-06,26,2,4,94,1,False
2010-05-07,21,1,3,85,1,False
2010-05-08,24,1,2,63,1,False
2010-05-09,18,0,4,55,1,False
2010-05-10,24,0,7,75,3,False
2010-05-11,25,0,8,92,2,False
2010-05-12,22,1,7,84,1,False
2010-05-13,22,0,8,84,1,False
2010-05-14,21,0,9,82,1,False
2010-05-15,19,0,6,55,1,False
2010-05-16,25,0,3,55,2,False
2010-05-17,19,1,4,83,2,False
2010-05-18,24,0,8,87,0,False
2010-05-19,23,1,7,85,0,False
2010-05-20,23,2,13,80,1,False
2010-05-21,20,1,6,74,1,False
2010-05-22,28,1,2,42,1,False
2010-05-23,20,0,2,42,1,False
2010-05-24,24,1,6,80,0,False
2010-05-25,20,0,7,79,1,False
2010-05-26,18,1,7,75,0,False
2010-05-27,20,2,7,80,0,False
2010-05-28,24,1,7,67,1,False
2010-05-29,21,0,2,49,1,False
2010-05-30,23,0,2,46,0,False
2010-05-31,27,1,3,48,0,False
2010-06-01,21,0,5,76,0,False
2010-06-02,22,1,6,74,1,False
2010-06-03,23,0,6,81,1,False
2010-06-04,27,2,8,72,1,False
2010-06-05,22,1,2,40,1,False
2010-06-06,26,1,2,41,1,False
2010-06-07,17,1,6,87,2,False
2010-06-08,21,0,8,89,1,False
2010-06-09,20,2,10,85,0,False
2010-06-10,13,2,7,79,1,False
2010-06-11,19,1,6,81,0,False
2010-06-12,22,0,3,53,0,False
2010-06-13,34,2,4,58,0,False
2010-06-14,25,1,6,82,1,False
2010-06-15,23,1,3,81,1,False
2010-06-16,17,0,4,71,0,False
2010-06-17,22,1,10,81,1,False
2010-06-18,23,0,7,82,0,False
2010-06-19,20,0,8,34,1,False
2010-06-20,23,1,3,46,0,False
2010-06-21,20,1,4,82,1,False
2010-06-22,17,1,9,93,0,False
2010-06-23,17,1,8,77,1,False
2010-06-24,18,2,9,80,0,False
2010-06-25,28,1,11,65,0,False
2010-06-26,22,2,2,53,0,False
2010-06-27,22,1,1,43,1,False
2010-06-28,21,1,8,76,1,False
2010-06-29,19,1,4,70,2,False
2010-06-30,22,0,9,77,0,False
2010-07-01,17,1,7,73,1,False
2010-07-02,17,0,6,64,1,False
2010-07-03,26,1,4,49,1,False
2010-07-04,20,1,1,48,1,False
2010-07-05,27,2,3,45,2,False
2010-07-06,19,0,6,68,0,False
2010-07-07,20,0,8,71,0,False
2010-07-08,27,0,5,67,1,False
2010-07-09,20,0,3,74,1,False
2010-07-10,31,0,3,44,0,False
2010-07-11,16,1,2,44,1,False
2010-07-12,26,0,8,86,0,False
2010-07-13,20,1,8,78,0,False
2010-07-14,24,0,7,77,1,False
2010-07-15,19,1,8,80,1,False
2010-07-16,19,0,4,69,1,False
2010-07-17,23,0,5,49,0,False
2010-07-18,21,0,1,43,1,False
2010-07-19,21,1,6,74,0,False
2010-07-20,22,0,10,80,0,False
2010-07-21,17,0,6,100,0,False
2010-07-22,28,0,8,85,0,False
2010-07-23,19,1,7,74,1,False
2010-07-24,26,1,5,48,0,False
2010-07-25,21,0,5,40,0,False
2010-07-26,19,1,10,72,0,False
2010-07-27,21,0,6,83,1,False
2010-07-28,20,1,7,79,1,False
2010-07-29,23,0,8,53,0,False
2010-07-30,23,0,4,68,0,False
2010-07-31,22,1,0,52,1,False
2010-08-01,17,0,3,58,1,False
2010-08-02,16,0,5,78,0,False
2010-08-03,15,0,7,77,0,False
2010-08-04,25,1,6,76,1,False
2010-08-05,20,0,8,65,1,False
2010-08-06,21,1,5,68,1,False
2010-08-07,20,3,1,42,0,False
2010-08-08,17,1,3,51,0,False
2010-08-09,18,0,7,73,1,False
2010-08-10,22,0,6,75,0,False
2010-08-11,19,2,4,75,1,False
2010-08-12,19,1,8,69,0,False
2010-08-13,20,2,6,66,0,False
2010-08-14,26,0,4,46,0,False
2010-08-15,23,0,0,49,0,False
2010-08-16,17,0,7,72,2,False
2010-08-17,18,1,6,82,0,False
2010-08-18,21,1,10,72,0,False
2010-08-19,17,0,6,69,1,False
2010-08-20,18,1,5,62,1,False
2010-08-21,17,1,3,42,1,False
2010-08-22,22,1,2,51,1,False
2010-08-23,22,0,6,73,1,False
2010-08-24,22,1,7,74,1,False
2010-08-25,25,1,6,69,2,False
2010-08-26,20,1,6,69,1,False
2010-08-27,23,0,5,59,1,False
2010-08-28,31,1,1,48,0,False
2010-08-29,18,0,1,58,1,False
2010-08-30,24,1,9,77,0,False
2010-08-31,18,0,8,77,0,False
2010-09-01,22,1,8,68,2,False
2010-09-02,17,1,8,75,2,False
2010-09-03,28,1,4,68,0,False
2010-09-04,24,1,2,34,2,False
2010-09-05,18,1,1,44,0,False
2010-09-06,21,0,5,55,0,False
2010-09-07,15,1,2,69,1,False
2010-09-08,18,1,7,89,1,False
2010-09-09,20,0,7,72,1,False
2010-09-10,23,1,6,69,1,False
2010-09-11,19,2,2,52,2,False
2010-09-12,26,2,6,59,2,False
2010-09-13,17,1,6,85,3,False
2010-09-14,22,1,3,86,1,False
2010-09-15,26,0,6,88,1,False
2010-09-16,21,1,5,76,1,False
2010-09-17,19,0,4,84,1,False
2010-09-18,22,1,2,52,1,False
2010-09-19,24,1,2,69,2,False
2010-09-20,20,0,7,93,2,False
2010-09-21,20,0,8,99,0,False
2010-09-22,19,1,7,79,3,False
2010-09-23,16,0,9,76,1,False
2010-09-24,21,0,3,67,2,False
2010-09-25,15,1,4,55,0,False
2010-09-26,19,1,1,62,1,False
2010-09-27,21,1,7,78,0,False
2010-09-28,19,1,6,80,1,False
2010-09-29,26,1,5,79,2,False
2010-09-30,18,1,6,77,2,False
2010-10-01,17,0,5,72,1,False
2010-10-02,20,1,4,50,1,False
2010-10-03,21,1,3,50,0,False
2010-10-04,19,1,4,77,1,False
2010-10-05,18,0,7,94,1,False
2010-10-06,20,0,8,90,0,False
