date,luxury,meritorious,nobility,nobleman,partner,isPartial
2015-10-28,59,1,2,1,61,False
2015-10-29,58,1,2,1,54,False
2015-10-30,61,1,2,0,49,False
2015-10-31,59,1,1,0,41,False
2015-11-01,67,0,2,1,44,False
2015-11-02,62,1,2,1,57,False
2015-11-03,59,1,2,0,58,False
2015-11-04,60,1,2,1,53,False
2015-11-05,57,1,3,0,52,False
2015-11-06,64,1,2,1,52,False
2015-11-07,68,1,1,0,41,False
2015-11-08,73,0,1,1,39,False
2015-11-09,64,1,2,0,57,False
2015-11-10,64,1,2,0,56,False
2015-11-11,64,2,2,0,53,False
2015-11-12,61,1,2,0,52,False
2015-11-13,62,2,1,0,48,False
2015-11-14,73,0,1,0,45,False
2015-11-15,62,0,1,0,38,False
2015-11-16,56,0,3,1,46,False
2015-11-17,58,1,3,0,55,False
2015-11-18,57,1,2,1,51,False
2015-11-19,65,1,3,1,55,False
2015-11-20,60,1,2,0,54,False
2015-11-21,65,0,1,1,47,False
2015-11-22,65,0,0,1,42,False
2015-11-23,63,1,1,0,53,False
2015-11-24,64,0,2,0,50,False
2015-11-25,56,1,1,1,48,False
2015-11-26,54,1,1,0,36,False
2015-11-27,66,0,1,0,39,False
2015-11-28,65,1,1,1,37,False
2015-11-29,73,0,2,0,45,False
2015-11-30,62,1,2,1,51,False
2015-12-01,55,1,3,0,51,False
2015-12-02,59,1,2,0,47,False
2015-12-03,58,0,3,0,54,False
2015-12-04,60,1,2,0,50,False
2015-12-05,66,1,2,0,44,False
2015-12-06,70,0,2,0,37,False
2015-12-07,56,1,2,0,53,False
2015-12-08,61,1,2,1,58,False
2015-12-09,58,1,2,0,51,False
2015-12-10,57,1,1,0,56,False
2015-12-11,58,1,3,0,50,False
2015-12-12,61,1,2,0,38,False
2015-12-13,62,0,2,0,42,False
2015-12-14,62,1,3,1,48,False
2015-12-15,62,1,3,1,55,False
2015-12-16,58,1,2,0,55,False
2015-12-17,63,1,2,0,53,False
2015-12-18,59,1,2,1,45,False
2015-12-19,69,0,2,0,39,False
2015-12-20,67,0,2,0,40,False
2015-12-21,65,0,1,0,49,False
2015-12-22,67,1,1,1,51,False
2015-12-23,65,0,1,0,47,False
2015-12-24,57,1,1,0,41,False
2015-12-25,63,0,1,0,30,False
2015-12-26,75,0,2,0,38,False
2015-12-27,86,0,2,0,38,False
2015-12-28,74,1,1,0,52,False
2015-12-29,79,1,0,1,54,False
2015-12-30,72,1,1,0,54,False
2015-12-31,73,0,2,0,47,False
2016-01-01,77,0,2,0,46,False
2016-01-02,88,0,2,0,49,False
2016-01-03,97,0,2,0,46,False
2016-01-04,82,1,2,0,57,False
2016-01-05,78,1,2,0,52,False
2016-01-06,84,1,2,0,56,False
2016-01-07,86,1,2,1,56,False
2016-01-08,87,1,2,0,50,False
2016-01-09,94,0,1,0,44,False
2016-01-10,95,1,1,0,45,False
2016-01-11,92,1,2,0,54,False
2016-01-12,87,1,3,0,49,False
2016-01-13,83,1,2,0,50,False
2016-01-14,80,1,2,1,57,False
2016-01-15,74,0,2,1,46,False
2016-01-16,89,1,1,0,45,False
2016-01-17,99,0,1,0,49,False
2016-01-18,92,0,1,0,43,False
2016-01-19,84,0,2,0,55,False
2016-01-20,80,1,2,0,52,False
2016-01-21,73,1,2,0,58,False
2016-01-22,80,1,2,0,58,False
2016-01-23,88,0,2,0,44,False
2016-01-24,84,0,2,1,46,False
2016-01-25,80,1,1,0,57,False
2016-01-26,72,1,3,0,54,False
2016-01-27,74,1,3,1,59,False
2016-01-28,78,1,2,0,56,False
2016-01-29,77,1,2,0,59,False
2016-01-30,88,0,2,0,56,False
2016-01-31,94,0,1,1,56,False
