date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2017-03-19,1,2,52,58,9,False
2017-03-20,1,2,89,46,10,False
2017-03-21,1,2,92,46,6,False
2017-03-22,1,3,92,45,9,False
2017-03-23,1,2,81,39,7,False
2017-03-24,0,2,75,43,7,False
2017-03-25,1,1,42,37,9,False
2017-03-26,1,1,54,58,9,False
2017-03-27,1,3,87,43,7,False
2017-03-28,1,4,86,48,8,False
2017-03-29,1,2,94,47,10,False
2017-03-30,0,4,89,44,7,False
2017-03-31,1,3,78,37,8,False
2017-04-01,0,2,54,36,8,False
2017-04-02,1,1,58,61,8,False
2017-04-03,1,3,85,43,8,False
2017-04-04,1,4,89,43,8,False
2017-04-05,0,3,90,48,7,False
2017-04-06,1,2,85,47,5,False
2017-04-07,0,3,76,40,7,False
2017-04-08,0,2,41,37,7,False
2017-04-09,1,1,59,66,8,False
2017-04-10,0,3,89,52,7,False
2017-04-11,0,2,91,46,7,False
2017-04-12,0,4,89,53,8,False
2017-04-13,1,3,84,43,9,False
2017-04-14,1,1,73,59,7,False
2017-04-15,0,0,44,51,10,False
2017-04-16,0,1,50,93,10,False
2017-04-17,1,2,89,40,10,False
2017-04-18,1,2,93,47,7,False
2017-04-19,0,2,93,41,8,False
2017-04-20,0,3,86,40,7,False
2017-04-21,0,2,73,38,6,False
2017-04-22,1,1,49,37,8,False
2017-04-23,1,2,57,63,5,False
2017-04-24,0,4,99,40,8,False
2017-04-25,0,2,94,41,7,False
2017-04-26,0,3,93,41,8,False
2017-04-27,0,3,85,38,8,False
2017-04-28,1,2,77,36,7,False
2017-04-29,0,1,53,30,8,False
2017-04-30,1,1,59,58,9,False
2017-05-01,1,2,98,43,10,False
2017-05-02,1,2,100,42,8,False
2017-05-03,0,2,87,45,8,False
2017-05-04,1,2,90,41,7,False
2017-05-05,0,1,80,35,10,False
2017-05-06,0,2,45,39,8,False
2017-05-07,1,1,54,59,8,False
2017-05-08,0,2,95,41,7,False
2017-05-09,1,3,92,43,9,False
2017-05-10,1,3,94,35,10,False
2017-05-11,1,2,84,41,8,False
2017-05-12,0,3,73,33,8,False
2017-05-13,0,1,42,34,8,False
2017-05-14,1,2,43,47,7,False
2017-05-15,1,2,81,32,10,False
2017-05-16,1,2,77,37,7,False
2017-05-17,0,2,75,35,9,False
2017-05-18,1,1,77,33,7,False
2017-05-19,0,2,65,37,7,False
2017-05-20,0,2,44,31,8,False
2017-05-21,0,1,40,58,8,False
2017-05-22,0,2,73,34,7,False
2017-05-23,1,2,71,39,7,False
2017-05-24,0,3,75,39,6,False
2017-05-25,1,2,72,37,10,False
2017-05-26,1,1,65,33,8,False
2017-05-27,1,0,40,32,9,False
2017-05-28,0,1,36,51,6,False
2017-05-29,1,2,49,32,8,False
2017-05-30,0,2,78,38,6,False
2017-05-31,1,1,86,41,10,False
2017-06-01,1,1,76,38,7,False
2017-06-02,0,1,67,36,10,False
2017-06-03,0,1,46,33,5,False
2017-06-04,1,1,53,62,8,False
2017-06-05,0,2,82,40,5,False
2017-06-06,0,2,78,38,6,False
2017-06-07,1,3,80,41,6,False
2017-06-08,1,2,77,36,9,False
2017-06-09,0,1,68,38,7,False
2017-06-10,0,1,46,30,6,False
2017-06-11,0,1,50,60,10,False
2017-06-12,1,2,74,39,7,False
