date,lay,liquidate,miser,owe,recession,isPartial
2014-06-07,85,0,2,12,4,False
2014-06-08,83,1,3,9,7,False
2014-06-09,89,1,3,15,6,False
2014-06-10,76,1,3,14,7,False
2014-06-11,80,1,3,14,6,False
2014-06-12,85,1,3,14,7,False
2014-06-13,81,0,1,14,7,False
2014-06-14,86,0,2,12,4,False
2014-06-15,89,0,3,12,4,False
2014-06-16,79,1,3,14,7,False
2014-06-17,76,0,2,17,5,False
2014-06-18,80,1,2,15,4,False
2014-06-19,95,0,3,15,5,False
2014-06-20,88,1,2,12,5,False
2014-06-21,93,0,3,10,4,False
2014-06-22,100,1,1,10,7,False
2014-06-23,78,0,2,15,7,False
2014-06-24,78,1,2,17,7,False
2014-06-25,81,1,1,15,9,False
2014-06-26,76,0,1,13,10,False
2014-06-27,74,1,3,15,6,False
2014-06-28,88,1,3,9,4,False
2014-06-29,100,1,2,10,6,False
2014-06-30,78,1,3,15,4,False
2014-07-01,78,0,1,16,5,False
2014-07-02,78,1,4,15,6,False
2014-07-03,89,1,2,13,6,False
2014-07-04,84,0,3,13,3,False
2014-07-05,79,0,2,12,3,False
2014-07-06,92,1,2,13,7,False
2014-07-07,73,1,2,12,6,False
2014-07-08,79,1,2,16,8,False
2014-07-09,83,1,3,12,7,False
2014-07-10,90,0,1,15,6,False
2014-07-11,85,1,4,19,6,False
2014-07-12,81,0,2,12,5,False
2014-07-13,93,1,3,9,5,False
2014-07-14,76,1,2,13,7,False
2014-07-15,79,1,2,16,5,False
2014-07-16,89,0,3,17,6,False
2014-07-17,90,0,2,14,4,False
2014-07-18,90,1,2,13,5,False
2014-07-19,94,0,3,14,3,False
2014-07-20,93,0,4,12,6,False
2014-07-21,89,0,2,16,7,False
2014-07-22,75,0,3,16,6,False
2014-07-23,83,1,2,18,6,False
2014-07-24,87,0,2,13,8,False
2014-07-25,75,1,4,16,6,False
2014-07-26,85,0,2,16,6,False
2014-07-27,94,0,4,9,4,False
2014-07-28,73,1,2,17,6,False
2014-07-29,79,1,4,14,9,False
2014-07-30,79,0,5,16,7,False
2014-07-31,86,1,3,15,6,False
2014-08-01,71,1,2,14,5,False
2014-08-02,83,1,3,10,5,False
2014-08-03,92,0,3,14,3,False
2014-08-04,75,0,2,14,5,False
2014-08-05,79,0,3,16,6,False
2014-08-06,79,1,2,17,6,False
2014-08-07,80,1,3,15,5,False
2014-08-08,77,1,3,12,6,False
2014-08-09,82,0,2,13,6,False
2014-08-10,85,0,1,12,6,False
2014-08-11,82,0,2,12,5,False
2014-08-12,76,1,2,14,6,False
2014-08-13,80,0,2,11,7,False
2014-08-14,83,1,3,13,4,False
2014-08-15,77,1,3,12,5,False
2014-08-16,77,0,2,11,4,False
2014-08-17,89,1,2,10,5,False
2014-08-18,77,1,2,17,4,False
2014-08-19,75,0,3,15,4,False
2014-08-20,78,1,2,19,7,False
2014-08-21,86,0,2,11,7,False
2014-08-22,77,1,3,13,5,False
2014-08-23,75,1,2,14,3,False
2014-08-24,84,0,3,11,4,False
2014-08-25,77,0,2,13,6,False
2014-08-26,76,1,2,18,6,False
2014-08-27,71,0,2,16,7,False
2014-08-28,78,1,3,15,7,False
2014-08-29,73,1,2,13,7,False
2014-08-30,82,0,2,10,5,False
2014-08-31,81,1,2,16,6,False
2014-09-01,81,1,3,13,6,False
2014-09-02,71,0,3,16,7,False
2014-09-03,79,1,2,15,9,False
2014-09-04,79,0,3,16,6,False
2014-09-05,75,1,3,13,6,False
2014-09-06,79,1,3,12,5,False
2014-09-07,88,1,2,12,8,False
2014-09-08,77,1,2,13,9,False
2014-09-09,73,1,3,14,10,False
2014-09-10,74,0,3,17,8,False
2014-09-11,78,1,3,16,10,False
2014-09-12,71,1,3,12,7,False
2014-09-13,80,0,3,13,7,False
2014-09-14,81,1,2,10,6,False
2014-09-15,79,0,2,16,10,False
2014-09-16,75,0,3,13,7,False
2014-09-17,81,0,3,13,10,False
2014-09-18,76,1,2,17,10,False
2014-09-19,85,0,3,15,10,False
2014-09-20,74,1,2,14,6,False
2014-09-21,89,1,1,13,6,False
2014-09-22,71,0,4,15,9,False
2014-09-23,78,2,4,13,11,False
2014-09-24,80,0,4,15,12,False
2014-09-25,78,0,2,14,10,False
2014-09-26,73,0,2,15,7,False
2014-09-27,76,0,2,9,7,False
2014-09-28,75,1,2,15,8,False
2014-09-29,71,0,3,13,9,False
2014-09-30,76,0,3,19,14,False
2014-10-01,75,0,3,14,12,False
2014-10-02,83,0,2,16,9,False
2014-10-03,75,0,3,16,10,False
2014-10-04,78,1,2,16,7,False
2014-10-05,86,0,2,11,8,False
2014-10-06,73,1,4,13,12,False
2014-10-07,76,0,2,13,9,False
2014-10-08,74,1,3,10,11,False
2014-10-09,78,1,5,17,11,False
2014-10-10,70,0,3,14,10,False
2014-10-11,82,0,2,10,10,False
2014-10-12,80,1,3,11,6,False
2014-10-13,74,1,3,14,10,False
2014-10-14,69,1,2,14,9,False
2014-10-15,76,1,3,15,10,False
2014-10-16,82,0,3,14,14,False
2014-10-17,83,1,2,15,12,False
2014-10-18,74,1,3,11,3,False
2014-10-19,82,0,3,13,6,False
2014-10-20,80,0,2,16,8,False
2014-10-21,75,1,4,16,10,False
2014-10-22,90,0,3,15,9,False
2014-10-23,73,1,2,16,11,False
2014-10-24,74,0,3,13,9,False
2014-10-25,72,1,2,10,6,False
2014-10-26,78,0,4,15,7,False
2014-10-27,78,0,3,13,12,False
2014-10-28,77,1,4,20,9,False
2014-10-29,77,1,4,14,10,False
2014-10-30,71,1,3,15,7,False
2014-10-31,61,1,5,15,6,False
