date,costliness,costly,debtor,default,depression,isPartial
2014-06-07,0,1,0,22,22,False
2014-06-08,0,0,0,23,28,False
2014-06-09,0,1,0,33,31,False
2014-06-10,0,0,0,36,29,False
2014-06-11,0,1,0,34,28,False
2014-06-12,0,0,1,37,27,False
2014-06-13,0,0,1,33,26,False
2014-06-14,0,0,0,24,23,False
2014-06-15,0,2,0,26,24,False
2014-06-16,0,0,0,48,29,False
2014-06-17,0,0,0,56,28,False
2014-06-18,0,1,0,37,28,False
2014-06-19,0,0,0,36,27,False
2014-06-20,0,4,0,33,26,False
2014-06-21,0,1,0,23,23,False
2014-06-22,0,1,0,25,27,False
2014-06-23,0,1,1,33,27,False
2014-06-24,0,0,0,34,26,False
2014-06-25,0,1,1,34,25,False
2014-06-26,0,1,0,36,25,False
2014-06-27,0,0,0,33,24,False
2014-06-28,0,1,0,24,23,False
2014-06-29,0,1,0,21,28,False
2014-06-30,0,0,0,32,25,False
2014-07-01,0,1,0,36,30,False
2014-07-02,0,0,0,34,26,False
2014-07-03,0,0,0,32,27,False
2014-07-04,0,0,0,21,21,False
2014-07-05,0,0,0,21,24,False
2014-07-06,0,1,0,22,30,False
2014-07-07,0,0,0,37,27,False
2014-07-08,0,1,0,33,24,False
2014-07-09,0,0,0,35,25,False
2014-07-10,0,0,0,39,27,False
2014-07-11,0,0,1,35,23,False
2014-07-12,0,0,0,21,23,False
2014-07-13,0,0,0,21,26,False
2014-07-14,0,0,0,32,27,False
2014-07-15,0,0,0,34,24,False
2014-07-16,0,0,1,37,27,False
2014-07-17,0,1,0,35,24,False
2014-07-18,0,0,0,34,26,False
2014-07-19,0,0,0,25,23,False
2014-07-20,0,0,0,25,27,False
2014-07-21,0,0,0,36,27,False
2014-07-22,0,0,1,39,28,False
2014-07-23,0,1,0,35,25,False
2014-07-24,0,0,0,37,25,False
2014-07-25,0,0,0,36,24,False
2014-07-26,0,0,0,21,24,False
2014-07-27,0,0,0,25,26,False
2014-07-28,0,0,0,35,26,False
2014-07-29,0,0,0,38,24,False
2014-07-30,0,0,0,39,25,False
2014-07-31,0,0,0,48,26,False
2014-08-01,0,0,0,36,25,False
2014-08-02,0,0,0,24,23,False
2014-08-03,0,0,0,26,26,False
2014-08-04,0,0,0,35,26,False
2014-08-05,0,0,0,39,26,False
2014-08-06,0,0,1,37,25,False
2014-08-07,0,0,1,38,26,False
2014-08-08,0,0,0,33,23,False
2014-08-09,0,0,0,24,22,False
2014-08-10,0,0,0,22,22,False
2014-08-11,0,0,0,35,31,False
2014-08-12,0,0,0,35,100,False
2014-08-13,0,0,1,38,62,False
2014-08-14,0,0,0,36,51,False
2014-08-15,0,0,0,32,38,False
2014-08-16,0,0,0,25,35,False
2014-08-17,0,0,0,22,37,False
2014-08-18,0,0,1,37,36,False
2014-08-19,0,0,0,34,35,False
2014-08-20,0,0,0,38,36,False
2014-08-21,0,0,1,36,34,False
2014-08-22,0,0,0,37,34,False
2014-08-23,0,0,0,24,33,False
2014-08-24,0,0,0,24,31,False
2014-08-25,0,0,0,34,32,False
2014-08-26,0,1,0,35,32,False
2014-08-27,0,0,0,36,32,False
2014-08-28,0,0,0,37,31,False
2014-08-29,0,0,1,32,31,False
2014-08-30,0,0,0,23,28,False
2014-08-31,0,0,0,23,29,False
2014-09-01,0,0,0,22,32,False
2014-09-02,0,0,1,34,31,False
2014-09-03,0,0,0,35,32,False
2014-09-04,0,0,1,36,32,False
2014-09-05,0,0,1,30,32,False
2014-09-06,0,0,0,22,28,False
2014-09-07,0,0,0,23,31,False
2014-09-08,0,0,1,33,33,False
2014-09-09,0,0,1,33,34,False
2014-09-10,0,1,0,36,35,False
2014-09-11,0,0,0,36,34,False
2014-09-12,0,1,0,33,30,False
2014-09-13,0,0,0,24,28,False
2014-09-14,0,0,0,21,28,False
2014-09-15,0,1,0,38,35,False
2014-09-16,0,0,0,35,35,False
2014-09-17,0,1,1,38,37,False
2014-09-18,0,0,1,37,34,False
2014-09-19,0,0,1,34,35,False
2014-09-20,0,1,0,25,27,False
