date,destitute,extravagant,fire,gamble,hole
2004-03-25,0,0.0,71.3689834335,2.76041666667,10.0181394331
2004-03-26,0,0.0,77.4172023685,2.76041666667,11.1312660367
2004-03-27,0,0.0,66.5304082855,1.38020833333,15.5837724514
2004-03-28,0,0.0,58.0629017764,1.38020833333,8.9050128294
2004-03-29,0,0.0,66.5304082855,4.140625,11.1312660367
2004-03-30,0,0.0,62.9014769244,2.76041666667,8.9050128294
2004-03-31,0,0.0,68.9496958595,1.38020833333,10.0181394331
2004-04-01,0,0.0,66.5304082855,4.140625,12.2443926404
2004-04-02,0,0.0,66.5304082855,2.76041666667,11.1312660367
2004-04-03,0,0.0,68.9496958595,0.0,12.2443926404
2004-04-04,0,0.0,72.5786272205,1.38020833333,12.2443926404
2004-04-05,0,0.0,61.6918331374,4.140625,13.3575192441
2004-04-06,0,0.0,62.9014769244,4.140625,12.2443926404
2004-04-07,0,0.0,60.4821893504,4.140625,12.2443926404
2004-04-08,0,0.0,55.6436142024,2.76041666667,10.0181394331
2004-04-09,0,0.0,66.5304082855,5.52083333333,7.79188622572
2004-04-10,0,0.0,68.9496958595,4.140625,8.9050128294
2004-04-11,0,0.0,49.5953952673,2.76041666667,11.1312660367
2004-04-12,0,0.0,0.0,0.0,0.0
2004-04-13,0,0.0,0.0,0.0,0.0
2004-04-14,0,0.0,48.3857514803,5.52083333333,10.0181394331
2004-04-15,0,0.0,59.2725455634,4.140625,12.2443926404
2004-04-16,0,0.0,54.4339704154,2.76041666667,7.79188622572
2004-04-17,0,0.0,65.3207644984,4.140625,10.0181394331
2004-04-18,0,0.0,64.1111207114,1.38020833333,10.0181394331
2004-04-19,0,0.0,67.7400520725,2.76041666667,11.1312660367
2004-04-20,0,0.0,59.2725455634,1.38020833333,10.0181394331
2004-04-21,0,0.0,56.8532579894,2.76041666667,6.67875962205
2004-04-22,0,0.0,72.5786272205,4.140625,11.1312660367
2004-04-23,0,0.0,60.4821893504,4.140625,41.185684336
2004-04-24,0,0.0,72.5786272205,1.38020833333,22.2625320735
2004-04-25,0,0.0,77.4172023685,4.140625,18.9231522625
2004-04-26,0,0.0,72.5786272205,2.76041666667,12.2443926404
2004-04-27,0,0.0,74.9979147945,2.76041666667,8.9050128294
2004-04-28,0,0.0,64.1111207114,1.38020833333,11.1312660367
2004-04-29,0,0.0,67.7400520725,4.140625,12.2443926404
2004-04-30,0,0.0,64.1111207114,4.140625,13.3575192441
2004-05-01,0,0.0,74.9979147945,1.38020833333,11.1312660367
2004-05-02,0,0.0,74.9979147945,1.38020833333,14.4706458478
2004-05-03,0,0.0,66.5304082855,1.38020833333,8.9050128294
2004-05-04,0,0.0,76.2075585815,5.52083333333,12.2443926404
2004-05-05,0,0.0,67.7400520725,4.140625,13.3575192441
2004-05-06,0,0.0,65.3207644984,4.140625,12.2443926404
2004-05-07,0,0.0,71.3689834335,2.76041666667,14.4706458478
2004-05-08,0,0.0,65.3207644984,2.76041666667,12.2443926404
2004-05-09,0,0.0,74.9979147945,2.76041666667,14.4706458478
2004-05-10,0,0.0,72.5786272205,4.140625,13.3575192441
