date,unprofitable,vagabond,vagrant,abundance,accrue
2004-01-01,0.0,93.3526365209,0.0,0.0,0.0
2004-01-02,0.0,40.3375589905,0.0,0.0,0.0
2004-01-03,0.0,74.9126095538,61.9653504643,105.164114047,0.0
2004-01-04,0.0,24.2025353943,0.0,0.0,0.0
2004-01-05,0.0,0.0,140.830341964,244.567707085,456.549618984
2004-01-06,0.0,0.0,0.0,41.5765102045,0.0
2004-01-07,0.0,0.0,36.6158889107,61.1419267713,0.0
2004-01-08,0.0,44.9475657323,143.646948804,31.7938019211,0.0
2004-01-09,0.0,14.9825219108,0.0,0.0,0.0
2004-01-10,0.0,0.0,0.0,48.913541417,0.0
2004-01-11,0.0,0.0,59.148743625,0.0,0.0
2004-01-12,0.0,28.8125421361,0.0,61.1419267713,0.0
2004-01-13,0.0,27.6600404506,67.5985641429,58.6962497004,109.571908556
2004-01-14,0.0,13.8300202253,33.7992820715,58.6962497004,109.571908556
2004-01-15,0.0,27.6600404506,33.7992820715,58.6962497004,0.0
2004-01-16,0.0,0.0,73.2317778215,95.3814057632,0.0
2004-01-17,0.0,23.0500337089,56.3321367858,0.0,0.0
2004-01-18,0.0,47.2525691032,59.148743625,100.272759905,0.0
2004-01-19,0.0,16.1350235962,115.480880411,34.2394789919,127.833893315
2004-01-20,0.0,41.490060676,33.7992820715,0.0,0.0
2004-01-21,0.0,13.8300202253,67.5985641429,29.3481248502,0.0
2004-01-22,0.0,0.0,33.7992820715,0.0,109.571908556
2004-01-23,0.0,14.9825219108,70.4151709822,0.0,0.0
2004-01-24,0.0,44.9475657323,109.847666732,46.4678643462,0.0
2004-01-25,0.0,0.0,53.5155299465,0.0,0.0
2004-01-26,0.0,41.490060676,33.7992820715,29.3481248502,0.0
2004-01-27,0.0,26.5075387652,98.5812393751,0.0,0.0
2004-01-28,0.0,27.6600404506,67.5985641429,85.5986974798,0.0
2004-01-29,0.0,27.6600404506,33.7992820715,0.0,0.0
2004-01-30,0.0,0.0,70.4151709822,31.7938019211,118.702900936
2004-01-31,0.0,21.8975320234,0.0,95.3814057632,0.0
2004-02-01,0.0,23.0500337089,0.0,48.913541417,0.0
2004-02-02,0.0,0.0,30.9826752322,26.9024477794,0.0
2004-02-03,0.0,76.0651112392,30.9826752322,0.0,100.440916176
2004-02-04,0.0,38.0325556196,30.9826752322,110.055468188,0.0
2004-02-05,0.0,39.1850573051,0.0,26.9024477794,0.0
2004-02-06,0.0,0.0,33.7992820715,0.0,0.0
2004-02-07,0.0,0.0,143.646948804,124.729530613,0.0
2004-02-08,0.0,66.8450977557,0.0,70.9246350547,0.0
2004-02-09,0.0,40.3375589905,0.0,0.0,0.0
2004-02-10,0.0,64.5400943848,61.9653504643,26.9024477794,0.0
2004-02-11,0.0,40.3375589905,0.0,29.3481248502,0.0
2004-02-12,0.0,26.5075387652,33.7992820715,29.3481248502,109.571908556
2004-02-13,0.0,14.9825219108,36.6158889107,0.0,0.0
2004-02-14,0.0,23.0500337089,0.0,48.913541417,0.0
2004-02-15,0.0,0.0,59.148743625,51.3592184879,0.0
2004-02-16,0.0,29.9650438215,36.6158889107,161.414686676,0.0
2004-02-17,0.0,26.5075387652,0.0,26.9024477794,0.0
2004-02-18,0.0,26.5075387652,95.7646325358,0.0,0.0
2004-02-19,0.0,54.1675792158,33.7992820715,56.2505726296,0.0
2004-02-20,0.0,42.6425623614,0.0,61.1419267713,0.0
2004-02-21,0.0,0.0,0.0,46.4678643462,0.0
2004-02-22,0.0,0.0,0.0,0.0,0.0
2004-02-23,0.0,25.3550370797,123.930700929,26.9024477794,0.0
2004-02-24,0.0,12.6775185399,30.9826752322,26.9024477794,0.0
2004-02-25,0.0,25.3550370797,30.9826752322,163.860363747,0.0
2004-02-26,0.0,39.1850573051,30.9826752322,56.2505726296,0.0
2004-02-27,0.0,28.8125421361,0.0,29.3481248502,0.0
2004-02-28,0.0,21.8975320234,53.5155299465,0.0,0.0
2004-02-29,0.0,0.0,0.0,136.957915968,0.0
2004-03-01,0.0,0.0,42.2491025893,112.501145259,0.0
2004-03-02,0.0,25.3550370797,61.9653504643,53.8048955587,0.0
2004-03-03,0.0,44.9475657323,0.0,0.0,0.0
2004-03-04,0.0,36.8800539342,0.0,39.1308331336,146.095878075
2004-03-05,0.0,0.0,0.0,0.0,0.0
2004-03-06,0.0,69.1501011266,84.4982051786,73.3703121255,0.0
2004-03-07,0.0,0.0,0.0,0.0,0.0
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,0.0,18.4400269671,0.0,39.1308331336,0.0
2004-03-11,0.0,0.0,0.0,0.0,0.0
2004-03-12,0.0,0.0,0.0,0.0,0.0
2004-03-13,0.0,44.9475657323,0.0,0.0,0.0
2004-03-14,0.0,0.0,0.0,95.3814057632,0.0
2004-03-15,0.0,39.1850573051,30.9826752322,56.2505726296,0.0
2004-03-16,0.0,25.3550370797,30.9826752322,26.9024477794,0.0
2004-03-17,0.0,0.0,30.9826752322,0.0,0.0
2004-03-18,0.0,54.1675792158,64.7819573036,29.3481248502,0.0
2004-03-19,0.0,13.8300202253,104.214453054,61.1419267713,0.0
2004-03-20,0.0,46.1000674177,56.3321367858,48.913541417,182.619847593
2004-03-21,0.0,21.8975320234,53.5155299465,95.3814057632,0.0
2004-03-22,0.0,53.0150775304,0.0,0.0,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,0.0,17.2875252816,0.0,36.6851560628,0.0
2004-03-25,0.0,0.0,0.0,0.0,0.0
2004-03-26,0.0,40.3375589905,47.8823162679,0.0,0.0
2004-03-27,0.0,66.8450977557,53.5155299465,46.4678643462,0.0
2004-03-28,0.0,0.0,0.0,0.0,0.0
2004-03-29,0.0,12.6775185399,61.9653504643,26.9024477794,100.440916176
2004-03-30,0.0,12.6775185399,0.0,102.718436976,100.440916176
2004-03-31,0.0,25.3550370797,61.9653504643,0.0,0.0
2004-04-01,0.0,25.3550370797,30.9826752322,0.0,0.0
2004-04-02,0.0,13.8300202253,0.0,0.0,0.0
2004-04-03,0.0,44.9475657323,0.0,0.0,0.0
2004-04-04,0.0,0.0,0.0,0.0,173.488855214
2004-04-05,0.0,26.5075387652,64.7819573036,0.0,0.0
2004-04-06,0.0,0.0,61.9653504643,83.1530204089,0.0
2004-04-07,0.0,78.3701146101,0.0,83.1530204089,0.0
2004-04-08,0.0,26.5075387652,33.7992820715,0.0,0.0
2004-04-09,0.0,48.4050707886,39.43249575,0.0,0.0
2004-04-10,0.0,0.0,0.0,0.0,0.0
2004-04-11,0.0,73.7601078684,0.0,0.0,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,36.8800539342,61.9653504643,26.9024477794,0.0
2004-04-15,0.0,0.0,61.9653504643,0.0,0.0
2004-04-16,0.0,0.0,0.0,29.3481248502,0.0
2004-04-17,0.0,23.0500337089,0.0,48.913541417,0.0
2004-04-18,0.0,21.8975320234,0.0,46.4678643462,0.0
2004-04-19,0.0,38.0325556196,0.0,53.8048955587,0.0
2004-04-20,0.0,0.0,0.0,51.3592184879,0.0
2004-04-21,0.0,12.6775185399,0.0,51.3592184879,0.0
2004-04-22,0.0,25.3550370797,0.0,0.0,0.0
2004-04-23,0.0,26.5075387652,0.0,29.3481248502,0.0
2004-04-24,0.0,67.9975994411,56.3321367858,95.3814057632,0.0
2004-04-25,0.0,0.0,0.0,0.0,0.0
2004-04-26,0.0,0.0,30.9826752322,0.0,0.0
2004-04-27,0.0,11.5250168544,0.0,0.0,91.3099237967
2004-04-28,0.0,36.8800539342,30.9826752322,0.0,0.0
2004-04-29,0.0,0.0,0.0,26.9024477794,0.0
2004-04-30,0.0,40.3375589905,0.0,0.0,0.0
2004-05-01,0.0,0.0,107.031059893,0.0,0.0
2004-05-02,0.0,41.490060676,0.0,44.0221872753,0.0
2004-05-03,0.0,11.5250168544,28.1660683929,75.8159891964,0.0
