date,legal,lucrative,luxury,meritorious,nobility
2004-01-01,71.6598021341,0.0,12.9981547334,0.0,0.0
2004-01-02,97.4573309024,0.0,24.6964939934,0.0,0.0
2004-01-03,71.6598021341,0.0,33.7952023067,0.0,0.0
2004-01-04,70.2266060914,0.0,29.8957558867,0.0,0.0
2004-01-05,58.76103775,0.0,36.3948332534,0.0,0.0
2004-01-06,121.821663628,0.0,27.2961249401,0.0,0.0
2004-01-07,127.554447799,0.0,33.7952023067,0.0,0.0
2004-01-08,97.4573309024,0.0,32.4953868334,0.0,0.0
2004-01-09,121.821663628,0.0,31.1955713601,0.0,0.0
2004-01-10,96.0241348597,0.0,23.3966785201,0.0,0.0
2004-01-11,83.1253704756,0.0,31.1955713601,0.0,0.0
2004-01-12,97.4573309024,0.0,33.7952023067,0.0,0.0
2004-01-13,97.4573309024,0.0,27.2961249401,0.0,0.0
2004-01-14,118.955271543,0.0,25.9963094667,0.0,0.0
2004-01-15,98.8905269451,0.0,19.4972321,0.0,0.0
2004-01-16,123.254859671,0.0,25.9963094667,0.0,0.0
2004-01-17,75.9593902622,0.0,18.1974166267,0.0,0.0
2004-01-18,87.4249586036,0.0,28.5959404134,0.0,0.0
2004-01-19,94.590938817,0.0,32.4953868334,0.0,0.0
2004-01-20,106.056507158,0.0,28.5959404134,0.0,0.0
2004-01-21,120.388467585,0.0,22.0968630467,0.0,0.0
2004-01-22,124.688055713,0.0,22.0968630467,0.0,0.0
2004-01-23,83.1253704756,0.0,23.3966785201,0.0,0.0
2004-01-24,110.356095287,0.0,22.0968630467,0.0,0.0
2004-01-25,84.5585665183,0.0,31.1955713601,0.0,0.0
2004-01-26,106.056507158,0.0,27.2961249401,0.0,0.0
2004-01-27,113.222487372,0.0,24.6964939934,0.0,0.0
2004-01-28,104.623311116,0.0,22.0968630467,0.0,0.0
2004-01-29,118.955271543,0.0,19.4972321,0.0,0.0
2004-01-30,126.121251756,0.0,28.5959404134,0.0,0.0
2004-01-31,96.0241348597,0.0,25.9963094667,0.0,0.0
2004-02-01,91.7245467317,0.0,31.1955713601,0.0,0.0
2004-02-02,91.7245467317,0.0,28.5959404134,0.0,0.0
2004-02-03,106.056507158,0.0,25.9963094667,0.0,0.0
2004-02-04,97.4573309024,0.0,25.9963094667,0.0,0.0
2004-02-05,118.955271543,0.0,20.7970475734,0.0,0.0
2004-02-06,98.8905269451,0.0,29.8957558867,0.0,0.0
2004-02-07,85.9917625609,0.0,23.3966785201,0.0,0.0
2004-02-08,118.955271543,0.0,24.6964939934,0.0,0.0
2004-02-09,93.1577427743,0.0,28.5959404134,0.0,0.0
2004-02-10,103.190115073,0.0,24.6964939934,0.0,0.0
2004-02-11,108.922899244,0.0,16.8976011534,0.0,0.0
2004-02-12,118.955271543,0.0,24.6964939934,0.0,0.0
2004-02-13,96.0241348597,0.0,24.6964939934,0.0,0.0
2004-02-14,84.5585665183,0.0,32.4953868334,0.0,0.0
2004-02-15,93.1577427743,0.0,35.0950177801,0.0,0.0
2004-02-16,96.0241348597,0.0,32.4953868334,0.0,0.0
2004-02-17,123.254859671,0.0,24.6964939934,0.0,0.0
2004-02-18,126.121251756,0.0,27.2961249401,0.0,0.0
2004-02-19,108.922899244,0.0,19.4972321,0.0,0.0
2004-02-20,116.088879457,0.0,25.9963094667,0.0,0.0
2004-02-21,73.0929981768,0.0,31.1955713601,0.0,0.0
2004-02-22,71.6598021341,0.0,28.5959404134,0.0,0.0
2004-02-23,117.5220755,0.0,25.9963094667,0.0,0.0
2004-02-24,123.254859671,0.0,28.5959404134,0.0,0.0
2004-02-25,110.356095287,0.0,19.4972321,0.0,0.0
2004-02-26,116.088879457,0.0,25.9963094667,0.0,0.0
2004-02-27,110.356095287,0.0,16.8976011534,0.0,0.0
2004-02-28,90.291350689,0.0,18.1974166267,0.0,0.0
2004-02-29,77.3925863048,0.0,18.1974166267,0.0,0.0
2004-03-01,130.420839884,0.0,31.1955713601,0.0,0.0
2004-03-02,114.655683415,0.0,16.8976011534,0.0,0.0
2004-03-03,121.821663628,0.0,15.59778568,0.0,0.0
2004-03-04,116.088879457,0.0,32.4953868334,0.0,0.0
2004-03-05,143.319604268,0.0,45.4935415668,0.0,0.0
2004-03-06,83.1253704756,0.0,22.0968630467,0.0,0.0
2004-03-07,68.7934100487,0.0,25.9963094667,0.0,0.0
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,121.821663628,0.0,14.2979702067,0.0,0.0
2004-03-11,91.7245467317,0.0,11.69833926,0.0,0.0
2004-03-12,131.854035927,0.0,24.6964939934,0.0,0.0
2004-03-13,90.291350689,0.0,35.0950177801,0.0,0.0
2004-03-14,65.9270179634,0.0,25.9963094667,0.0,0.0
2004-03-15,106.056507158,0.0,20.7970475734,0.0,0.0
2004-03-16,117.5220755,0.0,23.3966785201,0.0,0.0
2004-03-17,108.922899244,0.0,18.1974166267,0.0,0.0
2004-03-18,110.356095287,0.0,20.7970475734,0.0,0.0
2004-03-19,121.821663628,0.0,24.6964939934,0.0,0.0
2004-03-20,77.3925863048,0.0,33.7952023067,0.0,0.0
2004-03-21,98.8905269451,0.0,25.9963094667,0.0,0.0
2004-03-22,60.1942337927,0.0,15.59778568,0.0,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,124.688055713,0.0,12.9981547334,0.0,0.0
2004-03-25,116.088879457,0.0,27.2961249401,0.0,0.0
2004-03-26,100.323722988,0.0,22.0968630467,0.0,0.0
2004-03-27,100.323722988,0.0,19.4972321,0.0,0.0
2004-03-28,85.9917625609,0.0,27.2961249401,0.0,0.0
2004-03-29,113.222487372,0.0,24.6964939934,0.0,0.0
2004-03-30,116.088879457,0.0,25.9963094667,0.0,0.0
2004-03-31,128.987643841,0.0,20.7970475734,0.0,0.0
2004-04-01,136.153624055,0.0,20.7970475734,0.0,0.0
2004-04-02,100.323722988,0.0,24.6964939934,0.0,0.0
2004-04-03,93.1577427743,0.0,29.8957558867,0.0,0.0
2004-04-04,88.8581546463,0.0,33.7952023067,0.0,0.0
2004-04-05,94.590938817,0.0,28.5959404134,0.0,0.0
2004-04-06,94.590938817,0.0,25.9963094667,0.0,0.0
2004-04-07,120.388467585,0.0,25.9963094667,0.0,0.0
2004-04-08,107.489703201,0.0,20.7970475734,0.0,0.0
2004-04-09,117.5220755,0.0,24.6964939934,0.0,0.0
2004-04-10,71.6598021341,0.0,31.1955713601,0.0,0.0
2004-04-11,70.2266060914,0.0,16.8976011534,0.0,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,91.7245467317,0.0,23.3966785201,0.0,0.0
2004-04-15,106.056507158,0.0,24.6964939934,0.0,0.0
2004-04-16,118.955271543,0.0,18.1974166267,0.0,0.0
2004-04-17,65.9270179634,0.0,22.0968630467,0.0,0.0
2004-04-18,91.7245467317,0.0,40.2942796734,0.0,0.0
2004-04-19,128.987643841,0.0,19.4972321,0.0,0.0
2004-04-20,111.789291329,0.0,27.2961249401,0.0,0.0
2004-04-21,107.489703201,0.0,27.2961249401,0.0,0.0
2004-04-22,121.821663628,0.0,28.5959404134,0.0,0.0
2004-04-23,113.222487372,0.0,24.6964939934,0.0,0.0
2004-04-24,87.4249586036,0.0,23.3966785201,0.0,0.0
2004-04-25,94.590938817,0.0,31.1955713601,0.0,0.0
2004-04-26,96.0241348597,0.0,33.7952023067,0.0,0.0
2004-04-27,108.922899244,0.0,33.7952023067,0.0,0.0
2004-04-28,101.75691903,0.0,27.2961249401,0.0,0.0
2004-04-29,91.7245467317,0.0,22.0968630467,0.0,0.0
2004-04-30,96.0241348597,0.0,23.3966785201,0.0,0.0
2004-05-01,68.7934100487,0.0,19.4972321,0.0,0.0
2004-05-02,78.8257823475,0.0,23.3966785201,0.0,0.0
2004-05-03,96.0241348597,0.0,27.2961249401,0.0,0.0
2004-05-04,107.489703201,0.0,29.8957558867,0.0,0.0
2004-05-05,104.623311116,0.0,27.2961249401,0.0,0.0
2004-05-06,121.821663628,0.0,20.7970475734,0.0,0.0
2004-05-07,98.8905269451,0.0,15.59778568,0.0,0.0
2004-05-08,77.3925863048,0.0,23.3966785201,0.0,0.0
2004-05-09,94.590938817,0.0,22.0968630467,0.0,0.0
2004-05-10,103.190115073,0.0,24.6964939934,0.0,0.0
2004-05-11,114.655683415,0.0,28.5959404134,0.0,0.0
2004-05-12,107.489703201,0.0,19.4972321,0.0,0.0
2004-05-13,108.922899244,0.0,23.3966785201,0.0,0.0
2004-05-14,103.190115073,0.0,27.2961249401,0.0,0.0
2004-05-15,57.3278417073,0.0,23.3966785201,0.0,0.0
2004-05-16,97.4573309024,0.0,32.4953868334,0.0,0.0
2004-05-17,116.088879457,0.0,25.9963094667,0.0,0.0
2004-05-18,107.489703201,0.0,27.2961249401,0.0,0.0
2004-05-19,130.420839884,0.0,25.9963094667,0.0,0.0
2004-05-20,103.190115073,0.0,22.0968630467,0.0,0.0
2004-05-21,98.8905269451,0.0,22.0968630467,0.0,0.0
2004-05-22,88.8581546463,0.0,22.0968630467,0.0,0.0
2004-05-23,85.9917625609,0.0,23.3966785201,0.0,0.0
2004-05-24,107.489703201,0.0,27.2961249401,0.0,0.0
2004-05-25,108.922899244,0.0,23.3966785201,0.0,0.0
2004-05-26,123.254859671,0.0,23.3966785201,0.0,0.0
2004-05-27,106.056507158,0.0,23.3966785201,0.0,0.0
2004-05-28,94.590938817,0.0,25.9963094667,0.0,0.0
2004-05-29,70.2266060914,0.0,31.1955713601,0.0,0.0
2004-05-30,91.7245467317,0.0,18.1974166267,0.0,0.0
2004-05-31,81.6921744329,0.0,29.8957558867,0.0,0.0
2004-06-01,106.056507158,0.0,23.3966785201,0.0,0.0
2004-06-02,116.088879457,0.0,23.3966785201,0.0,0.0
2004-06-03,106.056507158,0.0,20.7970475734,0.0,0.0
2004-06-04,114.655683415,0.0,23.3966785201,0.0,0.0
2004-06-05,78.8257823475,0.0,16.8976011534,0.0,0.0
2004-06-06,68.7934100487,0.0,31.1955713601,0.0,0.0
2004-06-07,84.5585665183,0.0,19.4972321,0.0,0.0
2004-06-08,110.356095287,0.0,22.0968630467,0.0,0.0
2004-06-09,118.955271543,0.0,28.5959404134,0.0,0.0
2004-06-10,118.955271543,0.0,20.7970475734,0.0,0.0
2004-06-11,97.4573309024,0.0,24.6964939934,0.0,0.0
2004-06-12,70.2266060914,0.0,22.0968630467,0.0,0.0
2004-06-13,104.623311116,0.0,28.5959404134,0.0,0.0
2004-06-14,100.323722988,0.0,28.5959404134,0.0,0.0
2004-06-15,116.088879457,0.0,25.9963094667,0.0,0.0
2004-06-16,123.254859671,0.0,37.6946487268,0.0,0.0
2004-06-17,101.75691903,0.0,25.9963094667,0.0,0.0
2004-06-18,100.323722988,0.0,19.4972321,0.0,0.0
2004-06-19,84.5585665183,0.0,25.9963094667,0.0,0.0
2004-06-20,74.5261942195,0.0,22.0968630467,0.0,0.0
2004-06-21,117.5220755,0.0,40.2942796734,0.0,0.0
2004-06-22,118.955271543,0.0,24.6964939934,0.0,0.0
2004-06-23,110.356095287,0.0,36.3948332534,0.0,0.0
2004-06-24,137.586820097,0.0,25.9963094667,0.0,0.0
2004-06-25,85.9917625609,0.0,33.7952023067,0.0,0.0
2004-06-26,84.5585665183,0.0,23.3966785201,0.0,0.0
2004-06-27,94.590938817,0.0,32.4953868334,0.0,0.0
2004-06-28,117.5220755,0.0,37.6946487268,0.0,0.0
2004-06-29,114.655683415,0.0,32.4953868334,0.0,0.0
2004-06-30,120.388467585,0.0,25.9963094667,0.0,0.0
2004-07-01,114.655683415,0.0,31.1955713601,0.0,0.0
2004-07-02,110.356095287,0.0,24.6964939934,0.0,0.0
2004-07-03,108.922899244,0.0,31.1955713601,0.0,0.0
2004-07-04,73.0929981768,0.0,22.0968630467,0.0,0.0
2004-07-05,91.7245467317,0.0,35.0950177801,0.0,0.0
2004-07-06,120.388467585,0.0,31.1955713601,0.0,0.0
2004-07-07,124.688055713,0.0,35.0950177801,0.0,0.0
2004-07-08,123.254859671,0.0,31.1955713601,0.0,0.0
2004-07-09,110.356095287,0.0,19.4972321,0.0,0.0
2004-07-10,87.4249586036,0.0,27.2961249401,0.0,0.0
2004-07-11,93.1577427743,0.0,23.3966785201,0.0,0.0
2004-07-12,120.388467585,0.0,28.5959404134,0.0,0.0
2004-07-13,121.821663628,0.0,20.7970475734,0.0,0.0
2004-07-14,90.291350689,0.0,29.8957558867,0.0,0.0
2004-07-15,124.688055713,0.0,31.1955713601,0.0,0.0
2004-07-16,98.8905269451,0.0,16.8976011534,0.0,0.0
2004-07-17,87.4249586036,0.0,33.7952023067,0.0,0.0
2004-07-18,85.9917625609,0.0,33.7952023067,0.0,0.0
2004-07-19,100.323722988,0.0,31.1955713601,0.0,0.0
2004-07-20,103.190115073,0.0,25.9963094667,0.0,0.0
2004-07-21,116.088879457,0.0,28.5959404134,0.0,0.0
2004-07-22,104.623311116,0.0,28.5959404134,0.0,0.0
2004-07-23,114.655683415,0.0,28.5959404134,0.0,0.0
2004-07-24,83.1253704756,0.0,33.7952023067,0.0,0.0
2004-07-25,91.7245467317,0.0,28.5959404134,0.0,0.0
2004-07-26,124.688055713,0.0,37.6946487268,0.0,0.0
2004-07-27,118.955271543,0.0,28.5959404134,0.0,0.0
2004-07-28,113.222487372,0.0,32.4953868334,0.0,0.0
2004-07-29,104.623311116,0.0,23.3966785201,0.0,0.0
2004-07-30,124.688055713,0.0,23.3966785201,0.0,0.0
2004-07-31,74.5261942195,0.0,18.1974166267,0.0,0.0
2004-08-01,74.5261942195,0.0,31.1955713601,0.0,0.0
2004-08-02,97.4573309024,0.0,32.4953868334,0.0,0.0
2004-08-03,107.489703201,0.0,25.9963094667,0.0,0.0
2004-08-04,118.955271543,0.0,29.8957558867,0.0,0.0
2004-08-05,121.821663628,0.0,27.2961249401,0.0,0.0
2004-08-06,107.489703201,0.0,28.5959404134,0.0,0.0
2004-08-07,83.1253704756,0.0,32.4953868334,0.0,0.0
2004-08-08,90.291350689,0.0,28.5959404134,0.0,0.0
2004-08-09,98.8905269451,0.0,23.3966785201,0.0,0.0
2004-08-10,111.789291329,0.0,35.0950177801,0.0,0.0
2004-08-11,114.655683415,0.0,27.2961249401,0.0,0.0
2004-08-12,120.388467585,0.0,27.2961249401,0.0,0.0
2004-08-13,93.1577427743,0.0,22.0968630467,0.0,0.0
2004-08-14,90.291350689,0.0,19.4972321,0.0,0.0
2004-08-15,63.060625878,0.0,24.6964939934,0.0,0.0
2004-08-16,126.121251756,0.0,29.8957558867,0.0,0.0
2004-08-17,98.8905269451,0.0,23.3966785201,0.0,0.0
2004-08-18,121.821663628,0.0,27.2961249401,0.0,0.0
2004-08-19,108.922899244,0.0,19.4972321,0.0,0.0
2004-08-20,108.922899244,0.0,32.4953868334,0.0,0.0
2004-08-21,81.6921744329,0.0,20.7970475734,0.0,0.0
2004-08-22,88.8581546463,0.0,36.3948332534,0.0,0.0
2004-08-23,101.75691903,0.0,28.5959404134,0.0,0.0
2004-08-24,126.121251756,0.0,25.9963094667,0.0,0.0
2004-08-25,110.356095287,0.0,27.2961249401,0.0,0.0
2004-08-26,108.922899244,0.0,32.4953868334,0.0,0.0
2004-08-27,114.655683415,0.0,25.9963094667,0.0,0.0
2004-08-28,91.7245467317,0.0,35.0950177801,0.0,0.0
2004-08-29,83.1253704756,0.0,29.8957558867,0.0,0.0
2004-08-30,116.088879457,0.0,31.1955713601,0.0,0.0
2004-08-31,106.056507158,0.0,35.0950177801,0.0,0.0
2004-09-01,107.489703201,0.0,20.7970475734,0.0,0.0
2004-09-02,124.688055713,0.0,29.8957558867,0.0,0.0
2004-09-03,116.088879457,0.0,23.3966785201,0.0,0.0
2004-09-04,94.590938817,0.0,20.7970475734,0.0,0.0
2004-09-05,100.323722988,0.0,31.1955713601,0.0,0.0
2004-09-06,90.291350689,0.0,33.7952023067,0.0,0.0
2004-09-07,100.323722988,0.0,25.9963094667,0.0,0.0
2004-09-08,108.922899244,0.0,24.6964939934,0.0,0.0
2004-09-09,113.222487372,0.0,24.6964939934,0.0,0.0
2004-09-10,108.922899244,0.0,25.9963094667,0.0,0.0
2004-09-11,90.2575136762,0.0,25.1854917808,0.0,0.0
2004-09-12,79.7274704139,0.0,18.5577307858,0.0,0.0
2004-09-13,109.813308306,0.0,18.5577307858,0.0,0.0
2004-09-14,120.343351568,0.0,27.8365961788,0.0,0.0
2004-09-15,105.300432622,0.0,17.2321785869,0.0,0.0
2004-09-16,130.87339483,0.0,22.5343873828,0.0,0.0
2004-09-17,97.7789731492,0.0,19.8832829848,0.0,0.0
2004-09-18,67.6931352571,0.0,21.2088351838,0.0,0.0
