date,donation,economize,endow,entrepreneurial,equity
2004-01-01,37.0067072021,0.0,0.0,0.0,41.2265161751
2004-01-02,63.1290887565,0.0,0.0,0.0,143.080262019
2004-01-03,32.652976943,0.0,0.0,50.6888628,97.0035674708
2004-01-04,58.7753584974,0.0,0.0,0.0,80.0279431634
2004-01-05,45.7141677202,0.0,0.0,118.2740132,50.9268729222
2004-01-06,26.1223815544,0.0,0.0,0.0,179.456599821
2004-01-07,58.7753584974,0.0,0.0,0.0,147.930440393
2004-01-08,54.4216282383,0.0,0.0,0.0,218.258026809
2004-01-09,47.8910328497,0.0,0.0,0.0,147.930440393
2004-01-10,26.1223815544,0.0,0.0,152.0665884,55.7770512957
2004-01-11,78.3671446632,0.0,0.0,0.0,109.129013405
2004-01-12,56.5984933679,0.0,0.0,33.7925752,184.306778195
2004-01-13,69.6596841451,0.0,0.0,33.7925752,181.881689008
2004-01-14,56.5984933679,0.0,0.0,33.7925752,203.707491689
2004-01-15,91.4283354404,0.0,0.0,0.0,162.480975514
2004-01-16,47.8910328497,0.0,0.0,0.0,152.780618767
2004-01-17,43.5373025907,0.0,0.0,0.0,82.4530323502
2004-01-18,37.0067072021,0.0,0.0,0.0,63.052318856
2004-01-19,76.1902795337,0.0,0.0,0.0,147.930440393
2004-01-20,84.8977400518,0.0,0.0,0.0,169.756243074
2004-01-21,89.2514703109,0.0,0.0,0.0,160.055886327
2004-01-22,80.5440097927,0.0,0.0,50.6888628,196.432224128
2004-01-23,39.1835723316,0.0,0.0,0.0,126.104637712
2004-01-24,47.8910328497,0.0,0.0,0.0,65.4774080428
2004-01-25,63.1290887565,0.0,0.0,0.0,130.954816086
2004-01-26,65.305953886,0.0,0.0,50.6888628,160.055886327
2004-01-27,56.5984933679,0.0,0.0,33.7925752,160.055886327
2004-01-28,43.5373025907,0.0,0.0,33.7925752,133.379905272
2004-01-29,47.8910328497,0.0,0.0,50.6888628,184.306778195
2004-01-30,47.8910328497,0.0,0.0,0.0,143.080262019
2004-01-31,58.7753584974,0.0,0.0,50.6888628,130.954816086
2004-02-01,54.4216282383,0.0,0.0,0.0,101.853745844
2004-02-02,60.9522236269,0.0,0.0,50.6888628,135.804994459
2004-02-03,37.0067072021,0.0,0.0,50.6888628,177.031510634
2004-02-04,54.4216282383,0.0,0.0,33.7925752,126.104637712
2004-02-05,71.8365492746,0.0,0.0,0.0,143.080262019
2004-02-06,39.1835723316,0.0,0.0,33.7925752,121.254459339
2004-02-07,15.2380559067,0.0,0.0,0.0,70.3275864164
2004-02-08,43.5373025907,0.0,0.0,0.0,97.0035674708
2004-02-09,41.3604374611,0.0,0.0,0.0,147.930440393
2004-02-10,56.5984933679,0.0,0.0,33.7925752,160.055886327
2004-02-11,78.3671446632,0.0,0.0,33.7925752,157.63079714
2004-02-12,54.4216282383,0.0,0.0,50.6888628,169.756243074
2004-02-13,30.4761118135,0.0,0.0,33.7925752,167.331153887
2004-02-14,43.5373025907,0.0,0.0,0.0,94.5784782841
2004-02-15,26.1223815544,0.0,0.0,0.0,84.878121537
2004-02-16,60.9522236269,0.0,0.0,33.7925752,118.829370152
2004-02-17,60.9522236269,0.0,0.0,0.0,145.505351206
2004-02-18,71.8365492746,0.0,0.0,33.7925752,155.205707953
2004-02-19,52.2447631088,0.0,0.0,33.7925752,174.606421447
2004-02-20,56.5984933679,0.0,0.0,33.7925752,135.804994459
2004-02-21,69.6596841451,0.0,0.0,0.0,123.679548525
2004-02-22,56.5984933679,0.0,0.0,50.6888628,116.404280965
2004-02-23,54.4216282383,0.0,0.0,0.0,181.881689008
2004-02-24,56.5984933679,0.0,0.0,0.0,179.456599821
2004-02-25,65.305953886,0.0,0.0,33.7925752,196.432224128
2004-02-26,52.2447631088,0.0,0.0,33.7925752,201.282402502
2004-02-27,30.4761118135,0.0,0.0,33.7925752,155.205707953
2004-02-28,41.3604374611,0.0,0.0,0.0,126.104637712
2004-02-29,17.4149210363,0.0,0.0,0.0,38.8014269883
2004-03-01,80.5440097927,0.0,0.0,0.0,196.432224128
2004-03-02,54.4216282383,0.0,0.0,33.7925752,152.780618767
2004-03-03,37.0067072021,0.0,0.0,0.0,94.5784782841
2004-03-04,93.60520057,0.0,0.0,67.5851504,213.407848436
2004-03-05,52.2447631088,0.0,0.0,0.0,143.080262019
2004-03-06,74.0134144041,0.0,0.0,152.0665884,104.278835031
2004-03-07,50.0678979793,0.0,0.0,0.0,133.379905272
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,67.4828190155,0.0,0.0,33.7925752,201.282402502
2004-03-11,102.312661088,0.0,0.0,0.0,99.4286566576
2004-03-12,74.0134144041,0.0,0.0,33.7925752,164.9060647
2004-03-13,37.0067072021,0.0,0.0,0.0,106.703924218
2004-03-14,76.1902795337,0.0,0.0,84.481438,130.954816086
2004-03-15,87.0746051814,0.0,0.0,0.0,150.35552958
2004-03-16,82.7208749223,0.0,0.0,50.6888628,172.181332261
2004-03-17,65.305953886,0.0,0.0,0.0,194.007134942
2004-03-18,47.8910328497,0.0,0.0,33.7925752,157.63079714
2004-03-19,39.1835723316,0.0,0.0,33.7925752,150.35552958
2004-03-20,54.4216282383,0.0,0.0,0.0,75.1777647899
2004-03-21,58.7753584974,0.0,0.0,0.0,92.1533890973
2004-03-22,56.5984933679,0.0,0.0,0.0,186.731867381
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,84.8977400518,0.0,0.0,0.0,152.780618767
2004-03-25,13.0611907772,0.0,0.0,0.0,113.979191778
2004-03-26,65.305953886,0.0,0.0,0.0,240.08382949
2004-03-27,17.4149210363,0.0,0.0,0.0,99.4286566576
