date,cost,crisis,deficit,depreciation,domination,isPartial
2004-06-16,77,9,3,1,2,False
2004-06-17,83,8,3,2,3,False
2004-06-18,73,4,4,3,1,False
2004-06-19,54,9,1,1,2,False
2004-06-20,60,12,3,0,2,False
2004-06-21,77,5,3,2,1,False
2004-06-22,83,13,5,1,4,False
2004-06-23,75,8,3,2,1,False
2004-06-24,86,8,4,3,2,False
2004-06-25,68,8,1,1,3,False
2004-06-26,66,2,3,1,2,False
2004-06-27,71,5,2,1,2,False
2004-06-28,86,7,6,2,2,False
2004-06-29,77,7,2,2,2,False
2004-06-30,78,8,4,2,4,False
2004-07-01,78,6,6,1,1,False
2004-07-02,74,2,2,0,4,False
2004-07-03,55,5,1,1,5,False
2004-07-04,55,7,3,2,5,False
2004-07-05,63,4,3,1,1,False
2004-07-06,82,6,5,3,2,False
2004-07-07,76,5,4,4,1,False
2004-07-08,82,7,2,2,2,False
2004-07-09,81,5,0,2,3,False
2004-07-10,71,7,3,2,0,False
2004-07-11,79,9,6,0,2,False
2004-07-12,80,12,3,1,2,False
2004-07-13,82,7,2,3,2,False
2004-07-14,70,2,2,0,4,False
2004-07-15,67,8,3,2,1,False
2004-07-16,77,8,5,1,1,False
2004-07-17,79,7,5,1,1,False
2004-07-18,75,9,4,1,3,False
2004-07-19,81,8,3,2,4,False
2004-07-20,74,6,4,2,2,False
2004-07-21,80,7,2,4,2,False
2004-07-22,75,10,3,3,1,False
2004-07-23,77,5,3,3,2,False
2004-07-24,67,8,5,0,4,False
2004-07-25,79,5,2,0,3,False
2004-07-26,79,8,2,3,1,False
2004-07-27,93,9,4,2,2,False
2004-07-28,80,10,3,1,2,False
2004-07-29,79,8,2,2,3,False
2004-07-30,73,6,7,2,0,False
2004-07-31,73,4,5,1,3,False
2004-08-01,70,9,5,1,5,False
2004-08-02,96,6,6,1,1,False
2004-08-03,80,8,2,2,3,False
2004-08-04,82,10,3,3,1,False
2004-08-05,81,7,3,3,3,False
2004-08-06,81,8,4,0,3,False
2004-08-07,56,6,4,4,3,False
2004-08-08,81,7,6,1,4,False
2004-08-09,73,8,2,1,0,False
2004-08-10,83,9,3,2,1,False
2004-08-11,75,8,3,1,2,False
2004-08-12,79,6,2,2,1,False
2004-08-13,75,6,3,3,3,False
2004-08-14,63,3,3,0,1,False
2004-08-15,77,6,3,0,2,False
2004-08-16,77,6,3,1,2,False
2004-08-17,75,9,3,1,2,False
2004-08-18,71,8,2,2,1,False
2004-08-19,73,8,6,4,2,False
2004-08-20,63,5,4,0,1,False
2004-08-21,68,5,3,1,4,False
2004-08-22,72,8,4,0,2,False
2004-08-23,73,8,2,2,2,False
2004-08-24,76,10,2,3,1,False
2004-08-25,83,6,4,3,2,False
2004-08-26,87,6,4,3,2,False
2004-08-27,72,7,5,3,1,False
2004-08-28,56,7,2,1,3,False
2004-08-29,68,12,5,0,4,False
2004-08-30,77,7,4,3,2,False
2004-08-31,71,7,4,1,3,False
2004-09-01,84,6,5,2,3,False
2004-09-02,66,6,4,5,0,False
2004-09-03,69,7,4,1,2,False
2004-09-04,51,9,4,0,5,False
2004-09-05,74,9,5,1,3,False
2004-09-06,68,10,4,1,3,False
2004-09-07,73,9,10,2,4,False
2004-09-08,73,11,7,1,3,False
2004-09-09,75,10,7,2,2,False
2004-09-10,72,11,8,3,1,False
2004-09-11,67,11,5,1,4,False
2004-09-12,69,16,5,2,6,False
2004-09-13,70,11,4,1,2,False
2004-09-14,76,12,5,2,2,False
2004-09-15,68,9,7,1,2,False
2004-09-16,76,14,4,3,3,False
2004-09-17,70,11,3,2,3,False
2004-09-18,69,4,4,0,7,False
2004-09-19,71,8,5,1,5,False
2004-09-20,83,10,4,1,3,False
2004-09-21,88,11,6,1,2,False
2004-09-22,82,11,5,1,2,False
2004-09-23,87,10,6,2,2,False
2004-09-24,69,9,5,2,2,False
2004-09-25,66,6,4,1,1,False
2004-09-26,75,12,7,0,5,False
