date,advantage,affluence,affluent,afloat,allowance,isPartial
2013-09-26,93,0,3,1,11,False
2013-09-27,81,1,2,1,13,False
2013-09-28,65,0,1,1,8,False
2013-09-29,57,2,2,0,11,False
2013-09-30,89,0,2,0,15,False
2013-10-01,100,1,3,1,11,False
2013-10-02,95,1,2,1,13,False
2013-10-03,86,0,2,0,11,False
2013-10-04,75,0,1,0,9,False
2013-10-05,52,0,2,1,8,False
2013-10-06,57,1,1,0,9,False
2013-10-07,88,1,2,1,11,False
2013-10-08,82,1,1,1,15,False
2013-10-09,93,0,2,0,13,False
2013-10-10,88,0,2,1,12,False
2013-10-11,81,1,2,0,8,False
2013-10-12,58,1,1,1,10,False
2013-10-13,57,0,2,1,9,False
2013-10-14,80,1,2,1,9,False
2013-10-15,84,1,3,1,12,False
2013-10-16,89,1,2,0,11,False
2013-10-17,89,1,3,0,13,False
2013-10-18,77,1,2,1,12,False
2013-10-19,59,0,2,1,9,False
2013-10-20,57,1,2,0,11,False
2013-10-21,90,1,1,1,12,False
2013-10-22,96,1,2,0,12,False
2013-10-23,91,1,3,0,13,False
2013-10-24,81,1,2,1,14,False
2013-10-25,77,0,2,0,12,False
2013-10-26,61,1,2,0,8,False
2013-10-27,58,1,2,1,10,False
2013-10-28,85,1,2,1,12,False
2013-10-29,94,1,2,1,13,False
2013-10-30,90,1,2,0,12,False
2013-10-31,87,0,2,0,14,False
2013-11-01,76,1,2,1,12,False
2013-11-02,56,0,1,0,7,False
2013-11-03,52,0,2,1,10,False
2013-11-04,93,0,2,0,14,False
2013-11-05,86,0,2,1,13,False
2013-11-06,91,1,2,1,15,False
2013-11-07,86,1,3,1,14,False
2013-11-08,80,1,2,1,11,False
2013-11-09,56,0,1,0,9,False
2013-11-10,56,1,3,1,8,False
2013-11-11,75,1,2,0,13,False
2013-11-12,86,1,2,0,11,False
2013-11-13,86,1,2,1,17,False
2013-11-14,90,1,1,0,14,False
2013-11-15,87,0,1,0,11,False
2013-11-16,55,0,1,1,9,False
2013-11-17,57,0,1,0,10,False
2013-11-18,92,1,1,1,12,False
2013-11-19,86,1,2,0,14,False
2013-11-20,92,1,2,1,12,False
2013-11-21,85,1,1,1,11,False
2013-11-22,77,0,1,0,11,False
2013-11-23,54,1,1,1,10,False
2013-11-24,53,0,2,1,12,False
2013-11-25,79,1,3,1,15,False
2013-11-26,68,1,2,1,12,False
2013-11-27,66,0,2,0,10,False
2013-11-28,42,1,2,1,6,False
2013-11-29,51,0,1,0,9,False
2013-11-30,45,1,1,1,7,False
2013-12-01,50,0,2,0,10,False
2013-12-02,84,1,2,0,13,False
2013-12-03,95,1,2,1,14,False
2013-12-04,88,0,3,1,13,False
2013-12-05,77,1,2,0,13,False
2013-12-06,77,1,2,0,12,False
2013-12-07,58,1,2,0,11,False
2013-12-08,48,1,1,1,11,False
2013-12-09,78,2,3,0,13,False
2013-12-10,79,1,3,0,13,False
2013-12-11,74,1,1,0,14,False
2013-12-12,88,2,6,0,12,False
2013-12-13,71,4,4,0,12,False
2013-12-14,52,3,5,0,11,False
2013-12-15,46,2,4,0,12,False
2013-12-16,80,1,4,0,12,False
2013-12-17,78,2,2,1,14,False
2013-12-18,66,2,2,1,12,False
2013-12-19,61,3,3,1,12,False
2013-12-20,64,0,1,0,13,False
2013-12-21,45,1,1,0,9,False
2013-12-22,39,1,1,1,11,False
2013-12-23,57,0,2,0,11,False
2013-12-24,46,0,0,0,10,False
2013-12-25,29,0,1,1,10,False
2013-12-26,49,0,1,1,10,False
2013-12-27,61,0,2,0,12,False
2013-12-28,47,0,2,0,10,False
2013-12-29,40,0,1,0,11,False
2013-12-30,62,0,2,0,14,False
2013-12-31,56,0,1,1,14,False
2014-01-01,40,0,1,0,8,False
2014-01-02,63,0,2,0,15,False
2014-01-03,66,0,1,1,11,False
2014-01-04,49,0,1,0,8,False
2014-01-05,48,0,1,0,11,False
2014-01-06,68,0,1,0,15,False
2014-01-07,70,1,1,1,14,False
2014-01-08,84,1,2,0,15,False
2014-01-09,74,0,3,1,15,False
2014-01-10,77,1,2,1,14,False
2014-01-11,50,1,1,0,10,False
2014-01-12,49,0,2,1,12,False
2014-01-13,81,1,2,0,17,False
2014-01-14,85,0,1,1,16,False
2014-01-15,79,1,3,0,16,False
2014-01-16,78,1,3,0,14,False
2014-01-17,76,2,2,1,13,False
2014-01-18,54,0,2,1,11,False
2014-01-19,46,1,1,1,12,False
2014-01-20,71,1,2,0,11,False
2014-01-21,77,0,2,1,15,False
2014-01-22,75,1,1,0,14,False
2014-01-23,81,1,3,0,11,False
2014-01-24,75,1,2,0,12,False
2014-01-25,55,0,1,1,10,False
2014-01-26,55,0,2,1,11,False
2014-01-27,75,1,2,0,12,False
2014-01-28,84,0,2,1,15,False
2014-01-29,69,1,2,1,15,False
2014-01-30,81,1,2,1,13,False
