date,liquidation,pollution,poor,poverty,race,isPartial
2015-10-28,1,5,8,6,32,False
2015-10-29,1,4,9,7,32,False
2015-10-30,1,4,8,5,33,False
2015-10-31,1,2,7,3,46,False
2015-11-01,0,2,7,3,54,False
2015-11-02,1,4,10,6,37,False
2015-11-03,1,5,9,6,38,False
2015-11-04,1,5,10,6,50,False
2015-11-05,1,5,9,6,34,False
2015-11-06,1,4,9,6,33,False
2015-11-07,1,2,8,3,43,False
2015-11-08,1,2,8,4,51,False
2015-11-09,1,4,9,6,37,False
2015-11-10,1,5,9,7,33,False
2015-11-11,1,4,9,6,33,False
2015-11-12,1,6,10,7,34,False
2015-11-13,1,5,8,5,31,False
2015-11-14,1,2,7,3,37,False
2015-11-15,1,3,7,3,47,False
2015-11-16,1,5,9,6,50,False
2015-11-17,1,5,10,7,35,False
2015-11-18,1,5,11,6,31,False
2015-11-19,1,6,10,7,31,False
2015-11-20,1,4,11,6,32,False
2015-11-21,1,2,8,3,42,False
2015-11-22,1,3,8,3,62,False
2015-11-23,1,5,9,6,46,False
2015-11-24,1,4,8,5,32,False
2015-11-25,1,2,7,3,29,False
2015-11-26,1,1,5,2,35,False
2015-11-27,1,1,6,2,29,False
2015-11-28,1,2,6,3,34,False
2015-11-29,1,3,7,3,33,False
2015-11-30,1,5,10,6,29,False
2015-12-01,1,7,9,6,32,False
2015-12-02,1,7,10,7,30,False
2015-12-03,1,6,9,6,32,False
2015-12-04,1,5,8,5,29,False
2015-12-05,1,2,8,4,37,False
2015-12-06,1,3,7,3,36,False
2015-12-07,1,7,8,6,34,False
2015-12-08,1,6,9,7,32,False
2015-12-09,1,6,9,7,33,False
2015-12-10,1,7,9,7,31,False
2015-12-11,1,6,8,5,33,False
2015-12-12,1,3,6,3,45,False
2015-12-13,1,3,8,3,41,False
2015-12-14,1,6,8,6,35,False
2015-12-15,1,5,9,5,29,False
2015-12-16,1,5,8,5,31,False
2015-12-17,1,5,8,5,29,False
2015-12-18,1,3,8,4,25,False
2015-12-19,1,1,7,2,26,False
2015-12-20,1,1,7,2,29,False
2015-12-21,1,2,7,3,27,False
2015-12-22,1,2,7,2,28,False
2015-12-23,1,2,6,3,28,False
2015-12-24,1,1,6,2,25,False
2015-12-25,1,1,6,1,27,False
2015-12-26,1,1,6,2,32,False
2015-12-27,1,1,6,2,32,False
2015-12-28,1,1,7,3,30,False
2015-12-29,1,1,8,3,28,False
2015-12-30,1,1,7,3,28,False
2015-12-31,1,2,7,3,28,False
2016-01-01,1,1,6,2,32,False
2016-01-02,1,1,7,2,32,False
2016-01-03,1,2,7,2,34,False
2016-01-04,1,3,7,3,28,False
2016-01-05,1,4,8,4,30,False
2016-01-06,1,3,8,4,29,False
2016-01-07,1,4,9,4,29,False
2016-01-08,1,4,8,4,30,False
2016-01-09,1,1,7,3,31,False
2016-01-10,1,1,8,3,33,False
2016-01-11,1,4,8,5,28,False
2016-01-12,1,4,8,6,28,False
2016-01-13,1,4,9,6,29,False
2016-01-14,1,4,9,5,27,False
2016-01-15,1,3,9,5,30,False
2016-01-16,1,1,7,2,33,False
2016-01-17,1,2,7,3,35,False
2016-01-18,1,2,8,4,35,False
2016-01-19,1,4,9,5,32,False
2016-01-20,1,4,8,5,30,False
2016-01-21,1,3,9,5,33,False
2016-01-22,1,3,9,4,32,False
2016-01-23,1,2,7,3,33,False
2016-01-24,1,2,8,3,35,False
2016-01-25,1,3,8,5,32,False
2016-01-26,1,4,10,5,32,False
2016-01-27,1,4,9,5,33,False
2016-01-28,1,4,9,6,33,False
2016-01-29,1,4,9,4,34,False
2016-01-30,1,1,7,3,38,False
2016-01-31,1,2,8,4,39,False
2016-02-01,1,4,10,5,37,False
2016-02-02,1,4,10,5,41,False
2016-02-03,1,4,9,5,38,False
2016-02-04,1,5,10,6,36,False
2016-02-05,1,4,9,5,34,False
2016-02-06,1,2,7,3,36,False
2016-02-07,1,2,9,3,38,False
2016-02-08,1,4,10,5,37,False
2016-02-09,1,4,9,5,35,False
