date,radical,ruin,segregation,shortage,steal,isPartial
2015-10-28,41,16,14,14,55,False
2015-10-29,38,16,16,14,42,False
2015-10-30,35,14,11,12,33,False
2015-10-31,18,18,3,12,44,False
2015-11-01,20,21,6,9,39,False
2015-11-02,34,15,18,13,39,False
2015-11-03,36,17,16,11,41,False
2015-11-04,37,16,19,13,42,False
2015-11-05,39,16,19,14,45,False
2015-11-06,33,18,15,8,33,False
2015-11-07,21,16,6,9,44,False
2015-11-08,22,21,9,9,39,False
2015-11-09,40,20,22,13,37,False
2015-11-10,38,15,23,14,43,False
2015-11-11,38,19,17,14,39,False
2015-11-12,36,18,19,13,37,False
2015-11-13,36,15,18,12,37,False
2015-11-14,40,20,6,12,41,False
2015-11-15,50,18,8,7,43,False
2015-11-16,59,19,20,11,41,False
2015-11-17,58,16,19,12,35,False
2015-11-18,63,18,23,14,40,False
2015-11-19,66,16,20,16,46,False
2015-11-20,52,13,13,12,32,False
2015-11-21,26,19,11,8,34,False
2015-11-22,31,19,9,13,43,False
2015-11-23,40,18,17,11,35,False
2015-11-24,48,19,14,11,41,False
2015-11-25,32,18,8,14,37,False
2015-11-26,22,18,4,9,44,False
2015-11-27,17,21,4,8,49,False
2015-11-28,22,20,4,10,44,False
2015-11-29,32,22,7,7,43,False
2015-11-30,35,13,18,11,33,False
2015-12-01,47,18,17,12,36,False
2015-12-02,42,21,21,14,35,False
2015-12-03,64,20,23,13,42,False
2015-12-04,68,22,19,12,41,False
2015-12-05,39,24,6,7,37,False
2015-12-06,41,22,11,9,40,False
2015-12-07,59,16,22,12,40,False
2015-12-08,64,18,18,14,37,False
2015-12-09,69,16,27,12,41,False
2015-12-10,64,20,27,15,42,False
2015-12-11,50,19,23,12,45,False
2015-12-12,33,26,8,9,43,False
2015-12-13,36,17,10,8,39,False
2015-12-14,46,21,18,13,37,False
2015-12-15,45,17,18,11,38,False
2015-12-16,44,21,14,13,37,False
2015-12-17,44,19,19,11,38,False
2015-12-18,29,16,10,9,42,False
2015-12-19,22,28,4,5,43,False
2015-12-20,20,19,4,7,52,False
2015-12-21,22,18,5,9,36,False
2015-12-22,20,23,5,8,38,False
2015-12-23,15,20,5,5,38,False
2015-12-24,18,21,3,8,40,False
2015-12-25,14,21,3,6,42,False
2015-12-26,13,26,3,6,45,False
2015-12-27,16,23,2,7,45,False
2015-12-28,17,18,2,7,40,False
2015-12-29,17,20,4,8,43,False
2015-12-30,22,22,3,6,46,False
2015-12-31,20,23,4,5,46,False
2016-01-01,14,18,2,4,38,False
2016-01-02,17,25,5,8,47,False
2016-01-03,22,22,7,9,42,False
2016-01-04,30,20,12,7,47,False
2016-01-05,36,21,15,12,45,False
2016-01-06,40,23,15,11,46,False
2016-01-07,39,21,20,10,43,False
2016-01-08,39,20,15,10,40,False
2016-01-09,23,24,5,5,44,False
2016-01-10,31,21,9,6,43,False
2016-01-11,44,24,18,11,38,False
2016-01-12,46,19,17,8,37,False
2016-01-13,41,20,21,8,41,False
2016-01-14,35,19,19,9,34,False
2016-01-15,36,19,19,11,39,False
2016-01-16,20,18,8,7,44,False
2016-01-17,18,23,5,6,44,False
2016-01-18,29,22,15,7,43,False
2016-01-19,45,20,21,12,45,False
2016-01-20,44,22,28,11,43,False
2016-01-21,41,21,23,9,41,False
2016-01-22,42,21,21,10,47,False
2016-01-23,24,20,10,6,41,False
2016-01-24,27,22,9,6,49,False
2016-01-25,36,21,19,13,44,False
2016-01-26,46,21,21,11,37,False
2016-01-27,40,21,18,11,44,False
2016-01-28,50,17,20,12,43,False
2016-01-29,37,23,16,12,41,False
2016-01-30,21,21,6,7,52,False
2016-01-31,27,23,10,9,43,False
2016-02-01,42,21,20,11,38,False
2016-02-02,50,22,21,8,39,False
2016-02-03,57,21,26,13,45,False
2016-02-04,45,18,25,11,47,False
2016-02-05,40,17,17,10,39,False
2016-02-06,26,20,8,7,39,False
2016-02-07,23,22,10,10,45,False
2016-02-08,34,21,18,9,34,False
2016-02-09,46,18,25,13,42,False
2016-02-10,50,15,27,10,38,False
2016-02-11,45,20,25,8,42,False
2016-02-12,37,19,18,12,41,False
2016-02-13,22,23,6,5,49,False
2016-02-14,22,24,9,10,53,False
2016-02-15,31,22,18,10,46,False
2016-02-16,36,20,23,12,41,False
2016-02-17,46,17,26,11,36,False
2016-02-18,47,19,26,17,39,False
2016-02-19,44,22,21,11,41,False
2016-02-20,25,19,11,7,38,False
2016-02-21,29,23,14,7,43,False
2016-02-22,46,19,28,11,35,False
2016-02-23,51,22,25,13,41,False
2016-02-24,50,19,27,12,34,False
2016-02-25,44,19,24,10,39,False
2016-02-26,43,28,26,8,42,False
2016-02-27,21,26,9,9,47,False
2016-02-28,28,20,14,7,41,False
2016-02-29,44,26,21,11,41,False
2016-03-01,46,22,23,11,39,False
2016-03-02,44,19,29,12,34,False
2016-03-03,50,19,28,12,41,False
2016-03-04,35,21,20,12,40,False
2016-03-05,20,21,6,9,46,False
2016-03-06,27,22,11,11,37,False
2016-03-07,41,22,26,11,39,False
2016-03-08,45,22,22,11,36,False
2016-03-09,40,20,25,14,39,False
2016-03-10,44,22,24,12,40,False
2016-03-11,37,21,24,10,42,False
2016-03-12,19,23,7,7,41,False
2016-03-13,22,20,10,8,44,False
2016-03-14,40,22,20,8,33,False
2016-03-15,36,18,27,12,42,False
2016-03-16,36,16,21,10,45,False
2016-03-17,35,19,21,10,37,False
2016-03-18,29,18,19,9,42,False
2016-03-19,23,19,7,6,43,False
2016-03-20,22,23,7,6,47,False
2016-03-21,32,13,18,11,39,False
2016-03-22,40,19,17,7,41,False
2016-03-23,45,17,20,8,42,False
2016-03-24,41,19,18,11,38,False
2016-03-25,51,22,12,7,42,False
2016-03-26,29,19,6,6,49,False
2016-03-27,31,23,9,9,46,False
2016-03-28,41,22,15,13,41,False
2016-03-29,38,20,17,11,41,False
2016-03-30,38,18,21,13,42,False
2016-03-31,43,21,22,10,41,False
2016-04-01,34,19,16,11,37,False
2016-04-02,20,22,7,9,42,False
2016-04-03,27,23,11,9,45,False
2016-04-04,44,22,19,13,39,False
2016-04-05,41,22,20,13,43,False
2016-04-06,42,19,19,11,33,False
2016-04-07,34,22,27,12,36,False
2016-04-08,41,20,20,8,37,False
2016-04-09,21,23,5,9,38,False
2016-04-10,26,19,11,11,43,False
2016-04-11,42,15,25,14,34,False
2016-04-12,46,17,21,16,41,False
2016-04-13,45,17,22,12,42,False
2016-04-14,43,19,21,9,40,False
2016-04-15,40,18,20,13,37,False
2016-04-16,20,23,9,9,38,False
2016-04-17,27,22,9,10,45,False
2016-04-18,39,15,21,15,43,False
2016-04-19,45,20,26,18,38,False
2016-04-20,40,24,24,12,41,False
2016-04-21,43,18,25,14,34,False
2016-04-22,35,17,19,9,41,False
2016-04-23,22,17,6,9,51,False
2016-04-24,30,21,14,12,46,False
2016-04-25,40,17,26,11,44,False
2016-04-26,42,22,25,14,36,False
2016-04-27,43,19,27,11,40,False
2016-04-28,39,20,27,14,44,False
2016-04-29,33,21,22,5,40,False
2016-04-30,25,21,9,5,42,False
2016-05-01,25,23,14,7,45,False
2016-05-02,41,23,27,10,40,False
2016-05-03,45,21,24,10,38,False
2016-05-04,45,22,25,10,42,False
2016-05-05,35,18,25,10,39,False
2016-05-06,33,21,17,9,37,False
2016-05-07,19,16,7,5,40,False
2016-05-08,24,24,10,6,43,False
2016-05-09,40,20,28,12,38,False
2016-05-10,39,18,25,11,43,False
2016-05-11,39,17,21,11,41,False
2016-05-12,40,18,23,8,33,False
2016-05-13,35,22,16,10,45,False
2016-05-14,21,24,6,9,42,False
2016-05-15,27,21,13,7,46,False
2016-05-16,41,17,20,13,33,False
2016-05-17,37,22,26,10,37,False
2016-05-18,38,18,29,10,42,False
2016-05-19,37,23,22,12,35,False
2016-05-20,34,19,19,9,40,False
2016-05-21,18,22,4,7,41,False
2016-05-22,26,21,12,8,51,False
2016-05-23,39,21,20,10,40,False
2016-05-24,41,20,18,14,38,False
2016-05-25,35,21,24,11,43,False
2016-05-26,35,22,15,11,38,False
2016-05-27,22,21,13,9,44,False
