date,radical,ruin,segregation,shortage,steal,isPartial
2004-09-11,24,5,5,9,52,False
2004-09-12,27,9,0,0,50,False
2004-09-13,16,11,11,8,32,False
2004-09-14,37,5,18,13,31,False
2004-09-15,24,8,11,13,27,False
2004-09-16,30,14,11,8,36,False
2004-09-17,23,12,15,20,29,False
2004-09-18,27,9,9,9,37,False
2004-09-19,32,0,9,5,37,False
2004-09-20,27,5,13,13,40,False
2004-09-21,26,3,8,21,52,False
2004-09-22,43,8,13,11,40,False
2004-09-23,35,8,8,11,46,False
2004-09-24,41,15,12,9,44,False
2004-09-25,37,5,9,5,70,False
2004-09-26,28,5,0,5,41,False
2004-09-27,21,11,13,18,37,False
2004-09-28,30,10,20,18,43,False
2004-09-29,34,3,16,21,37,False
2004-09-30,16,0,11,16,35,False
2004-10-01,30,6,6,9,33,False
2004-10-02,37,14,0,9,37,False
2004-10-03,27,18,4,13,31,False
2004-10-04,23,5,10,0,36,False
2004-10-05,38,5,18,26,44,False
2004-10-06,19,5,8,57,24,False
2004-10-07,27,11,19,36,36,False
2004-10-08,20,6,15,12,47,False
2004-10-09,19,14,0,29,62,False
2004-10-10,27,0,5,23,27,False
2004-10-11,11,3,19,30,24,False
2004-10-12,22,11,33,11,11,False
2004-10-13,35,7,3,38,38,False
2004-10-14,22,5,11,49,24,False
2004-10-15,23,12,3,20,35,False
2004-10-16,9,18,5,55,92,False
2004-10-17,45,18,4,40,22,False
2004-10-18,34,8,13,44,49,False
2004-10-19,28,8,3,28,45,False
2004-10-20,39,16,21,57,31,False
2004-10-21,16,8,3,37,16,False
2004-10-22,40,3,14,31,37,False
2004-10-23,18,23,14,23,59,False
2004-10-24,26,9,13,30,56,False
2004-10-25,33,10,20,48,33,False
2004-10-26,45,5,15,22,40,False
2004-10-27,20,8,5,43,38,False
2004-10-28,18,10,8,34,31,False
2004-10-29,35,23,0,0,70,False
2004-10-30,13,0,7,13,46,False
2004-10-31,32,14,9,14,32,False
2004-11-01,32,11,13,24,40,False
2004-11-02,34,5,14,39,29,False
2004-11-03,20,12,12,30,44,False
2004-11-04,25,3,15,20,33,False
2004-11-05,41,5,16,8,38,False
2004-11-06,13,9,18,9,48,False
2004-11-07,26,13,22,9,61,False
2004-11-08,0,0,29,19,68,False
2004-11-09,0,0,0,0,0,False
2004-11-10,10,10,10,17,34,False
2004-11-11,21,5,21,21,43,False
2004-11-12,44,11,11,24,63,False
2004-11-13,47,13,0,17,43,False
2004-11-14,17,13,4,4,76,False
2004-11-15,23,5,25,28,56,False
2004-11-16,27,10,15,17,37,False
2004-11-17,17,17,27,20,45,False
2004-11-18,50,5,8,13,40,False
2004-11-19,27,9,37,9,46,False
2004-11-20,20,7,7,27,27,False
2004-11-21,37,16,8,21,70,False
2004-11-22,15,5,15,35,40,False
2004-11-23,15,5,20,18,31,False
2004-11-24,18,12,9,9,32,False
2004-11-25,14,10,14,19,10,False
2004-11-26,26,4,0,9,52,False
2004-11-27,36,13,4,18,72,False
2004-11-28,33,0,4,12,37,False
2004-11-29,26,7,10,24,26,False
2004-11-30,33,5,14,19,47,False
2004-12-01,31,7,14,24,31,False
2004-12-02,32,5,20,22,34,False
2004-12-03,31,3,13,23,25,False
2004-12-04,25,4,16,29,66,False
2004-12-05,32,12,16,20,40,False
2004-12-06,21,7,14,9,17,False
2004-12-07,21,2,23,39,37,False
2004-12-08,24,5,14,17,31,False
2004-12-09,33,9,7,14,35,False
2004-12-10,18,21,15,10,21,False
2004-12-11,16,12,8,8,40,False
2004-12-12,41,4,20,12,73,False
2004-12-13,29,7,22,12,50,False
2004-12-14,35,2,21,16,42,False
2004-12-15,28,5,18,15,43,False
2004-12-16,20,5,20,23,28,False
2004-12-17,22,14,17,17,47,False
2004-12-18,9,4,4,9,49,False
2004-12-19,27,9,9,4,40,False
2004-12-20,19,5,8,19,41,False
2004-12-21,14,5,3,27,30,False
2004-12-22,32,6,3,17,20,False
2004-12-23,17,7,3,10,27,False
2004-12-24,28,0,5,9,47,False
2004-12-25,13,6,6,0,52,False
2004-12-26,27,5,5,5,54,False
2004-12-27,23,13,3,23,42,False
2004-12-28,24,9,0,6,32,False
2004-12-29,35,9,3,26,35,False
2004-12-30,9,0,3,15,56,False
2004-12-31,24,8,0,16,55,False
2005-01-01,14,7,0,14,35,False
2005-01-02,8,4,4,4,50,False
2005-01-03,15,10,12,12,47,False
2005-01-04,21,7,12,5,35,False
2005-01-05,26,9,9,19,35,False
2005-01-06,10,10,5,14,38,False
2005-01-07,25,7,12,10,32,False
2005-01-08,15,4,11,23,46,False
2005-01-09,31,11,8,0,46,False
2005-01-10,23,7,9,9,44,False
2005-01-11,25,7,7,4,38,False
2005-01-12,25,9,18,25,43,False
2005-01-13,16,19,7,14,35,False
2005-01-14,29,0,17,14,29,False
2005-01-15,4,16,12,8,47,False
2005-01-16,24,16,4,20,71,False
2005-01-17,18,3,13,10,37,False
