date,contribution,cooperative,donate,donation,economize,isPartial
2013-07-01,25,35,43,64,0,False
2013-07-02,27,40,43,69,0,False
2013-07-03,29,28,46,57,0,False
2013-07-04,18,16,28,40,0,False
2013-07-05,24,28,45,52,0,False
2013-07-06,12,16,41,56,0,False
2013-07-07,18,15,41,49,0,False
2013-07-08,28,38,46,72,0,False
2013-07-09,27,35,47,72,0,False
2013-07-10,25,39,44,67,0,False
2013-07-11,30,38,47,64,0,False
2013-07-12,29,35,37,60,0,False
2013-07-13,17,18,36,55,0,False
2013-07-14,18,19,40,44,0,False
2013-07-15,26,36,44,70,0,False
2013-07-16,29,33,48,58,0,False
2013-07-17,33,31,47,57,0,False
2013-07-18,28,33,55,61,0,False
2013-07-19,26,31,41,53,0,False
2013-07-20,17,18,45,54,0,False
2013-07-21,16,21,40,57,0,False
2013-07-22,29,34,45,70,0,False
2013-07-23,34,30,51,68,0,False
2013-07-24,29,29,51,65,0,False
2013-07-25,28,34,42,57,0,False
2013-07-26,32,33,47,56,0,False
2013-07-27,19,17,42,58,0,False
2013-07-28,18,18,46,53,0,False
2013-07-29,30,33,46,69,0,False
2013-07-30,31,35,48,69,0,False
2013-07-31,29,35,50,59,0,False
2013-08-01,33,29,45,61,0,False
2013-08-02,22,35,46,60,0,False
2013-08-03,20,14,47,54,0,False
2013-08-04,18,15,45,52,0,False
2013-08-05,29,35,39,65,0,False
2013-08-06,31,33,49,62,0,False
2013-08-07,31,34,44,64,0,False
2013-08-08,32,36,46,64,0,False
2013-08-09,23,26,37,56,0,False
2013-08-10,18,19,37,45,0,False
2013-08-11,18,18,37,45,0,False
2013-08-12,33,34,48,64,0,False
2013-08-13,22,39,46,68,0,False
2013-08-14,28,37,44,60,0,False
2013-08-15,33,40,45,62,0,False
2013-08-16,30,34,37,61,0,False
2013-08-17,14,19,36,48,0,False
2013-08-18,17,20,46,46,0,False
2013-08-19,28,35,43,67,0,False
2013-08-20,33,38,46,58,0,False
2013-08-21,23,31,53,61,0,False
2013-08-22,30,33,45,58,0,False
2013-08-23,25,26,45,62,0,False
2013-08-24,16,19,41,57,0,False
2013-08-25,14,16,43,51,0,False
2013-08-26,30,36,41,56,0,False
2013-08-27,34,35,43,57,0,False
2013-08-28,34,35,45,65,1,False
2013-08-29,36,35,39,58,0,False
2013-08-30,32,34,41,57,0,False
2013-08-31,18,17,44,54,0,False
2013-09-01,18,16,39,47,0,False
2013-09-02,23,20,36,53,0,False
2013-09-03,32,34,48,64,0,False
2013-09-04,36,41,46,71,1,False
2013-09-05,44,34,44,62,0,False
2013-09-06,35,36,42,61,0,False
2013-09-07,14,16,44,48,0,False
2013-09-08,23,17,40,52,0,False
2013-09-09,35,45,49,65,0,False
2013-09-10,38,37,46,59,0,False
2013-09-11,39,36,46,61,0,False
2013-09-12,47,34,44,54,0,False
2013-09-13,41,38,40,51,0,False
2013-09-14,22,15,34,49,0,False
2013-09-15,21,18,38,47,0,False
2013-09-16,39,38,43,57,0,False
2013-09-17,41,37,47,59,0,False
2013-09-18,45,40,47,66,0,False
2013-09-19,46,34,46,61,1,False
2013-09-20,39,29,40,61,0,False
2013-09-21,25,17,43,52,0,False
2013-09-22,25,19,41,51,0,False
2013-09-23,40,36,46,64,0,False
2013-09-24,44,37,45,63,0,False
2013-09-25,40,37,50,70,1,False
2013-09-26,47,32,44,68,0,False
2013-09-27,37,36,45,64,1,False
2013-09-28,20,18,30,59,0,False
2013-09-29,23,18,42,50,0,False
2013-09-30,50,38,48,71,0,False
2013-10-01,51,37,46,66,0,False
2013-10-02,39,37,51,55,0,False
2013-10-03,46,35,34,60,0,False
2013-10-04,41,30,47,57,0,False
2013-10-05,24,18,36,46,0,False
2013-10-06,27,19,46,54,0,False
2013-10-07,45,37,45,66,0,False
2013-10-08,51,39,49,74,0,False
2013-10-09,47,36,45,68,1,False
2013-10-10,46,32,44,64,0,False
2013-10-11,49,32,43,67,0,False
