date,luxury,meritorious,nobility,nobleman,partner,isPartial
2010-12-15,52,2,2,0,43,False
2010-12-16,56,0,2,0,44,False
2010-12-17,57,2,1,0,38,False
2010-12-18,65,1,1,0,29,False
2010-12-19,60,0,2,0,30,False
2010-12-20,56,2,1,0,43,False
2010-12-21,65,1,1,1,40,False
2010-12-22,61,0,1,0,46,False
2010-12-23,56,2,2,0,33,False
2010-12-24,55,0,0,0,29,False
2010-12-25,50,0,1,0,26,False
2010-12-26,65,0,0,0,28,False
2010-12-27,70,0,1,0,37,False
2010-12-28,64,1,1,1,37,False
2010-12-29,69,1,2,1,29,False
2010-12-30,65,1,1,0,38,False
2010-12-31,64,1,2,0,33,False
2011-01-01,77,2,4,0,29,False
2011-01-02,83,0,1,1,34,False
2011-01-03,88,0,1,0,49,False
2011-01-04,74,1,2,1,51,False
2011-01-05,81,1,2,1,45,False
2011-01-06,79,2,1,0,47,False
2011-01-07,82,1,1,1,35,False
2011-01-08,80,1,1,0,33,False
2011-01-09,84,0,1,0,33,False
2011-01-10,67,1,1,1,44,False
2011-01-11,81,1,2,1,43,False
2011-01-12,73,1,1,0,43,False
2011-01-13,69,0,3,1,44,False
2011-01-14,67,2,1,1,48,False
2011-01-15,78,0,1,0,42,False
2011-01-16,100,0,1,1,31,False
2011-01-17,83,1,2,0,44,False
2011-01-18,86,2,1,0,42,False
2011-01-19,68,2,1,0,45,False
2011-01-20,74,1,1,0,41,False
2011-01-21,72,1,3,1,49,False
2011-01-22,74,1,1,0,34,False
2011-01-23,74,1,1,1,30,False
2011-01-24,73,1,2,0,46,False
2011-01-25,71,1,1,1,46,False
2011-01-26,68,0,1,0,45,False
2011-01-27,63,1,1,0,45,False
2011-01-28,73,1,2,0,46,False
2011-01-29,80,1,2,0,40,False
2011-01-30,75,1,3,0,28,False
2011-01-31,77,0,2,0,47,False
2011-02-01,61,1,3,0,47,False
2011-02-02,72,1,2,0,45,False
2011-02-03,66,1,2,0,49,False
2011-02-04,65,0,2,1,44,False
2011-02-05,72,1,2,0,37,False
2011-02-06,70,1,1,1,33,False
2011-02-07,67,0,2,0,51,False
2011-02-08,74,2,2,0,52,False
2011-02-09,71,1,3,0,49,False
2011-02-10,70,2,2,1,42,False
2011-02-11,66,1,2,1,47,False
2011-02-12,83,2,2,1,35,False
2011-02-13,82,0,0,0,40,False
2011-02-14,70,0,3,0,40,False
2011-02-15,82,1,2,0,48,False
2011-02-16,72,1,1,1,45,False
2011-02-17,70,1,3,1,51,False
2011-02-18,67,2,1,1,45,False
2011-02-19,69,1,2,0,32,False
2011-02-20,74,1,2,0,38,False
2011-02-21,84,1,2,1,49,False
2011-02-22,82,1,1,0,42,False
2011-02-23,76,2,2,1,37,False
2011-02-24,65,1,2,0,50,False
2011-02-25,67,1,0,0,39,False
2011-02-26,68,2,0,0,38,False
2011-02-27,74,0,1,0,40,False
2011-02-28,73,1,2,0,47,False
2011-03-01,71,2,2,1,49,False
2011-03-02,66,1,2,1,54,False
2011-03-03,69,1,1,1,45,False
2011-03-04,66,1,2,1,41,False
2011-03-05,78,1,2,1,34,False
2011-03-06,80,1,2,0,35,False
2011-03-07,73,1,2,0,54,False
2011-03-08,72,1,1,0,54,False
2011-03-09,77,2,1,1,42,False
2011-03-10,73,1,2,0,42,False
2011-03-11,64,1,2,0,48,False
2011-03-12,71,1,2,0,35,False
2011-03-13,69,0,1,0,36,False
2011-03-14,71,0,2,0,50,False
2011-03-15,77,1,1,1,44,False
2011-03-16,67,0,1,0,48,False
2011-03-17,64,0,2,1,48,False
2011-03-18,63,1,2,0,46,False
2011-03-19,75,1,3,0,32,False
2011-03-20,72,1,2,0,37,False
2011-03-21,71,2,1,1,46,False
2011-03-22,74,1,2,1,45,False
2011-03-23,76,0,1,1,48,False
2011-03-24,60,2,2,1,44,False
2011-03-25,72,2,2,1,47,False
2011-03-26,78,1,1,0,33,False
2011-03-27,74,0,2,0,33,False
2011-03-28,71,0,1,0,43,False
2011-03-29,68,2,2,0,56,False
2011-03-30,72,2,1,1,44,False
2011-03-31,65,1,2,0,48,False
2011-04-01,71,1,2,1,36,False
2011-04-02,71,1,1,0,29,False
2011-04-03,81,1,1,0,34,False
2011-04-04,65,2,1,1,41,False
