date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2009-07-25,7,1,0,60,1,False
2009-07-26,10,1,0,62,0,False
2009-07-27,9,1,0,77,1,False
2009-07-28,8,1,0,85,0,False
2009-07-29,11,1,1,77,1,False
2009-07-30,6,1,0,78,1,False
2009-07-31,10,1,0,83,0,False
2009-08-01,10,1,0,59,0,False
2009-08-02,10,1,0,61,1,False
2009-08-03,9,2,0,82,0,False
2009-08-04,10,1,1,83,1,False
2009-08-05,12,2,0,81,0,False
2009-08-06,10,1,1,81,0,False
2009-08-07,10,1,0,72,1,False
2009-08-08,7,0,0,54,0,False
2009-08-09,10,1,0,62,0,False
2009-08-10,8,1,1,76,0,False
2009-08-11,10,2,0,75,0,False
2009-08-12,7,1,1,84,0,False
2009-08-13,9,1,1,77,1,False
2009-08-14,7,1,1,73,0,False
2009-08-15,7,0,0,57,0,False
2009-08-16,7,1,0,62,0,False
2009-08-17,9,1,0,83,1,False
2009-08-18,7,2,0,84,0,False
2009-08-19,8,1,0,85,0,False
2009-08-20,8,3,0,83,1,False
2009-08-21,8,1,1,80,1,False
2009-08-22,6,1,0,63,0,False
2009-08-23,11,1,0,63,0,False
2009-08-24,7,1,0,77,1,False
2009-08-25,10,1,0,87,1,False
2009-08-26,10,1,0,82,0,False
2009-08-27,7,1,0,85,1,False
2009-08-28,8,2,0,74,0,False
2009-08-29,9,1,0,55,0,False
2009-08-30,10,1,0,72,0,False
2009-08-31,8,1,1,85,1,False
2009-09-01,10,1,1,82,0,False
2009-09-02,9,2,0,79,0,False
2009-09-03,7,1,0,79,0,False
2009-09-04,9,1,0,73,1,False
2009-09-05,10,0,0,51,0,False
2009-09-06,8,1,0,55,0,False
2009-09-07,9,1,0,61,0,False
2009-09-08,6,1,0,78,0,False
2009-09-09,7,1,0,86,0,False
2009-09-10,8,1,0,81,1,False
2009-09-11,6,1,1,69,1,False
2009-09-12,9,0,0,53,0,False
2009-09-13,7,1,0,57,1,False
2009-09-14,9,2,1,84,1,False
2009-09-15,7,2,0,78,1,False
2009-09-16,8,2,1,81,1,False
2009-09-17,8,2,1,82,1,False
2009-09-18,8,2,0,81,0,False
2009-09-19,10,1,0,61,0,False
2009-09-20,12,1,0,62,1,False
2009-09-21,7,1,0,79,0,False
2009-09-22,7,2,0,87,1,False
2009-09-23,8,2,1,86,1,False
2009-09-24,9,1,1,83,1,False
2009-09-25,7,1,1,76,0,False
2009-09-26,8,1,0,61,1,False
2009-09-27,9,1,0,63,0,False
2009-09-28,8,2,1,81,0,False
2009-09-29,9,1,1,77,0,False
2009-09-30,8,2,0,79,1,False
2009-10-01,7,2,1,85,1,False
2009-10-02,8,1,0,70,0,False
2009-10-03,11,1,0,53,0,False
2009-10-04,8,2,0,59,1,False
2009-10-05,7,1,1,79,1,False
2009-10-06,8,1,0,84,0,False
2009-10-07,8,2,1,89,1,False
2009-10-08,9,1,0,80,0,False
2009-10-09,7,1,0,75,0,False
2009-10-10,8,1,0,59,1,False
2009-10-11,8,1,0,65,1,False
2009-10-12,11,2,0,84,1,False
2009-10-13,9,1,0,88,1,False
2009-10-14,7,2,1,79,0,False
2009-10-15,6,1,1,84,0,False
2009-10-16,8,1,1,78,0,False
2009-10-17,9,1,0,62,0,False
2009-10-18,8,2,0,65,0,False
2009-10-19,8,1,0,81,0,False
2009-10-20,9,2,0,89,1,False
2009-10-21,8,1,0,87,0,False
2009-10-22,7,2,1,84,0,False
2009-10-23,10,1,0,82,0,False
2009-10-24,9,1,0,57,0,False
2009-10-25,9,5,0,61,0,False
2009-10-26,7,2,0,83,0,False
2009-10-27,7,2,1,87,1,False
2009-10-28,10,2,1,86,0,False
2009-10-29,7,2,0,75,1,False
2009-10-30,7,2,0,83,0,False
2009-10-31,9,2,0,55,1,False
2009-11-01,10,2,0,60,0,False
2009-11-02,9,1,0,80,1,False
2009-11-03,8,1,1,81,1,False
2009-11-04,8,2,1,85,0,False
2009-11-05,8,1,1,89,0,False
2009-11-06,10,1,0,74,0,False
2009-11-07,10,1,0,62,0,False
2009-11-08,10,2,0,62,0,False
2009-11-09,8,1,0,79,0,False
2009-11-10,9,1,0,78,0,False
2009-11-11,8,1,1,84,1,False
2009-11-12,8,2,1,82,1,False
2009-11-13,8,1,0,74,1,False
2009-11-14,9,1,1,62,0,False
2009-11-15,8,1,0,66,0,False
2009-11-16,9,2,1,83,1,False
2009-11-17,9,1,0,85,1,False
2009-11-18,10,2,0,86,0,False
2009-11-19,9,3,1,81,0,False
2009-11-20,8,2,0,79,1,False
2009-11-21,7,1,0,62,1,False
2009-11-22,12,1,0,57,0,False
2009-11-23,7,2,1,86,0,False
2009-11-24,9,1,0,83,0,False
2009-11-25,9,1,0,68,0,False
2009-11-26,9,0,0,51,0,False
2009-11-27,8,1,0,53,1,False
2009-11-28,11,1,1,58,0,False
2009-11-29,9,1,0,60,0,False
2009-11-30,11,1,1,79,1,False
2009-12-01,8,1,0,84,0,False
2009-12-02,10,1,1,83,1,False
2009-12-03,10,2,0,81,1,False
2009-12-04,9,2,1,74,0,False
2009-12-05,11,2,1,59,0,False
2009-12-06,11,1,0,65,1,False
2009-12-07,11,2,0,83,0,False
2009-12-08,11,3,0,75,0,False
2009-12-09,10,2,1,77,0,False
2009-12-10,11,1,0,73,1,False
2009-12-11,11,1,1,77,0,False
2009-12-12,11,1,0,60,0,False
2009-12-13,9,1,0,58,1,False
2009-12-14,11,2,1,80,0,False
2009-12-15,10,2,1,83,0,False
2009-12-16,7,1,0,75,0,False
2009-12-17,7,2,1,80,0,False
2009-12-18,7,1,1,69,0,False
2009-12-19,12,1,0,51,0,False
2009-12-20,8,1,0,53,0,False
2009-12-21,8,1,0,63,0,False
2009-12-22,10,1,0,72,0,False
2009-12-23,7,1,0,59,0,False
2009-12-24,7,2,0,49,0,False
2009-12-25,5,1,0,51,0,False
2009-12-26,9,1,0,53,0,False
2009-12-27,8,1,0,52,0,False
2009-12-28,9,0,0,71,0,False
2009-12-29,8,1,0,69,1,False
2009-12-30,11,0,0,69,0,False
2009-12-31,9,1,0,56,0,False
2010-01-01,7,0,0,53,1,False
2010-01-02,10,0,0,54,1,False
2010-01-03,9,1,0,62,0,False
2010-01-04,8,0,0,79,0,False
2010-01-05,8,1,0,80,0,False
2010-01-06,7,2,0,85,1,False
2010-01-07,8,1,1,80,0,False
2010-01-08,7,1,0,74,1,False
2010-01-09,9,1,0,61,1,False
2010-01-10,10,1,0,71,0,False
2010-01-11,8,1,1,89,1,False
2010-01-12,8,1,1,89,1,False
2010-01-13,10,1,0,90,0,False
2010-01-14,9,1,1,79,0,False
2010-01-15,7,1,1,77,0,False
2010-01-16,8,1,1,65,0,False
2010-01-17,9,1,0,63,0,False
2010-01-18,10,2,0,72,1,False
2010-01-19,6,2,1,85,0,False
2010-01-20,8,3,0,82,0,False
2010-01-21,7,2,1,80,1,False
2010-01-22,7,1,1,85,0,False
2010-01-23,8,1,0,69,0,False
2010-01-24,11,1,0,67,1,False
2010-01-25,8,1,0,89,0,False
2010-01-26,8,1,0,87,0,False
2010-01-27,7,1,0,87,0,False
2010-01-28,7,1,1,83,1,False
2010-01-29,8,2,0,79,0,False
2010-01-30,10,1,0,69,0,False
2010-01-31,12,1,0,66,0,False
2010-02-01,9,2,1,85,1,False
2010-02-02,7,2,0,100,0,False
2010-02-03,10,2,1,87,0,False
2010-02-04,8,1,0,85,0,False
2010-02-05,9,1,1,77,0,False
2010-02-06,10,0,0,69,0,False
2010-02-07,6,2,1,61,1,False
2010-02-08,9,1,0,86,0,False
2010-02-09,9,3,0,85,0,False
