date,gold,guide,inexpensive,inherit,invaluable
2004-01-01,64.865454915,185.259813016,7.82996997826,0.0,0
2004-01-02,60.9342152232,172.291626105,5.21997998551,0.0,0
2004-01-03,64.865454915,157.470841064,7.82996997826,0.0,0
2004-01-04,60.9342152232,157.470841064,7.82996997826,0.0,0
2004-01-05,64.865454915,166.733831715,10.439959971,0.0,0
2004-01-06,53.0717358395,127.829270981,5.21997998551,0.0,0
2004-01-07,58.9685953773,129.681869112,7.82996997826,0.0,0
2004-01-08,57.0029755314,127.829270981,7.82996997826,0.0,0
2004-01-09,51.1061159936,122.271476591,5.21997998551,0.0,0
2004-01-10,64.865454915,153.765644804,2.60998999275,0.0,0
2004-01-11,62.8998350691,155.618242934,5.21997998551,0.0,0
2004-01-12,55.0373556855,129.681869112,5.21997998551,0.0,0
2004-01-13,53.0717358395,113.00848594,5.21997998551,0.0,0
2004-01-14,53.0717358395,125.976672851,5.21997998551,0.0,0
2004-01-15,55.0373556855,135.239663502,5.21997998551,0.0,0
2004-01-16,57.0029755314,125.976672851,5.21997998551,0.0,0
2004-01-17,62.8998350691,166.733831715,5.21997998551,0.0,0
2004-01-18,64.865454915,155.618242934,5.21997998551,0.0,0
2004-01-19,60.9342152232,142.650056023,7.82996997826,0.0,0
2004-01-20,57.0029755314,120.418878461,7.82996997826,0.0,0
2004-01-21,60.9342152232,114.86108407,5.21997998551,0.0,0
2004-01-22,53.0717358395,135.239663502,5.21997998551,0.0,0
2004-01-23,62.8998350691,118.566280331,5.21997998551,0.0,0
2004-01-24,57.0029755314,150.060448543,10.439959971,0.0,0
2004-01-25,53.0717358395,155.618242934,2.60998999275,0.0,0
2004-01-26,51.1061159936,122.271476591,5.21997998551,0.0,0
2004-01-27,45.2092564559,120.418878461,2.60998999275,0.0,0
2004-01-28,47.1748763018,122.271476591,7.82996997826,0.0,0
2004-01-29,55.0373556855,129.681869112,7.82996997826,0.0,0
2004-01-30,58.9685953773,109.30328968,7.82996997826,0.0,0
2004-01-31,53.0717358395,153.765644804,5.21997998551,0.0,0
2004-02-01,51.1061159936,157.470841064,10.439959971,0.0,0
2004-02-02,51.1061159936,105.598093419,7.82996997826,0.0,0
2004-02-03,43.24363661,113.00848594,5.21997998551,0.0,0
2004-02-04,51.1061159936,109.30328968,7.82996997826,0.0,0
2004-02-05,58.9685953773,116.7136822,5.21997998551,0.0,0
2004-02-06,51.1061159936,120.418878461,2.60998999275,0.0,0
2004-02-07,55.0373556855,146.355252283,10.439959971,0.0,0
2004-02-08,64.865454915,133.387065372,5.21997998551,0.0,0
2004-02-09,55.0373556855,131.534467242,7.82996997826,0.0,0
2004-02-10,62.8998350691,124.124074721,7.82996997826,0.0,0
2004-02-11,55.0373556855,118.566280331,7.82996997826,0.0,0
2004-02-12,49.1404961477,116.7136822,2.60998999275,0.0,0
2004-02-13,55.0373556855,127.829270981,2.60998999275,0.0,0
2004-02-14,60.9342152232,151.913046674,7.82996997826,0.0,0
2004-02-15,55.0373556855,166.733831715,10.439959971,0.0,0
