date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2007-12-07,10,42,5,34,0,False
2007-12-08,9,41,4,22,0,False
2007-12-09,15,36,2,19,0,False
2007-12-10,15,47,4,32,1,False
2007-12-11,11,47,3,39,0,False
2007-12-12,14,50,4,31,0,False
2007-12-13,11,42,2,33,1,False
2007-12-14,11,40,5,26,1,False
2007-12-15,14,31,2,22,0,False
2007-12-16,13,32,1,20,1,False
2007-12-17,10,36,2,31,0,False
2007-12-18,13,49,2,35,0,False
2007-12-19,15,49,2,41,0,False
2007-12-20,11,47,4,29,2,False
2007-12-21,11,39,3,30,0,False
2007-12-22,12,35,5,12,1,False
2007-12-23,10,33,2,11,1,False
2007-12-24,10,67,6,16,0,False
2007-12-25,10,42,1,16,1,False
2007-12-26,12,100,2,39,1,False
2007-12-27,9,62,5,37,0,False
2007-12-28,9,58,2,37,0,False
2007-12-29,8,41,3,31,0,False
2007-12-30,13,34,3,20,0,False
2007-12-31,9,73,3,34,0,False
2008-01-01,9,63,1,28,0,False
2008-01-02,8,79,2,37,1,False
2008-01-03,16,64,2,44,0,False
2008-01-04,12,55,4,40,0,False
2008-01-05,12,45,3,25,0,False
2008-01-06,16,28,2,23,2,False
2008-01-07,8,63,1,42,0,False
2008-01-08,10,64,7,47,0,False
2008-01-09,7,55,10,58,1,False
2008-01-10,10,64,3,40,1,False
2008-01-11,10,51,4,28,1,False
2008-01-12,7,36,2,33,0,False
2008-01-13,11,34,4,32,1,False
2008-01-14,12,54,4,41,0,False
2008-01-15,9,54,6,45,1,False
2008-01-16,9,58,2,41,0,False
2008-01-17,10,47,5,46,1,False
2008-01-18,10,54,6,44,0,False
2008-01-19,11,36,4,25,0,False
2008-01-20,8,39,5,19,0,False
2008-01-21,6,66,5,38,0,False
2008-01-22,11,55,4,40,1,False
2008-01-23,14,57,7,48,1,False
2008-01-24,9,50,4,49,0,False
2008-01-25,13,51,5,31,1,False
2008-01-26,8,33,6,25,1,False
2008-01-27,13,35,3,27,0,False
2008-01-28,10,56,3,48,1,False
2008-01-29,11,53,4,45,1,False
2008-01-30,12,53,4,38,1,False
2008-01-31,14,57,5,44,0,False
2008-02-01,9,45,5,38,0,False
2008-02-02,6,30,4,27,0,False
2008-02-03,15,29,2,22,0,False
2008-02-04,11,57,5,51,0,False
2008-02-05,12,53,5,45,0,False
2008-02-06,11,45,5,38,0,False
2008-02-07,11,53,4,45,1,False
2008-02-08,10,49,5,36,0,False
2008-02-09,7,35,4,23,1,False
2008-02-10,7,35,5,22,0,False
2008-02-11,12,56,4,41,0,False
2008-02-12,13,54,2,48,0,False
2008-02-13,11,51,3,39,0,False
2008-02-14,13,65,4,35,1,False
2008-02-15,11,49,2,37,1,False
2008-02-16,10,45,2,28,0,False
2008-02-17,12,37,3,19,1,False
2008-02-18,11,69,4,33,0,False
2008-02-19,12,64,3,44,0,False
2008-02-20,10,52,4,46,2,False
2008-02-21,8,58,5,47,1,False
2008-02-22,12,51,3,36,0,False
2008-02-23,11,40,3,27,1,False
2008-02-24,10,37,4,22,0,False
2008-02-25,10,55,3,36,0,False
2008-02-26,13,53,5,43,1,False
2008-02-27,14,54,6,40,2,False
2008-02-28,13,54,5,37,1,False
2008-02-29,10,49,4,35,1,False
2008-03-01,10,43,3,22,0,False
2008-03-02,12,37,4,22,0,False
2008-03-03,10,56,4,41,0,False
2008-03-04,12,49,4,50,0,False
2008-03-05,10,45,5,47,0,False
2008-03-06,12,48,7,43,0,False
2008-03-07,7,51,4,42,0,False
2008-03-08,10,35,3,33,0,False
2008-03-09,7,35,4,22,0,False
2008-03-10,9,59,5,47,1,False
2008-03-11,11,59,5,44,1,False
2008-03-12,13,53,3,43,0,False
2008-03-13,12,47,6,46,1,False
2008-03-14,9,46,4,44,0,False
2008-03-15,5,39,2,24,0,False
2008-03-16,8,40,3,23,1,False
2008-03-17,13,55,5,37,0,False
2008-03-18,8,57,5,43,1,False
2008-03-19,12,51,3,46,0,False
