date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2015-02-16,4,24,33,0,15,False
2015-02-17,1,38,31,0,16,False
2015-02-18,2,31,32,0,14,False
2015-02-19,2,42,23,0,18,False
2015-02-20,1,37,27,1,14,False
2015-02-21,1,9,35,0,14,False
2015-02-22,1,14,44,0,14,False
2015-02-23,2,34,26,1,16,False
2015-02-24,1,36,34,0,20,False
2015-02-25,2,35,33,0,22,False
2015-02-26,2,34,29,0,17,False
2015-02-27,3,32,32,0,13,False
2015-02-28,0,9,33,0,14,False
2015-03-01,1,15,33,0,13,False
2015-03-02,2,34,22,0,16,False
2015-03-03,1,36,26,0,19,False
2015-03-04,0,41,22,0,18,False
2015-03-05,2,28,29,0,15,False
2015-03-06,2,27,23,0,22,False
2015-03-07,1,4,34,0,11,False
2015-03-08,0,18,29,0,15,False
2015-03-09,1,43,25,0,13,False
2015-03-10,2,33,28,1,17,False
2015-03-11,3,39,35,0,13,False
2015-03-12,2,39,30,1,16,False
2015-03-13,2,24,24,0,9,False
2015-03-14,0,10,24,0,10,False
2015-03-15,0,18,31,0,12,False
2015-03-16,1,37,24,0,15,False
2015-03-17,2,37,34,0,18,False
2015-03-18,2,37,35,0,18,False
2015-03-19,2,27,28,0,13,False
2015-03-20,0,27,31,0,16,False
2015-03-21,1,11,37,0,11,False
2015-03-22,1,9,39,0,12,False
2015-03-23,1,43,29,0,16,False
2015-03-24,1,40,26,0,14,False
2015-03-25,1,40,22,0,20,False
2015-03-26,1,34,24,0,16,False
2015-03-27,1,29,25,0,15,False
2015-03-28,1,16,37,0,12,False
2015-03-29,1,15,23,0,13,False
2015-03-30,0,27,24,0,14,False
2015-03-31,2,32,28,0,19,False
2015-04-01,2,35,26,0,12,False
2015-04-02,0,31,39,0,16,False
2015-04-03,1,17,55,0,12,False
2015-04-04,0,4,60,0,9,False
2015-04-05,0,11,90,1,8,False
2015-04-06,1,30,65,0,18,False
2015-04-07,1,24,55,0,16,False
2015-04-08,3,27,51,0,17,False
2015-04-09,2,37,59,0,15,False
2015-04-10,2,22,45,0,12,False
2015-04-11,1,9,67,0,11,False
2015-04-12,1,13,76,0,12,False
2015-04-13,1,28,48,0,17,False
2015-04-14,1,31,43,0,16,False
2015-04-15,2,36,36,0,24,False
2015-04-16,1,31,45,0,18,False
2015-04-17,2,28,55,0,12,False
2015-04-18,1,9,66,0,11,False
2015-04-19,4,12,100,0,10,False
2015-04-20,3,30,55,0,13,False
2015-04-21,1,37,46,0,16,False
2015-04-22,2,20,30,0,18,False
2015-04-23,2,33,36,0,17,False
2015-04-24,1,36,34,0,14,False
2015-04-25,1,9,51,0,7,False
2015-04-26,1,21,54,0,10,False
2015-04-27,3,31,39,0,14,False
2015-04-28,3,38,38,0,16,False
2015-04-29,3,38,45,0,20,False
2015-04-30,2,35,37,1,17,False
2015-05-01,1,23,38,0,14,False
2015-05-02,0,12,26,0,5,False
2015-05-03,1,16,39,0,9,False
2015-05-04,2,30,34,0,14,False
2015-05-05,3,29,31,0,17,False
2015-05-06,1,36,35,0,12,False
2015-05-07,2,35,31,0,14,False
2015-05-08,2,40,34,0,15,False
2015-05-09,2,5,30,0,13,False
2015-05-10,3,12,46,0,10,False
2015-05-11,2,31,33,0,14,False
2015-05-12,3,18,36,0,15,False
2015-05-13,2,30,24,0,16,False
2015-05-14,0,25,28,0,15,False
2015-05-15,3,21,66,0,17,False
2015-05-16,0,8,55,0,16,False
2015-05-17,0,9,50,0,9,False
2015-05-18,0,26,33,0,12,False
2015-05-19,1,27,33,0,13,False
2015-05-20,2,26,28,0,11,False
2015-05-21,4,23,31,0,14,False
2015-05-22,0,26,36,1,12,False
2015-05-23,2,6,38,0,10,False
2015-05-24,1,3,68,0,9,False
2015-05-25,0,8,63,0,8,False
2015-05-26,2,21,38,0,18,False
2015-05-27,0,22,27,0,14,False
2015-05-28,1,33,33,0,11,False
2015-05-29,0,22,29,0,14,False
2015-05-30,0,5,35,0,12,False
2015-05-31,1,11,35,0,7,False
2015-06-01,1,27,26,1,13,False
2015-06-02,0,23,29,0,16,False
2015-06-03,2,21,31,1,10,False
2015-06-04,1,18,21,0,13,False
2015-06-05,3,19,21,0,13,False
2015-06-06,1,9,34,0,10,False
2015-06-07,1,10,40,0,7,False
2015-06-08,0,12,23,0,13,False
2015-06-09,0,19,21,0,18,False
2015-06-10,1,28,28,0,12,False
2015-06-11,1,24,26,0,16,False
2015-06-12,1,19,30,0,10,False
2015-06-13,3,6,32,0,6,False
2015-06-14,1,4,63,0,9,False
2015-06-15,1,20,44,0,11,False
2015-06-16,0,27,30,0,16,False
2015-06-17,0,27,24,0,12,False
2015-06-18,1,22,31,0,9,False
2015-06-19,1,16,28,0,8,False
2015-06-20,0,6,37,0,6,False
2015-06-21,1,7,49,0,5,False
2015-06-22,1,18,41,0,12,False
2015-06-23,1,21,34,0,11,False
2015-06-24,1,25,23,0,11,False
2015-06-25,1,22,61,0,13,False
2015-06-26,1,12,31,0,8,False
2015-06-27,2,10,30,0,11,False
2015-06-28,2,7,38,1,9,False
2015-06-29,1,18,28,0,14,False
2015-06-30,1,18,30,0,16,False
2015-07-01,1,13,32,0,12,False
2015-07-02,1,19,45,0,14,False
2015-07-03,1,5,83,0,9,False
2015-07-04,0,8,81,0,8,False
2015-07-05,1,4,92,0,11,False
2015-07-06,2,23,60,0,11,False
2015-07-07,1,18,60,0,16,False
2015-07-08,1,23,64,0,18,False
2015-07-09,2,31,63,0,10,False
2015-07-10,1,7,65,0,12,False
2015-07-11,0,8,79,0,15,False
2015-07-12,2,9,78,0,8,False
2015-07-13,1,19,63,0,14,False
2015-07-14,4,18,46,0,14,False
2015-07-15,1,24,43,0,15,False
2015-07-16,0,14,41,0,13,False
2015-07-17,2,15,36,0,13,False
2015-07-18,2,6,59,0,11,False
2015-07-19,2,6,62,0,7,False
2015-07-20,0,21,38,0,12,False
2015-07-21,2,13,35,0,17,False
2015-07-22,2,16,45,0,17,False
2015-07-23,2,15,35,0,11,False
2015-07-24,0,15,29,0,12,False
2015-07-25,2,4,47,0,13,False
2015-07-26,0,4,48,0,5,False
2015-07-27,0,15,46,0,13,False
2015-07-28,1,17,36,1,16,False
2015-07-29,2,14,25,1,16,False
2015-07-30,0,20,39,1,13,False
2015-07-31,1,8,37,0,11,False
2015-08-01,1,2,40,0,9,False
