date,hustle,hustler,inflation,jobless,laid,isPartial
2012-05-06,19,23,27,1,26,False
2012-05-07,17,20,44,1,21,False
2012-05-08,16,27,44,1,25,False
2012-05-09,17,19,36,0,24,False
2012-05-10,14,21,31,5,19,False
2012-05-11,19,19,35,3,19,False
2012-05-12,13,32,23,1,27,False
2012-05-13,17,26,28,0,20,False
2012-05-14,15,19,36,2,23,False
2012-05-15,13,20,30,1,19,False
2012-05-16,16,23,32,1,22,False
2012-05-17,12,21,32,3,22,False
2012-05-18,20,21,26,2,21,False
2012-05-19,19,28,16,2,22,False
2012-05-20,17,28,20,1,22,False
2012-05-21,13,25,33,1,21,False
2012-05-22,14,25,29,1,21,False
2012-05-23,16,69,29,2,24,False
2012-05-24,12,100,28,4,21,False
2012-05-25,13,55,27,3,28,False
2012-05-26,21,46,19,1,21,False
2012-05-27,20,30,33,1,24,False
2012-05-28,14,30,39,1,14,False
2012-05-29,16,23,32,2,21,False
2012-05-30,11,21,31,1,25,False
2012-05-31,16,24,29,5,21,False
2012-06-01,18,26,29,4,24,False
2012-06-02,23,25,23,1,21,False
2012-06-03,15,22,33,1,31,False
2012-06-04,17,24,29,2,26,False
2012-06-05,16,20,30,2,24,False
2012-06-06,16,20,33,1,22,False
2012-06-07,17,20,29,3,22,False
2012-06-08,11,22,27,2,28,False
2012-06-09,10,20,21,1,29,False
2012-06-10,10,29,28,1,24,False
2012-06-11,13,17,28,2,19,False
2012-06-12,13,22,31,0,18,False
2012-06-13,15,20,27,1,26,False
2012-06-14,16,19,28,6,26,False
2012-06-15,16,22,23,2,20,False
2012-06-16,15,30,19,0,26,False
2012-06-17,14,24,21,1,23,False
2012-06-18,12,23,24,1,18,False
2012-06-19,16,21,26,0,23,False
2012-06-20,16,17,29,1,26,False
2012-06-21,12,25,28,4,22,False
2012-06-22,15,20,24,1,28,False
2012-06-23,16,20,23,0,22,False
2012-06-24,18,24,22,1,24,False
2012-06-25,15,24,27,1,23,False
2012-06-26,15,24,20,2,23,False
2012-06-27,16,20,28,1,22,False
2012-06-28,14,21,24,3,21,False
2012-06-29,13,20,24,2,19,False
2012-06-30,19,29,21,1,22,False
2012-07-01,17,33,21,1,25,False
2012-07-02,17,22,22,1,21,False
2012-07-03,16,22,25,3,21,False
2012-07-04,12,22,22,1,24,False
2012-07-05,17,22,27,3,19,False
2012-07-06,17,23,21,3,27,False
2012-07-07,18,28,25,1,29,False
2012-07-08,16,33,23,1,21,False
2012-07-09,12,18,28,1,21,False
2012-07-10,14,20,25,1,21,False
2012-07-11,13,21,22,1,21,False
2012-07-12,16,21,24,2,27,False
2012-07-13,17,22,22,2,26,False
2012-07-14,19,25,16,1,30,False
2012-07-15,35,51,22,0,22,False
2012-07-16,13,22,27,1,22,False
2012-07-17,12,22,24,1,23,False
2012-07-18,17,21,21,1,24,False
2012-07-19,13,19,30,5,19,False
2012-07-20,16,21,24,2,24,False
2012-07-21,14,28,25,2,22,False
2012-07-22,15,31,24,1,22,False
