date,expense,expensive,fine,ghetto,intervention,isPartial
2004-09-11,6,13,70,21,4,False
2004-09-12,9,6,56,13,6,False
2004-09-13,8,14,69,13,9,False
2004-09-14,7,13,63,11,16,False
2004-09-15,8,16,57,19,9,False
2004-09-16,8,12,64,19,11,False
2004-09-17,5,19,64,7,9,False
2004-09-18,6,13,94,10,6,False
2004-09-19,3,18,68,9,4,False
2004-09-20,9,11,63,7,7,False
2004-09-21,12,13,75,12,8,False
2004-09-22,12,8,65,9,6,False
2004-09-23,7,15,69,15,9,False
2004-09-24,6,17,63,14,13,False
2004-09-25,7,15,81,10,4,False
2004-09-26,6,15,72,16,9,False
2004-09-27,12,13,61,16,8,False
2004-09-28,10,14,65,15,12,False
2004-09-29,7,10,52,20,12,False
2004-09-30,9,9,59,9,10,False
2004-10-01,7,10,66,18,9,False
2004-10-02,4,9,62,16,9,False
2004-10-03,3,16,54,7,7,False
2004-10-04,6,14,59,13,10,False
2004-10-05,11,13,68,11,8,False
2004-10-06,11,31,67,5,12,False
2004-10-07,9,19,62,12,9,False
2004-10-08,5,11,67,11,9,False
2004-10-09,0,21,84,11,5,False
2004-10-10,6,10,69,15,4,False
2004-10-11,6,15,63,11,8,False
2004-10-12,10,3,73,14,0,False
2004-10-13,5,12,73,9,14,False
2004-10-14,7,8,70,11,15,False
2004-10-15,4,8,66,16,11,False
2004-10-16,7,13,76,22,9,False
2004-10-17,4,17,81,13,4,False
2004-10-18,7,18,61,13,12,False
2004-10-19,11,18,61,11,9,False
2004-10-20,7,21,60,12,6,False
2004-10-21,8,10,63,8,8,False
2004-10-22,11,12,61,12,14,False
2004-10-23,13,13,87,22,9,False
2004-10-24,4,15,57,11,6,False
2004-10-25,15,14,55,10,7,False
2004-10-26,10,11,64,16,9,False
2004-10-27,9,15,69,14,8,False
2004-10-28,8,13,63,20,14,False
2004-10-29,7,19,67,22,4,False
2004-10-30,4,6,65,13,10,False
2004-10-31,10,22,70,10,4,False
2004-11-01,8,12,60,14,8,False
2004-11-02,8,17,60,20,15,False
2004-11-03,3,13,50,7,13,False
2004-11-04,10,16,60,12,10,False
2004-11-05,3,16,68,20,17,False
2004-11-06,4,18,73,14,8,False
2004-11-07,7,15,72,21,12,False
2004-11-08,9,16,56,6,0,False
2004-11-09,0,0,0,0,0,True
2004-11-10,8,15,69,14,13,False
2004-11-11,9,17,76,11,7,False
2004-11-12,6,18,52,12,9,False
2004-11-13,4,8,85,25,1,False
2004-11-14,5,8,86,10,8,False
2004-11-15,6,15,67,10,9,False
2004-11-16,9,11,74,8,13,False
2004-11-17,6,22,65,13,14,False
2004-11-18,8,14,57,22,11,False
2004-11-19,9,15,100,26,6,False
2004-11-20,6,6,83,26,9,False
2004-11-21,4,13,98,21,14,False
2004-11-22,12,16,81,17,12,False
2004-11-23,10,15,65,11,10,False
2004-11-24,6,14,77,18,7,False
2004-11-25,5,17,63,14,3,False
2004-11-26,4,34,83,15,8,False
2004-11-27,3,20,75,20,7,False
2004-11-28,5,17,75,24,7,False
2004-11-29,8,20,69,12,11,False
2004-11-30,7,17,60,11,11,False
2004-12-01,8,18,61,14,13,False
2004-12-02,10,21,72,18,12,False
2004-12-03,7,20,64,23,13,False
2004-12-04,4,18,74,22,10,False
2004-12-05,5,18,68,25,9,False
2004-12-06,8,23,77,13,13,False
2004-12-07,7,17,74,23,9,False
2004-12-08,8,19,73,21,10,False
2004-12-09,6,21,80,20,7,False
2004-12-10,8,14,75,25,6,False
2004-12-11,3,18,79,22,8,False
2004-12-12,5,9,80,21,10,False
2004-12-13,11,18,71,18,12,False
2004-12-14,9,18,69,15,12,False
2004-12-15,10,18,83,17,6,False
2004-12-16,9,17,85,15,16,False
2004-12-17,4,18,58,17,11,False
2004-12-18,6,8,68,21,3,False
2004-12-19,6,19,72,22,4,False
2004-12-20,9,28,66,15,5,False
2004-12-21,9,19,68,12,14,False
2004-12-22,7,9,57,15,6,False
2004-12-23,7,12,76,16,7,False
2004-12-24,0,12,79,27,5,False
2004-12-25,0,4,61,21,0,False
2004-12-26,5,7,93,17,2,False
2004-12-27,8,10,72,15,7,False
2004-12-28,7,8,84,17,2,False
2004-12-29,11,14,78,13,7,False
2004-12-30,8,10,64,16,5,False
2004-12-31,5,15,79,20,5,False
2005-01-01,2,9,77,14,2,False
2005-01-02,6,17,69,25,6,False
2005-01-03,8,9,66,13,6,False
2005-01-04,11,13,65,9,7,False
2005-01-05,12,12,68,19,8,False
2005-01-06,7,12,59,17,7,False
2005-01-07,8,12,61,17,12,False
2005-01-08,6,14,69,22,5,False
2005-01-09,2,10,67,20,6,False
2005-01-10,5,15,64,17,5,False
2005-01-11,7,13,55,25,10,False
2005-01-12,9,16,70,16,8,False
2005-01-13,9,16,79,22,12,False
2005-01-14,12,14,69,15,13,False
2005-01-15,7,9,76,17,4,False
2005-01-16,5,25,66,11,5,False
2005-01-17,10,8,60,23,4,False
2005-01-18,11,8,68,14,10,False
2005-01-19,14,17,60,16,4,False
2005-01-20,8,12,60,16,15,False
2005-01-21,7,17,78,17,8,False
2005-01-22,5,16,61,22,5,False
2005-01-23,7,18,85,18,1,False
2005-01-24,6,9,47,14,6,False
2005-01-25,9,20,66,17,13,False
2005-01-26,14,20,71,15,9,False
2005-01-27,12,14,70,27,7,False
2005-01-28,10,16,71,15,11,False
2005-01-29,8,20,76,15,7,False
2005-01-30,8,14,62,15,8,False
2005-01-31,7,15,81,19,6,False
2005-02-01,7,16,75,17,11,False
2005-02-02,6,11,71,19,12,False
2005-02-03,14,19,69,17,12,False
2005-02-04,8,13,74,24,13,False
2005-02-05,10,8,80,23,1,False
2005-02-06,8,19,72,34,18,False
2005-02-07,9,13,66,15,6,False
2005-02-08,9,14,74,19,7,False
2005-02-09,12,22,74,15,13,False
2005-02-10,8,9,77,18,5,False
2005-02-11,7,18,71,20,7,False
2005-02-12,12,14,74,15,5,False
2005-02-13,7,13,64,16,12,False
2005-02-14,11,17,69,17,16,False
2005-02-15,11,21,66,19,11,False
2005-02-16,6,14,66,18,11,False
2005-02-17,5,17,63,22,15,False
2005-02-18,15,16,56,15,8,False
2005-02-19,7,22,71,12,9,False
2005-02-20,12,14,59,17,4,False
2005-02-21,10,10,65,14,9,False
2005-02-22,6,14,62,24,16,False
2005-02-23,14,14,53,16,9,False
2005-02-24,10,12,64,18,10,False
2005-02-25,7,15,69,20,10,False
2005-02-26,12,9,34,22,6,False
2005-02-27,7,12,64,17,15,False
2005-02-28,9,12,63,16,10,False
2005-03-01,11,12,73,15,10,False
2005-03-02,12,22,57,12,11,False
2005-03-03,9,10,65,19,10,False
2005-03-04,10,16,71,12,8,False
2005-03-05,10,8,93,16,13,False
2005-03-06,5,9,73,27,14,False
2005-03-07,9,16,67,17,16,False
2005-03-08,9,17,66,15,18,False
2005-03-09,5,12,69,14,14,False
2005-03-10,12,15,71,18,13,False
2005-03-11,9,18,60,12,5,False
2005-03-12,5,10,67,16,6,False
2005-03-13,15,17,65,25,6,False
2005-03-14,5,12,61,14,18,False
2005-03-15,7,14,61,17,18,False
2005-03-16,10,14,59,18,12,False
2005-03-17,11,9,61,15,10,False
2005-03-18,11,13,52,19,17,False
2005-03-19,10,11,64,18,9,False
2005-03-20,8,9,58,27,7,False
2005-03-21,11,15,68,15,13,False
2005-03-22,11,13,72,21,11,False
2005-03-23,10,17,56,13,8,False
2005-03-24,8,13,60,27,15,False
2005-03-25,15,17,71,23,7,False
2005-03-26,5,15,62,23,6,False
2005-03-27,10,8,52,21,9,False
2005-03-28,9,17,65,13,12,False
2005-03-29,10,15,67,18,11,False
2005-03-30,11,16,68,15,13,False
2005-03-31,9,14,72,22,10,False
2005-04-01,8,8,67,23,11,False
2005-04-02,1,10,64,20,10,False
2005-04-03,8,18,54,15,10,False
2005-04-04,6,20,63,20,20,False
2005-04-05,0,0,0,0,0,True
2005-04-06,5,12,49,10,17,False
2005-04-07,11,18,60,27,13,False
2005-04-08,7,17,60,18,8,False
2005-04-09,11,14,58,31,10,False
2005-04-10,11,16,74,26,10,False
2005-04-11,11,13,68,22,17,False
2005-04-12,14,17,57,19,17,False
2005-04-13,12,20,62,19,11,False
2005-04-14,8,20,62,13,15,False
2005-04-15,8,10,82,20,12,False
2005-04-16,10,18,73,23,5,False
2005-04-17,11,23,76,16,13,False
2005-04-18,6,13,60,26,16,False
2005-04-19,6,12,54,21,14,False
2005-04-20,4,17,62,20,10,False
2005-04-21,10,22,60,23,10,False
2005-04-22,5,10,67,20,5,False
2005-04-23,3,11,70,32,11,False
2005-04-24,3,10,65,33,14,False
2005-04-25,12,19,67,20,14,False
2005-04-26,5,12,64,23,12,False
2005-04-27,7,16,60,21,20,False
2005-04-28,11,15,65,23,11,False
2005-04-29,9,25,62,23,9,False
2005-04-30,3,16,74,14,13,False
2005-05-01,2,16,81,15,17,False
2005-05-02,11,17,62,20,16,False
2005-05-03,6,20,70,21,11,False
2005-05-04,10,12,71,23,10,False
2005-05-05,6,18,68,28,11,False
2005-05-06,7,14,67,25,14,False
2005-05-07,10,9,73,18,11,False
2005-05-08,4,25,71,32,14,False
2005-05-09,6,19,67,16,12,False
2005-05-10,8,15,55,19,15,False
2005-05-11,7,12,62,21,16,False
2005-05-12,9,17,69,25,5,False
2005-05-13,9,14,52,25,8,False
2005-05-14,2,24,85,33,8,False
2005-05-15,2,17,68,20,7,False
2005-05-16,8,13,62,17,12,False
2005-05-17,13,13,55,24,8,False
2005-05-18,7,12,67,24,15,False
2005-05-19,7,17,60,19,13,False
2005-05-20,8,20,53,20,5,False
2005-05-21,8,12,93,20,4,False
2005-05-22,2,19,60,22,9,False
2005-05-23,5,18,55,24,12,False
2005-05-24,8,19,51,17,8,False
2005-05-25,8,16,52,26,7,False
2005-05-26,8,14,63,16,11,False
2005-05-27,7,15,70,24,5,False
2005-05-28,5,12,70,24,11,False
2005-05-29,8,22,76,22,7,False
2005-05-30,7,13,80,20,8,False
2005-05-31,7,15,59,10,9,False
2005-06-01,9,6,59,20,7,False
2005-06-02,8,12,61,21,7,False
2005-06-03,5,18,55,18,9,False
2005-06-04,8,8,67,19,9,False
2005-06-05,6,11,69,38,13,False
2005-06-06,8,13,62,19,19,False
2005-06-07,9,13,67,18,9,False
