date,bankrupt,bankruptcy,costliness,costly,default
2004-01-01,42.8420706846,41.466715188,0,0.0,75.9551862246
2004-01-02,59.9788989585,74.2945313784,0,0.0,86.5535843025
2004-01-03,21.4210353423,48.377834386,0,13.2321428571,67.1231878264
2004-01-04,42.8420706846,39.7389353885,0,0.0,113.049579497
2004-01-05,0.0,50.1056141855,0,0.0,136.012775332
2004-01-06,17.1368282739,127.855705163,0,0.0,109.516780138
2004-01-07,21.4210353423,117.489026366,0,5.29285714286,111.283179817
2004-01-08,47.1262777531,91.5723293734,0,0.0,125.414377255
2004-01-09,25.7052424108,119.216806165,0,0.0,93.6191830211
2004-01-10,0.0,50.1056141855,0,0.0,90.0863836618
2004-01-11,12.8526212054,43.1944949875,0,0.0,84.7871846229
2004-01-12,25.7052424108,82.9334303759,0,0.0,102.451181419
2004-01-13,17.1368282739,107.122347569,0,0.0,109.516780138
2004-01-14,29.9894494793,110.577907168,0,0.0,93.6191830211
2004-01-15,12.8526212054,95.0278889724,0,0.0,93.6191830211
2004-01-16,34.2736565477,89.8445495739,0,0.0,102.451181419
2004-01-17,51.4104848216,62.200072782,0,0.0,72.4223868654
2004-01-18,0.0,50.1056141855,0,0.0,107.750380458
2004-01-19,0.0,70.8389717795,0,0.0,95.3855827007
2004-01-20,17.1368282739,84.6612101754,0,2.64642857143,114.815979177
2004-01-21,38.5578636162,81.2056505764,0,0.0,88.3199839821
2004-01-22,17.1368282739,93.3001091729,0,0.0,123.647977575
2004-01-23,8.56841413693,141.677943559,0,0.0,97.1519823804
2004-01-24,29.9894494793,72.5667515789,0,0.0,118.348778536
2004-01-25,8.56841413693,34.55559599,0,0.0,88.3199839821
2004-01-26,12.8526212054,93.3001091729,0,0.0,130.713576294
2004-01-27,29.9894494793,100.211228371,0,0.0,121.881577895
2004-01-28,17.1368282739,96.7556687719,0,0.0,104.217581099
2004-01-29,38.5578636162,95.0278889724,0,7.93928571429,107.750380458
2004-01-30,25.7052424108,95.0278889724,0,0.0,136.012775332
2004-01-31,21.4210353423,98.4834485714,0,0.0,97.1519823804
2004-02-01,38.5578636162,57.0167333835,0,0.0,95.3855827007
2004-02-02,34.2736565477,86.3889899749,0,2.64642857143,91.8527833414
2004-02-03,12.8526212054,79.4778707769,0,2.64642857143,114.815979177
2004-02-04,38.5578636162,103.66678797,0,7.93928571429,139.545574692
2004-02-05,4.28420706846,77.7500909774,0,0.0,114.815979177
2004-02-06,17.1368282739,77.7500909774,0,2.64642857143,116.582378856
2004-02-07,25.7052424108,62.200072782,0,0.0,127.180776934
2004-02-08,0.0,24.188917193,0,7.93928571429,54.7583900689
2004-02-09,47.1262777531,105.394567769,0,0.0,113.049579497
2004-02-10,21.4210353423,98.4834485714,0,2.64642857143,132.479975973
2004-02-11,12.8526212054,107.122347569,0,0.0,97.1519823804
2004-02-12,42.8420706846,126.127925363,0,0.0,137.779175012
2004-02-13,17.1368282739,95.0278889724,0,2.64642857143,132.479975973
2004-02-14,21.4210353423,41.466715188,0,0.0,88.3199839821
2004-02-15,21.4210353423,41.466715188,0,5.29285714286,116.582378856
2004-02-16,25.7052424108,77.7500909774,0,5.29285714286,123.647977575
2004-02-17,21.4210353423,98.4834485714,0,2.64642857143,90.0863836618
2004-02-18,12.8526212054,112.305686967,0,0.0,116.582378856
2004-02-19,17.1368282739,101.93900817,0,0.0,136.012775332
2004-02-20,4.28420706846,81.2056505764,0,2.64642857143,113.049579497
2004-02-21,17.1368282739,53.5611737845,0,5.29285714286,127.180776934
2004-02-22,0.0,57.0167333835,0,0.0,86.5535843025
2004-02-23,38.5578636162,77.7500909774,0,0.0,104.217581099
2004-02-24,29.9894494793,110.577907168,0,0.0,97.1519823804
2004-02-25,29.9894494793,69.11119198,0,0.0,143.078374051
2004-02-26,21.4210353423,74.2945313784,0,0.0,127.180776934
2004-02-27,25.7052424108,81.2056505764,0,0.0,105.983980779
2004-02-28,8.56841413693,72.5667515789,0,5.29285714286,130.713576294
2004-02-29,29.9894494793,57.0167333835,0,0.0,93.6191830211
2004-03-01,29.9894494793,138.22238396,0,0.0,114.815979177
2004-03-02,21.4210353423,98.4834485714,0,0.0,104.217581099
2004-03-03,21.4210353423,89.8445495739,0,0.0,141.311974371
2004-03-04,17.1368282739,131.311264762,0,5.29285714286,143.078374051
2004-03-05,21.4210353423,43.1944949875,0,0.0,88.3199839821
2004-03-06,29.9894494793,38.011155589,0,10.5857142857,88.3199839821
2004-03-07,0.0,57.0167333835,0,0.0,116.582378856
2004-03-08,0.0,0.0,0,0.0,0.0
2004-03-09,0.0,0.0,0,0.0,0.0
2004-03-10,0.0,91.5723293734,0,5.29285714286,123.647977575
2004-03-11,21.4210353423,101.93900817,0,0.0,130.713576294
2004-03-12,8.56841413693,95.0278889724,0,5.29285714286,125.414377255
2004-03-13,29.9894494793,48.377834386,0,0.0,102.451181419
2004-03-14,29.9894494793,39.7389353885,0,0.0,60.0575891079
2004-03-15,34.2736565477,108.850127368,0,2.64642857143,104.217581099
2004-03-16,34.2736565477,98.4834485714,0,0.0,116.582378856
2004-03-17,17.1368282739,98.4834485714,0,0.0,77.7215859043
2004-03-18,0.0,100.211228371,0,2.64642857143,109.516780138
2004-03-19,25.7052424108,89.8445495739,0,0.0,83.0207849432
2004-03-20,29.9894494793,63.9278525815,0,5.29285714286,107.750380458
2004-03-21,21.4210353423,39.7389353885,0,0.0,72.4223868654
2004-03-22,21.4210353423,27.644476792,0,0.0,38.8607929521
2004-03-23,0.0,0.0,0,0.0,0.0
2004-03-24,47.1262777531,101.93900817,0,0.0,128.947176614
2004-03-25,21.4210353423,67.3834121805,0,0.0,113.049579497
2004-03-26,8.56841413693,96.7556687719,0,0.0,176.639967964
2004-03-27,8.56841413693,43.1944949875,0,0.0,102.451181419
2004-03-28,29.9894494793,38.011155589,0,0.0,81.2543852636
2004-03-29,21.4210353423,98.4834485714,0,0.0,97.1519823804
2004-03-30,12.8526212054,89.8445495739,0,2.64642857143,102.451181419
2004-03-31,38.5578636162,100.211228371,0,0.0,130.713576294
2004-04-01,4.28420706846,101.93900817,0,2.64642857143,125.414377255
2004-04-02,38.5578636162,91.5723293734,0,0.0,97.1519823804
2004-04-03,21.4210353423,63.9278525815,0,0.0,105.983980779
2004-04-04,29.9894494793,50.1056141855,0,5.29285714286,47.6927913504
2004-04-05,4.28420706846,107.122347569,0,0.0,114.815979177
2004-04-06,21.4210353423,117.489026366,0,0.0,98.91838206
2004-04-07,17.1368282739,98.4834485714,0,0.0,116.582378856
2004-04-08,12.8526212054,86.3889899749,0,0.0,113.049579497
2004-04-09,21.4210353423,103.66678797,0,0.0,121.881577895
2004-04-10,8.56841413693,41.466715188,0,0.0,116.582378856
2004-04-11,0.0,13.822238396,0,0.0,160.742370847
2004-04-12,0.0,0.0,0,0.0,0.0
2004-04-13,0.0,0.0,0,0.0,0.0
2004-04-14,12.8526212054,57.0167333835,0,0.0,95.3855827007
2004-04-15,12.8526212054,70.8389717795,0,0.0,127.180776934
2004-04-16,17.1368282739,96.7556687719,0,0.0,123.647977575
2004-04-17,8.56841413693,53.5611737845,0,5.29285714286,102.451181419
2004-04-18,8.56841413693,58.744513183,0,0.0,67.1231878264
2004-04-19,25.7052424108,86.3889899749,0,0.0,72.4223868654
2004-04-20,8.56841413693,88.1167697744,0,0.0,97.1519823804
2004-04-21,21.4210353423,89.8445495739,0,2.64642857143,88.3199839821
2004-04-22,0.0,82.9334303759,0,0.0,118.348778536
2004-04-23,4.28420706846,67.3834121805,0,2.64642857143,123.647977575
2004-04-24,29.9894494793,63.9278525815,0,0.0,74.188786545
2004-04-25,17.1368282739,41.466715188,0,0.0,100.68478174
2004-04-26,25.7052424108,77.7500909774,0,10.5857142857,107.750380458
2004-04-27,8.56841413693,114.033466767,0,2.64642857143,105.983980779
2004-04-28,17.1368282739,79.4778707769,0,2.64642857143,97.1519823804
2004-04-29,21.4210353423,86.3889899749,0,0.0,97.1519823804
2004-04-30,12.8526212054,72.5667515789,0,0.0,98.91838206
2004-05-01,29.9894494793,34.55559599,0,0.0,88.3199839821
2004-05-02,8.56841413693,57.0167333835,0,0.0,95.3855827007
2004-05-03,4.28420706846,107.122347569,0,7.93928571429,116.582378856
2004-05-04,8.56841413693,88.1167697744,0,2.64642857143,93.6191830211
2004-05-05,0.0,74.2945313784,0,0.0,98.91838206
2004-05-06,0.0,81.2056505764,0,0.0,95.3855827007
2004-05-07,0.0,72.5667515789,0,2.64642857143,97.1519823804
2004-05-08,21.4210353423,46.6500545865,0,0.0,81.2543852636
2004-05-09,72.8315201639,24.188917193,0,0.0,93.6191830211
2004-05-10,12.8526212054,76.0223111779,0,0.0,86.5535843025
2004-05-11,12.8526212054,110.577907168,0,0.0,120.115178216
2004-05-12,25.7052424108,88.1167697744,0,0.0,118.348778536
2004-05-13,17.1368282739,76.0223111779,0,0.0,104.217581099
2004-05-14,25.7052424108,107.122347569,0,0.0,111.283179817
2004-05-15,0.0,60.4722929825,0,0.0,61.8239887875
2004-05-16,21.4210353423,69.11119198,0,0.0,83.0207849432
2004-05-17,12.8526212054,107.122347569,0,0.0,118.348778536
2004-05-18,21.4210353423,84.6612101754,0,2.64642857143,118.348778536
2004-05-19,34.2736565477,110.577907168,0,2.64642857143,107.750380458
2004-05-20,12.8526212054,84.6612101754,0,0.0,116.582378856
2004-05-21,29.9894494793,82.9334303759,0,0.0,116.582378856
2004-05-22,21.4210353423,39.7389353885,0,5.29285714286,79.4879855839
2004-05-23,21.4210353423,51.833393985,0,5.29285714286,77.7215859043
2004-05-24,12.8526212054,101.93900817,0,0.0,83.0207849432
2004-05-25,4.28420706846,105.394567769,0,0.0,113.049579497
2004-05-26,21.4210353423,93.3001091729,0,2.64642857143,132.479975973
2004-05-27,17.1368282739,91.5723293734,0,0.0,139.545574692
2004-05-28,21.4210353423,98.4834485714,0,0.0,134.246375653
2004-05-29,21.4210353423,88.1167697744,0,0.0,84.7871846229
2004-05-30,12.8526212054,58.744513183,0,0.0,70.6559871857
2004-05-31,8.56841413693,51.833393985,0,0.0,79.4879855839
2004-06-01,12.8526212054,89.8445495739,0,2.64642857143,100.68478174
2004-06-02,42.8420706846,95.0278889724,0,0.0,114.815979177
2004-06-03,29.9894494793,108.850127368,0,0.0,127.180776934
2004-06-04,12.8526212054,50.1056141855,0,0.0,97.1519823804
