date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2010-12-15,1,22,20,0,13,False
2010-12-16,1,13,15,0,13,False
2010-12-17,0,8,16,0,13,False
2010-12-18,0,4,18,0,11,False
2010-12-19,1,6,25,0,9,False
2010-12-20,0,11,14,0,6,False
2010-12-21,0,9,10,0,15,False
2010-12-22,1,7,16,0,12,False
2010-12-23,1,6,16,0,9,False
2010-12-24,0,6,12,0,9,False
2010-12-25,0,2,16,0,7,False
2010-12-26,0,2,16,0,6,False
2010-12-27,0,5,15,0,9,False
2010-12-28,1,6,17,0,10,False
2010-12-29,0,5,16,0,12,False
2010-12-30,1,7,21,0,8,False
2010-12-31,1,1,29,0,5,False
2011-01-01,0,4,16,0,7,False
2011-01-02,1,2,19,0,12,False
2011-01-03,1,11,19,0,11,False
2011-01-04,0,10,16,0,16,False
2011-01-05,1,16,16,0,12,False
2011-01-06,0,14,17,0,18,False
2011-01-07,1,9,17,0,14,False
2011-01-08,0,6,19,0,11,False
2011-01-09,0,10,23,0,12,False
2011-01-10,0,10,15,0,11,False
2011-01-11,1,14,16,0,13,False
2011-01-12,2,10,15,0,8,False
2011-01-13,0,14,12,0,19,False
2011-01-14,0,9,16,0,10,False
2011-01-15,0,3,14,0,16,False
2011-01-16,1,5,23,0,13,False
2011-01-17,0,12,81,0,15,False
2011-01-18,0,19,54,0,16,False
2011-01-19,1,13,17,0,10,False
2011-01-20,0,17,34,0,22,False
2011-01-21,0,14,20,0,13,False
2011-01-22,0,3,18,0,10,False
2011-01-23,1,12,24,0,10,False
2011-01-24,1,12,13,0,15,False
2011-01-25,1,11,16,0,16,False
2011-01-26,0,14,14,0,16,False
2011-01-27,0,17,18,0,14,False
2011-01-28,1,11,19,0,16,False
2011-01-29,0,5,17,0,13,False
2011-01-30,1,8,18,0,12,False
2011-01-31,1,14,14,0,18,False
2011-02-01,1,16,17,0,15,False
2011-02-02,0,12,16,0,14,False
2011-02-03,1,9,21,0,14,False
2011-02-04,0,13,12,0,12,False
2011-02-05,0,6,15,0,11,False
2011-02-06,1,9,12,0,5,False
2011-02-07,1,15,17,0,18,False
2011-02-08,0,16,16,0,13,False
2011-02-09,0,16,18,0,18,False
2011-02-10,0,14,20,0,15,False
2011-02-11,0,14,11,0,11,False
2011-02-12,0,5,18,0,8,False
2011-02-13,1,8,20,0,11,False
2011-02-14,0,14,12,0,15,False
2011-02-15,0,16,13,0,14,False
2011-02-16,0,13,15,0,12,False
2011-02-17,1,14,15,0,15,False
2011-02-18,0,16,15,0,12,False
2011-02-19,0,7,16,0,10,False
2011-02-20,0,5,20,0,15,False
2011-02-21,0,11,19,0,11,False
2011-02-22,1,13,18,0,14,False
2011-02-23,0,14,13,0,13,False
2011-02-24,1,20,23,0,14,False
2011-02-25,1,17,11,0,10,False
2011-02-26,1,4,17,0,9,False
2011-02-27,1,6,18,0,10,False
2011-02-28,0,16,11,0,11,False
2011-03-01,2,16,15,0,11,False
2011-03-02,0,16,14,0,14,False
2011-03-03,0,17,13,0,12,False
2011-03-04,2,13,19,0,15,False
2011-03-05,0,5,27,0,10,False
2011-03-06,1,8,100,0,10,False
2011-03-07,2,17,52,0,12,False
2011-03-08,0,14,29,0,16,False
2011-03-09,0,18,15,0,13,False
2011-03-10,1,15,15,0,14,False
