date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2010-12-15,1,2,68,53,9,False
2010-12-16,0,2,59,45,10,False
2010-12-17,0,2,51,43,8,False
2010-12-18,0,0,28,43,10,False
2010-12-19,1,2,28,53,11,False
2010-12-20,0,3,45,46,10,False
2010-12-21,0,2,58,44,8,False
2010-12-22,0,1,49,42,12,False
2010-12-23,0,2,42,44,7,False
2010-12-24,1,2,23,57,8,False
2010-12-25,0,1,17,30,7,False
2010-12-26,0,1,15,42,8,False
2010-12-27,0,1,33,34,10,False
2010-12-28,0,1,41,47,7,False
2010-12-29,1,0,46,42,11,False
2010-12-30,0,2,40,41,16,False
2010-12-31,0,0,28,40,10,False
2011-01-01,0,0,24,44,15,False
2011-01-02,0,2,24,73,12,False
2011-01-03,0,2,65,61,17,False
2011-01-04,0,2,63,60,12,False
2011-01-05,1,1,68,62,10,False
2011-01-06,0,2,68,55,13,False
2011-01-07,1,1,59,57,12,False
2011-01-08,0,2,31,59,10,False
2011-01-09,0,2,37,75,11,False
2011-01-10,0,4,66,65,9,False
2011-01-11,0,1,60,55,9,False
2011-01-12,0,1,61,60,9,False
2011-01-13,1,1,65,57,10,False
2011-01-14,0,3,56,59,16,False
2011-01-15,0,1,41,50,12,False
2011-01-16,0,1,34,83,14,False
2011-01-17,1,2,44,64,10,False
2011-01-18,1,2,66,61,10,False
2011-01-19,0,3,70,69,12,False
2011-01-20,0,3,73,58,10,False
2011-01-21,0,3,55,55,13,False
2011-01-22,1,1,43,43,14,False
2011-01-23,0,2,43,70,11,False
2011-01-24,1,3,68,58,12,False
2011-01-25,1,2,74,56,10,False
2011-01-26,1,3,74,58,10,False
2011-01-27,0,3,72,54,12,False
2011-01-28,0,2,63,49,13,False
2011-01-29,0,1,40,53,12,False
2011-01-30,0,4,45,70,14,False
2011-01-31,1,3,71,55,11,False
2011-02-01,1,3,73,64,13,False
2011-02-02,1,3,62,60,12,False
2011-02-03,1,2,67,56,10,False
2011-02-04,1,1,63,53,12,False
2011-02-05,1,1,45,52,15,False
2011-02-06,0,0,47,58,11,False
2011-02-07,1,1,70,55,10,False
2011-02-08,0,3,72,59,11,False
2011-02-09,1,3,67,54,11,False
2011-02-10,1,3,73,54,10,False
2011-02-11,0,1,68,49,11,False
2011-02-12,0,2,44,46,10,False
2011-02-13,0,3,50,75,9,False
2011-02-14,0,2,70,57,8,False
2011-02-15,0,2,79,58,9,False
2011-02-16,0,2,74,60,11,False
2011-02-17,0,3,70,55,10,False
2011-02-18,1,3,65,52,7,False
2011-02-19,0,1,33,52,13,False
2011-02-20,0,2,42,66,16,False
2011-02-21,0,3,63,48,14,False
2011-02-22,1,3,74,58,9,False
2011-02-23,1,2,69,56,13,False
2011-02-24,0,2,62,49,9,False
2011-02-25,1,1,56,51,13,False
2011-02-26,0,1,41,38,14,False
2011-02-27,0,2,39,68,12,False
2011-02-28,0,3,71,56,10,False
2011-03-01,0,2,74,57,11,False
2011-03-02,0,3,63,53,9,False
