date,inexpensive,inherit,invaluable,legal,lucrative
2004-01-01,2.49046246978,0.0,0.0,58.7979986554,0.0
2004-01-02,6.22615617445,1.43178695286,0.0,88.196997983,0.0
2004-01-03,18.6784685233,1.43178695286,0.0,60.1343168066,0.0
2004-01-04,11.207081114,0.0,0.0,53.4527260503,0.0
2004-01-05,9.96184987911,7.15893476431,0.0,80.1790890755,0.0
2004-01-06,9.96184987911,1.43178695286,0.0,104.232815798,0.0
2004-01-07,11.207081114,2.86357390572,0.0,120.268633613,0.0
2004-01-08,11.207081114,2.86357390572,0.0,109.578088403,0.0
2004-01-09,8.71661864422,0.0,0.0,108.241770252,0.0
2004-01-10,16.1880060536,0.0,0.0,92.2059524368,0.0
2004-01-11,7.47138740933,0.0,0.0,72.1611801679,0.0
2004-01-12,7.47138740933,2.86357390572,0.0,101.560179496,0.0
2004-01-13,9.96184987911,0.0,0.0,96.2149068906,0.0
2004-01-14,12.4523123489,1.43178695286,0.0,114.923361008,0.0
2004-01-15,13.6975435838,4.29536085859,0.0,110.914406554,0.0
2004-01-16,6.22615617445,2.86357390572,0.0,110.914406554,0.0
2004-01-17,12.4523123489,1.43178695286,0.0,77.506452773,0.0
2004-01-18,12.4523123489,0.0,0.0,70.8248620167,0.0
2004-01-19,8.71661864422,0.0,0.0,89.5333161343,0.0
2004-01-20,12.4523123489,1.43178695286,0.0,101.560179496,0.0
2004-01-21,13.6975435838,1.43178695286,0.0,112.250724706,0.0
2004-01-22,11.207081114,0.0,0.0,121.604951764,0.0
2004-01-23,13.6975435838,1.43178695286,0.0,86.8606798318,0.0
2004-01-24,13.6975435838,1.43178695286,0.0,86.8606798318,0.0
2004-01-25,4.98092493956,1.43178695286,0.0,73.4974983192,0.0
2004-01-26,14.9427748187,1.43178695286,0.0,93.5422705881,0.0
2004-01-27,7.47138740933,1.43178695286,0.0,106.905452101,0.0
2004-01-28,12.4523123489,2.86357390572,0.0,98.8875431931,0.0
2004-01-29,8.71661864422,1.43178695286,0.0,101.560179496,0.0
2004-01-30,8.71661864422,4.29536085859,0.0,98.8875431931,0.0
2004-01-31,11.207081114,5.72714781145,0.0,78.8427709242,0.0
2004-02-01,14.9427748187,0.0,0.0,85.5243616805,0.0
2004-02-02,8.71661864422,1.43178695286,0.0,85.5243616805,0.0
2004-02-03,11.207081114,1.43178695286,0.0,104.232815798,0.0
2004-02-04,14.9427748187,1.43178695286,0.0,90.8696342855,0.0
2004-02-05,7.47138740933,2.86357390572,0.0,120.268633613,0.0
2004-02-06,7.47138740933,2.86357390572,0.0,100.223861344,0.0
2004-02-07,13.6975435838,0.0,0.0,68.1522257142,0.0
2004-02-08,9.96184987911,2.86357390572,0.0,80.1790890755,0.0
2004-02-09,9.96184987911,2.86357390572,0.0,100.223861344,0.0
2004-02-10,6.22615617445,2.86357390572,0.0,96.2149068906,0.0
2004-02-11,11.207081114,1.43178695286,0.0,93.5422705881,0.0
2004-02-12,6.22615617445,2.86357390572,0.0,98.8875431931,0.0
2004-02-13,9.96184987911,1.43178695286,0.0,96.2149068906,0.0
2004-02-14,9.96184987911,1.43178695286,0.0,93.5422705881,0.0
2004-02-15,12.4523123489,1.43178695286,0.0,81.5154072267,0.0
2004-02-16,12.4523123489,0.0,0.0,104.232815798,0.0
2004-02-17,8.71661864422,5.72714781145,0.0,117.595997311,0.0
2004-02-18,9.96184987911,1.43178695286,0.0,116.259679159,0.0
2004-02-19,6.22615617445,1.43178695286,0.0,116.259679159,0.0
2004-02-20,4.98092493956,1.43178695286,0.0,100.223861344,0.0
2004-02-21,8.71661864422,0.0,0.0,96.2149068906,0.0
2004-02-22,13.6975435838,1.43178695286,0.0,85.5243616805,0.0
2004-02-23,8.71661864422,2.86357390572,0.0,98.8875431931,0.0
2004-02-24,6.22615617445,2.86357390572,0.0,98.8875431931,0.0
2004-02-25,8.71661864422,1.43178695286,0.0,106.905452101,0.0
