date,gain,generosity,gift,gold,guide,isPartial
2010-12-15,6,0,70,43,56,False
2010-12-16,6,0,70,42,53,False
2010-12-17,5,0,75,41,55,False
2010-12-18,5,0,70,48,63,False
2010-12-19,5,0,64,44,64,False
2010-12-20,6,0,73,42,59,False
2010-12-21,5,0,71,42,57,False
2010-12-22,6,0,74,44,59,False
2010-12-23,5,0,72,42,56,False
2010-12-24,5,0,66,42,60,False
2010-12-25,4,0,53,42,66,False
2010-12-26,4,0,38,40,70,False
2010-12-27,5,0,30,41,62,False
2010-12-28,6,0,29,44,61,False
2010-12-29,6,0,28,40,62,False
2010-12-30,6,0,26,42,61,False
2010-12-31,6,0,24,45,62,False
2011-01-01,6,0,24,46,76,False
2011-01-02,8,0,24,49,89,False
2011-01-03,8,0,25,47,72,False
2011-01-04,7,0,24,48,72,False
2011-01-05,8,0,22,49,69,False
2011-01-06,8,0,22,46,65,False
2011-01-07,7,0,21,46,64,False
2011-01-08,7,0,22,50,75,False
2011-01-09,7,0,20,46,75,False
2011-01-10,7,0,19,43,69,False
2011-01-11,7,0,18,43,68,False
2011-01-12,7,0,20,44,69,False
2011-01-13,8,0,19,45,67,False
2011-01-14,8,0,20,43,61,False
2011-01-15,7,0,20,48,71,False
2011-01-16,8,0,19,46,77,False
2011-01-17,7,0,20,50,72,False
2011-01-18,7,0,18,49,70,False
2011-01-19,8,0,21,45,67,False
2011-01-20,8,0,21,44,66,False
2011-01-21,7,0,20,45,63,False
2011-01-22,7,0,20,50,75,False
2011-01-23,8,0,20,49,76,False
2011-01-24,8,0,20,48,64,False
2011-01-25,7,0,20,45,65,False
2011-01-26,8,0,19,42,65,False
2011-01-27,7,0,19,43,63,False
2011-01-28,7,0,19,44,62,False
2011-01-29,7,0,22,51,73,False
2011-01-30,7,0,21,49,76,False
2011-01-31,8,0,19,46,65,False
2011-02-01,8,0,20,43,64,False
2011-02-02,7,0,21,42,62,False
2011-02-03,8,0,22,44,59,False
2011-02-04,7,0,20,46,59,False
2011-02-05,7,0,21,51,70,False
2011-02-06,7,0,20,47,75,False
2011-02-07,8,0,21,41,57,False
2011-02-08,8,0,23,47,61,False
