date,unprofitable,vagabond,vagrant,abundance,accrue,isPartial
2008-03-04,0,44,10,44,10,False
2008-03-05,0,30,0,20,5,False
2008-03-06,0,10,15,20,10,False
2008-03-07,0,11,5,27,0,False
2008-03-08,0,51,36,36,7,False
2008-03-09,0,22,0,22,7,False
2008-03-10,0,41,10,30,5,False
2008-03-11,0,41,10,46,20,False
2008-03-12,0,52,10,46,0,False
2008-03-13,0,15,0,31,0,False
2008-03-14,0,22,11,33,5,False
2008-03-15,0,39,0,8,0,False
2008-03-16,0,53,15,8,0,False
2008-03-17,0,15,5,21,5,False
2008-03-18,5,36,21,21,10,False
2008-03-19,0,43,0,21,0,False
2008-03-20,0,51,6,40,0,False
2008-03-21,0,52,6,13,0,False
2008-03-22,0,52,26,35,9,False
2008-03-23,0,37,0,18,0,False
2008-03-24,0,22,6,50,6,False
2008-03-25,0,30,5,20,10,False
2008-03-26,0,36,15,46,10,False
2008-03-27,0,10,5,25,20,False
2008-03-28,0,43,11,33,11,False
2008-03-29,0,37,30,52,7,False
2008-03-30,0,44,7,22,0,False
2008-03-31,0,54,20,15,20,False
2008-04-01,0,29,0,24,19,False
2008-04-02,5,25,0,45,5,False
2008-04-03,0,30,15,55,5,False
2008-04-04,0,53,5,16,5,False
2008-04-05,8,30,23,23,0,False
2008-04-06,0,45,15,45,7,False
2008-04-07,0,60,15,0,10,False
2008-04-08,0,10,0,35,5,False
2008-04-09,0,30,0,45,15,False
2008-04-10,0,50,5,10,0,False
2008-04-11,5,37,11,32,5,False
2008-04-12,7,37,22,22,0,False
2008-04-13,7,15,7,15,0,False
2008-04-14,5,25,5,20,15,False
2008-04-15,0,29,19,34,24,False
2008-04-16,0,15,10,35,15,False
2008-04-17,0,21,21,26,5,False
2008-04-18,0,33,11,16,0,False
2008-04-19,0,71,0,32,8,False
2008-04-20,0,55,32,32,0,False
2008-04-21,0,45,30,15,0,False
2008-04-22,5,15,5,24,0,False
2008-04-23,0,30,10,40,25,False
2008-04-24,0,30,20,61,0,False
2008-04-25,0,28,0,22,6,False
2008-04-26,0,62,0,23,8,False
2008-04-27,0,69,0,61,0,False
2008-04-28,5,14,9,47,5,False
2008-04-29,0,24,19,24,5,False
2008-04-30,0,40,15,25,0,False
2008-05-01,0,46,25,41,0,False
2008-05-02,5,37,16,37,0,False
2008-05-03,0,61,8,8,0,False
2008-05-04,8,72,8,40,0,False
2008-05-05,0,50,15,50,10,False
2008-05-06,5,43,5,29,5,False
2008-05-07,0,39,5,44,15,False
2008-05-08,0,74,5,50,10,False
2008-05-09,0,58,5,26,0,False
2008-05-10,0,64,8,16,8,False
2008-05-11,0,97,24,40,0,False
2008-05-12,0,64,5,40,0,False
2008-05-13,0,59,20,24,5,False
2008-05-14,0,40,0,25,5,False
2008-05-15,0,61,10,45,0,False
2008-05-16,0,27,11,21,0,False
2008-05-17,0,64,8,40,8,False
2008-05-18,0,79,8,16,8,False
2008-05-19,0,34,10,20,0,False
2008-05-20,0,35,0,35,5,False
2008-05-21,0,65,10,45,5,False
2008-05-22,0,46,5,26,10,False
2008-05-23,0,28,17,11,6,False
2008-05-24,8,100,17,17,0,False
2008-05-25,0,36,0,18,0,False
2008-05-26,0,45,23,15,0,False
2008-05-27,0,71,20,40,5,False
2008-05-28,0,40,5,45,10,False
2008-05-29,0,57,15,46,5,False
2008-05-30,5,71,5,16,5,False
2008-05-31,0,62,8,8,8,False
2008-06-01,0,24,39,8,8,False
2008-06-02,0,31,15,20,5,False
2008-06-03,0,29,10,29,0,False
2008-06-04,0,15,15,20,5,False
2008-06-05,0,41,31,26,10,False
2008-06-06,0,72,22,22,6,False
2008-06-07,0,57,24,32,0,False
2008-06-08,0,49,0,24,8,False
2008-06-09,0,21,10,21,10,False
2008-06-10,0,47,26,31,16,False
2008-06-11,0,27,0,27,0,False
2008-06-12,0,32,32,16,0,False
2008-06-13,0,80,6,29,11,False
2008-06-14,0,42,17,25,0,False
2008-06-15,0,17,9,9,0,False
2008-06-16,0,63,5,11,16,False
2008-06-17,0,31,21,21,5,False
2008-06-18,0,53,5,11,16,False
2008-06-19,0,59,16,27,11,False
2008-06-20,0,52,6,11,6,False
2008-06-21,0,50,25,17,8,False
2008-06-22,0,42,25,17,0,False
2008-06-23,5,42,0,31,10,False
2008-06-24,0,53,47,5,5,False
2008-06-25,0,43,21,16,0,False
2008-06-26,5,53,5,27,5,False
2008-06-27,0,40,11,23,11,False
2008-06-28,0,49,16,41,8,False
2008-06-29,0,33,17,17,0,False
2008-06-30,5,43,5,16,16,False
2008-07-01,0,42,11,21,11,False
2008-07-02,0,16,16,38,16,False
2008-07-03,0,41,46,17,0,False
2008-07-04,0,33,25,25,8,False
2008-07-05,0,18,9,46,0,False
2008-07-06,0,25,17,34,0,False
2008-07-07,0,47,16,36,0,False
2008-07-08,5,61,10,51,0,False
2008-07-09,0,42,5,37,5,False
2008-07-10,0,27,5,32,0,False
2008-07-11,0,39,0,28,11,False
2008-07-12,0,40,16,32,8,False
2008-07-13,0,66,33,25,0,False
2008-07-14,0,57,0,31,10,False
2008-07-15,0,36,15,36,20,False
2008-07-16,0,31,21,73,0,False
2008-07-17,0,48,16,53,11,False
2008-07-18,0,45,11,39,0,False
2008-07-19,0,96,8,32,0,False
2008-07-20,0,32,16,8,0,False
2008-07-21,0,26,21,21,15,False
2008-07-22,0,40,10,35,0,False
2008-07-23,0,56,15,15,5,False
2008-07-24,0,48,11,16,0,False
2008-07-25,0,67,17,50,0,False
2008-07-26,0,32,0,16,0,False
2008-07-27,16,24,24,8,8,False
2008-07-28,5,41,25,20,5,False
2008-07-29,0,15,0,15,25,False
2008-07-30,0,35,5,50,30,False
2008-07-31,0,68,16,42,5,False
2008-08-01,0,72,6,17,0,False
2008-08-02,0,47,16,24,0,False
2008-08-03,0,24,8,16,0,False
2008-08-04,0,15,20,5,5,False
2008-08-05,0,51,10,10,5,False
2008-08-06,0,72,10,36,15,False
2008-08-07,0,57,10,47,5,False
2008-08-08,0,44,16,22,5,False
2008-08-09,0,32,8,32,0,False
2008-08-10,0,39,8,47,0,False
2008-08-11,0,46,15,41,15,False
2008-08-12,0,65,5,40,10,False
2008-08-13,0,41,26,31,10,False
2008-08-14,0,52,0,31,0,False
2008-08-15,0,38,22,38,22,False
2008-08-16,0,46,31,15,8,False
2008-08-17,0,56,8,24,0,False
2008-08-18,0,36,0,36,5,False
2008-08-19,0,25,5,35,15,False
2008-08-20,0,35,5,15,10,False
2008-08-21,5,36,16,21,10,False
2008-08-22,0,49,32,43,0,False
2008-08-23,0,45,30,8,8,False
2008-08-24,0,30,15,30,0,False
2008-08-25,0,30,10,15,10,False
2008-08-26,0,34,10,29,15,False
2008-08-27,0,35,10,30,5,False
2008-08-28,0,41,10,30,0,False
2008-08-29,0,71,5,16,16,False
2008-08-30,0,68,15,15,8,False
2008-08-31,0,56,16,64,0,False
2008-09-01,0,61,27,27,0,False
2008-09-02,0,19,10,39,0,False
2008-09-03,5,29,10,48,10,False
2008-09-04,0,24,5,48,5,False
2008-09-05,0,41,15,41,15,False
2008-09-06,0,55,0,56,0,False
2008-09-07,0,48,14,34,14,False
2008-09-08,0,14,14,57,5,False
2008-09-09,5,37,18,69,0,False
2008-09-10,0,23,0,52,28,False
2008-09-11,5,29,24,43,10,False
2008-09-12,0,30,15,45,10,False
2008-09-13,0,69,14,41,0,False
2008-09-14,0,49,21,84,7,False
2008-09-15,0,43,10,72,10,False
2008-09-16,0,38,9,47,9,False
2008-09-17,0,19,10,67,0,False
2008-09-18,0,48,5,58,10,False
2008-09-19,0,41,0,67,5,False
2008-09-20,0,44,7,22,7,False
2008-09-21,0,58,29,36,0,False
2008-09-22,0,28,19,56,0,False
2008-09-23,0,42,18,32,0,False
2008-09-24,5,28,0,52,14,False
2008-09-25,0,19,14,52,0,False
2008-09-26,0,40,10,30,0,False
2008-09-27,0,57,7,21,0,False
2008-09-28,0,35,14,21,0,False
2008-09-29,0,55,14,69,14,False
2008-09-30,0,18,0,60,9,False
2008-10-01,0,41,9,41,5,False
2008-10-02,0,43,5,43,0,False
2008-10-03,0,40,15,35,5,False
2008-10-04,0,21,0,35,7,False
2008-10-05,0,34,7,55,14,False
2008-10-06,0,23,23,68,9,False
2008-10-07,0,9,13,27,0,False
2008-10-08,0,27,9,40,9,False
2008-10-09,0,23,0,63,0,False
2008-10-10,0,19,5,72,10,False
2008-10-11,0,22,0,7,7,False
2008-10-12,0,43,7,29,0,False
2008-10-13,0,33,0,61,5,False
2008-10-14,0,35,0,58,9,False
2008-10-15,0,32,9,36,9,False
2008-10-16,5,28,14,46,9,False
2008-10-17,5,44,10,49,10,False
2008-10-18,7,50,7,21,7,False
2008-10-19,0,42,35,21,14,False
2008-10-20,0,9,0,14,9,False
2008-10-21,0,45,5,41,9,False
2008-10-22,0,5,14,28,23,False
2008-10-23,5,18,9,32,5,False
2008-10-24,0,25,0,29,0,False
2008-10-25,0,35,7,35,0,False
2008-10-26,0,21,0,62,7,False
2008-10-27,0,36,0,27,0,False
2008-10-28,0,36,14,52,16,False
2008-10-29,4,38,11,34,8,False
2008-10-30,5,37,9,42,0,False
2008-10-31,0,51,0,36,0,False
2008-11-01,0,38,0,45,8,False
2008-11-02,0,41,27,61,7,False
2008-11-03,0,19,19,19,6,False
2008-11-04,0,22,13,54,4,False
2008-11-05,4,30,17,30,9,False
2008-11-06,0,44,22,36,4,False
2008-11-07,0,19,19,38,19,False
2008-11-08,0,20,0,13,7,False
2008-11-09,0,40,7,0,0,False
2008-11-10,0,54,4,40,13,False
2008-11-11,0,49,0,31,4,False
2008-11-12,0,26,4,26,13,False
2008-11-13,0,27,0,22,4,False
2008-11-14,0,33,5,28,14,False
2008-11-15,0,20,7,20,7,False
2008-11-16,7,54,27,27,13,False
2008-11-17,0,45,13,18,9,False
2008-11-18,0,40,4,67,4,False
2008-11-19,0,18,9,23,14,False
2008-11-20,0,14,23,42,5,False
2008-11-21,0,42,9,38,0,False
2008-11-22,0,40,20,20,0,False
2008-11-23,0,60,20,46,13,False
2008-11-24,4,27,0,40,0,False
2008-11-25,0,45,4,31,9,False
2008-11-26,0,10,10,45,10,False
2008-11-27,0,21,21,0,0,False
2008-11-28,0,33,13,52,13,False
