date,hustle,hustler,inflation,jobless,laid,isPartial
2016-07-08,31,28,50,2,35,False
2016-07-09,38,38,50,0,38,False
2016-07-10,40,37,40,0,43,False
2016-07-11,37,28,51,1,46,False
2016-07-12,39,30,52,1,46,False
2016-07-13,45,28,51,2,48,False
2016-07-14,30,33,55,1,38,False
2016-07-15,43,25,50,1,53,False
2016-07-16,71,41,48,1,49,False
2016-07-17,51,40,52,2,38,False
2016-07-18,43,32,51,0,38,False
2016-07-19,60,36,50,0,47,False
2016-07-20,43,28,51,1,42,False
2016-07-21,41,35,51,1,41,False
2016-07-22,55,34,42,2,43,False
2016-07-23,46,41,38,2,41,False
2016-07-24,47,35,45,0,37,False
2016-07-25,43,28,53,1,34,False
2016-07-26,40,28,51,2,47,False
2016-07-27,42,32,48,1,42,False
2016-07-28,36,28,61,2,41,False
2016-07-29,40,31,53,0,39,False
2016-07-30,43,37,37,1,37,False
2016-07-31,42,34,45,1,34,False
2016-08-01,38,29,42,1,47,False
2016-08-02,58,32,47,2,42,False
2016-08-03,39,33,52,2,43,False
2016-08-04,34,26,48,2,43,False
2016-08-05,32,26,52,1,41,False
2016-08-06,38,37,43,0,44,False
2016-08-07,41,31,41,1,33,False
2016-08-08,34,24,50,1,40,False
2016-08-09,36,32,42,3,35,False
2016-08-10,39,24,48,1,40,False
2016-08-11,36,28,49,2,39,False
2016-08-12,38,27,42,1,36,False
2016-08-13,35,34,38,1,35,False
2016-08-14,32,32,39,1,37,False
2016-08-15,32,25,45,1,43,False
2016-08-16,30,28,49,1,38,False
2016-08-17,31,25,50,1,37,False
2016-08-18,41,28,56,2,39,False
2016-08-19,41,29,49,1,35,False
2016-08-20,36,44,43,1,36,False
2016-08-21,42,34,40,2,33,False
2016-08-22,32,33,52,3,38,False
2016-08-23,28,37,50,2,41,False
2016-08-24,36,33,50,1,36,False
2016-08-25,40,27,50,1,43,False
2016-08-26,29,34,56,2,42,False
2016-08-27,65,38,55,0,40,False
2016-08-28,51,30,51,1,38,False
2016-08-29,36,30,61,1,41,False
2016-08-30,37,39,47,0,42,False
2016-08-31,32,30,64,0,45,False
2016-09-01,34,31,53,2,40,False
2016-09-02,34,29,52,1,40,False
2016-09-03,37,35,38,1,33,False
2016-09-04,56,31,48,1,42,False
2016-09-05,44,41,48,1,47,False
2016-09-06,32,31,63,0,41,False
2016-09-07,31,26,66,1,42,False
2016-09-08,30,27,57,4,44,False
2016-09-09,40,32,57,1,41,False
2016-09-10,35,23,50,1,45,False
2016-09-11,33,23,50,0,40,False
2016-09-12,37,27,68,1,42,False
2016-09-13,33,30,75,0,46,False
2016-09-14,37,20,71,1,36,False
2016-09-15,34,27,74,2,39,False
2016-09-16,43,27,62,1,46,False
2016-09-17,39,24,40,0,37,False
2016-09-18,41,25,59,1,33,False
2016-09-19,35,28,64,1,50,False
2016-09-20,42,23,69,1,45,False
2016-09-21,38,26,73,0,43,False
2016-09-22,37,25,76,2,48,False
2016-09-23,44,29,65,2,50,False
2016-09-24,51,32,46,1,54,False
2016-09-25,44,27,55,1,48,False
2016-09-26,45,25,77,1,53,False
