date,prosper,prosperity,isPartial
2015-10-18,10,9,False
2015-10-19,12,16,False
2015-10-20,15,19,False
2015-10-21,18,21,False
2015-10-22,17,17,False
2015-10-23,14,13,False
2015-10-24,13,10,False
2015-10-25,9,10,False
2015-10-26,13,22,False
2015-10-27,14,21,False
2015-10-28,13,16,False
2015-10-29,13,17,False
2015-10-30,14,17,False
2015-10-31,10,11,False
2015-11-01,9,10,False
2015-11-02,15,16,False
2015-11-03,12,16,False
2015-11-04,13,18,False
2015-11-05,15,17,False
2015-11-06,17,14,False
2015-11-07,14,13,False
2015-11-08,10,11,False
2015-11-09,13,16,False
2015-11-10,16,17,False
2015-11-11,12,16,False
2015-11-12,13,18,False
