date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2007-06-24,0,0,39,56,4,False
2007-06-25,1,1,78,42,5,False
2007-06-26,1,1,79,42,8,False
2007-06-27,1,2,75,47,5,False
2007-06-28,0,2,72,40,5,False
2007-06-29,0,1,86,51,6,False
2007-06-30,0,0,44,34,4,False
2007-07-01,0,2,37,74,5,False
2007-07-02,1,1,77,53,8,False
2007-07-03,0,1,73,37,2,False
2007-07-04,0,1,30,36,9,False
2007-07-05,0,1,84,41,6,False
2007-07-06,1,2,70,45,4,False
2007-07-07,0,0,42,39,8,False
2007-07-08,0,0,42,62,4,False
2007-07-09,0,0,83,42,5,False
2007-07-10,0,2,79,47,8,False
2007-07-11,0,2,87,58,5,False
2007-07-12,0,1,84,52,6,False
2007-07-13,0,2,81,54,6,False
2007-07-14,0,2,41,39,8,False
2007-07-15,0,3,45,61,8,False
2007-07-16,0,3,71,47,9,False
2007-07-17,0,1,88,41,4,False
2007-07-18,1,3,85,39,5,False
2007-07-19,0,3,96,34,6,False
2007-07-20,0,1,69,48,4,False
2007-07-21,0,0,39,41,6,False
2007-07-22,0,2,51,60,5,False
2007-07-23,1,1,83,41,5,False
2007-07-24,1,1,87,36,7,False
2007-07-25,0,2,87,51,2,False
2007-07-26,1,1,83,53,4,False
2007-07-27,0,1,67,46,3,False
2007-07-28,0,1,42,37,3,False
2007-07-29,0,3,31,54,4,False
2007-07-30,0,2,80,53,8,False
2007-07-31,1,2,81,42,3,False
2007-08-01,0,1,81,46,9,False
2007-08-02,0,2,75,39,9,False
2007-08-03,0,0,70,51,5,False
2007-08-04,0,1,51,43,6,False
2007-08-05,0,0,41,57,4,False
2007-08-06,1,2,79,42,4,False
2007-08-07,0,3,83,47,4,False
2007-08-08,0,1,71,45,3,False
2007-08-09,0,1,88,39,2,False
2007-08-10,0,2,74,41,7,False
2007-08-11,0,3,51,56,9,False
2007-08-12,0,0,41,60,11,False
2007-08-13,0,1,83,49,9,False
2007-08-14,0,1,79,38,3,False
2007-08-15,0,0,82,45,3,False
2007-08-16,0,1,88,45,7,False
2007-08-17,0,1,78,42,5,False
2007-08-18,0,0,41,53,7,False
2007-08-19,1,2,43,81,10,False
2007-08-20,2,1,62,48,2,False
2007-08-21,0,2,78,47,2,False
2007-08-22,1,2,71,45,3,False
2007-08-23,0,1,62,38,4,False
2007-08-24,0,1,69,45,6,False
2007-08-25,0,2,36,39,6,False
2007-08-26,0,0,39,75,8,False
2007-08-27,1,1,71,49,6,False
2007-08-28,1,1,76,44,3,False
2007-08-29,0,1,75,56,6,False
2007-08-30,0,1,71,49,6,False
2007-08-31,1,2,63,43,5,False
2007-09-01,0,1,32,34,8,False
2007-09-02,1,1,39,66,14,False
2007-09-03,0,1,37,37,11,False
2007-09-04,0,3,76,56,6,False
2007-09-05,0,1,80,48,7,False
2007-09-06,0,2,67,51,4,False
2007-09-07,0,1,68,49,3,False
