date,backward,backwardness,broke,cheap,colony,isPartial
2011-08-26,0,0,4,67,5,False
2011-08-27,0,0,4,71,4,False
2011-08-28,0,0,4,70,5,False
2011-08-29,0,0,4,69,4,False
2011-08-30,0,0,3,73,4,False
2011-08-31,0,0,3,75,5,False
2011-09-01,0,0,3,73,5,False
2011-09-02,0,0,4,71,4,False
2011-09-03,0,0,4,75,4,False
2011-09-04,0,0,4,75,5,False
2011-09-05,0,0,4,77,5,False
2011-09-06,0,0,3,68,5,False
2011-09-07,0,0,3,70,5,False
2011-09-08,0,0,4,64,5,False
2011-09-09,0,0,4,65,5,False
2011-09-10,0,0,4,71,4,False
2011-09-11,0,0,4,70,4,False
2011-09-12,0,0,4,68,5,False
2011-09-13,0,0,3,70,6,False
2011-09-14,0,0,4,68,6,False
2011-09-15,1,0,4,68,6,False
2011-09-16,0,0,4,65,5,False
2011-09-17,0,0,4,71,4,False
2011-09-18,0,0,5,100,5,False
2011-09-19,0,0,5,86,5,False
2011-09-20,0,0,15,75,6,False
2011-09-21,0,0,7,74,6,False
2011-09-22,0,0,5,66,5,False
2011-09-23,0,0,5,67,5,False
2011-09-24,0,0,5,71,4,False
2011-09-25,0,0,5,73,5,False
2011-09-26,1,0,5,68,6,False
2011-09-27,0,0,11,70,5,False
2011-09-28,0,0,6,68,5,False
2011-09-29,1,0,5,67,5,False
2011-09-30,0,0,5,65,6,False
2011-10-01,0,0,4,72,4,False
2011-10-02,0,0,6,73,4,False
2011-10-03,0,0,4,70,5,False
2011-10-04,0,0,9,68,5,False
2011-10-05,0,0,6,66,5,False
2011-10-06,0,0,5,64,5,False
2011-10-07,0,0,4,67,5,False
2011-10-08,0,0,4,71,4,False
2011-10-09,0,0,6,75,4,False
2011-10-10,0,0,5,70,5,False
2011-10-11,0,0,9,74,5,False
2011-10-12,0,0,6,71,5,False
2011-10-13,1,0,4,70,5,False
2011-10-14,1,0,4,69,5,False
2011-10-15,0,0,5,69,4,False
2011-10-16,0,0,5,73,4,False
2011-10-17,0,0,4,72,5,False
2011-10-18,0,0,9,70,5,False
2011-10-19,1,0,6,67,5,False
2011-10-20,0,0,5,70,5,False
2011-10-21,0,0,5,70,5,False
2011-10-22,1,0,5,72,4,False
2011-10-23,0,0,5,71,4,False
2011-10-24,1,0,5,72,5,False
2011-10-25,0,0,8,70,5,False
2011-10-26,0,0,5,66,5,False
2011-10-27,0,0,5,66,5,False
2011-10-28,0,0,4,66,4,False
2011-10-29,1,0,4,66,4,False
2011-10-30,0,0,5,66,4,False
2011-10-31,1,0,5,60,4,False
2011-11-01,1,0,7,62,5,False
2011-11-02,1,0,6,65,5,False
2011-11-03,0,0,5,66,5,False
2011-11-04,1,0,4,63,5,False
2011-11-05,0,0,5,66,4,False
2011-11-06,0,0,5,68,3,False
2011-11-07,1,0,4,66,4,False
2011-11-08,1,0,9,67,5,False
2011-11-09,1,0,6,67,5,False
2011-11-10,0,0,5,63,5,False
2011-11-11,0,0,5,64,4,False
2011-11-12,0,0,4,67,4,False
2011-11-13,0,0,5,68,4,False
2011-11-14,0,0,4,69,5,False
2011-11-15,1,0,9,65,5,False
2011-11-16,1,0,6,66,5,False
2011-11-17,1,0,4,65,5,False
2011-11-18,0,0,5,62,5,False
2011-11-19,0,0,5,68,3,False
2011-11-20,0,0,6,71,4,False
2011-11-21,0,0,5,66,4,False
2011-11-22,0,0,8,66,4,False
2011-11-23,0,0,6,63,4,False
2011-11-24,1,0,5,62,3,False
2011-11-25,0,0,4,70,3,False
2011-11-26,0,0,5,77,4,False
2011-11-27,0,0,5,79,5,False
2011-11-28,0,0,4,73,5,False
2011-11-29,0,0,8,73,6,False
2011-11-30,0,0,6,70,5,False
2011-12-01,0,0,5,69,5,False
2011-12-02,1,0,4,69,4,False
2011-12-03,0,0,5,73,4,False
2011-12-04,0,0,5,75,4,False
2011-12-05,0,0,5,72,4,False
2011-12-06,0,0,7,71,5,False
2011-12-07,0,0,5,72,5,False
2011-12-08,0,0,4,68,5,False
2011-12-09,0,0,4,68,4,False
2011-12-10,0,0,5,71,4,False
2011-12-11,0,0,6,73,4,False
2011-12-12,0,0,4,68,4,False
2011-12-13,0,0,9,69,5,False
2011-12-14,0,0,6,66,5,False
2011-12-15,0,0,5,68,5,False
2011-12-16,0,0,4,67,5,False
2011-12-17,0,0,5,69,4,False
2011-12-18,0,0,5,72,4,False
2011-12-19,0,0,4,67,4,False
2011-12-20,0,0,6,71,5,False
2011-12-21,1,0,4,66,4,False
2011-12-22,0,0,4,62,4,False
2011-12-23,0,0,5,58,3,False
2011-12-24,0,0,4,54,3,False
2011-12-25,0,0,4,59,3,False
2011-12-26,0,0,4,76,3,False
2011-12-27,0,0,6,74,3,False
2011-12-28,0,0,4,75,3,False
2011-12-29,0,0,4,75,3,False
2011-12-30,0,0,4,73,4,False
2011-12-31,0,0,4,67,3,False
2012-01-01,1,0,5,62,3,False
2012-01-02,0,0,5,74,4,False
2012-01-03,0,0,6,72,3,False
2012-01-04,0,0,4,72,4,False
2012-01-05,0,0,4,72,3,False
2012-01-06,0,0,4,71,4,False
2012-01-07,0,0,5,77,3,False
2012-01-08,0,0,5,75,3,False
2012-01-09,0,0,5,73,4,False
2012-01-10,0,0,7,75,5,False
2012-01-11,0,0,5,73,4,False
2012-01-12,0,0,5,73,4,False
2012-01-13,0,0,4,70,4,False
2012-01-14,0,0,5,74,4,False
2012-01-15,0,0,5,74,4,False
2012-01-16,0,0,4,76,3,False
2012-01-17,0,0,7,72,3,False
2012-01-18,0,0,5,69,4,False
2012-01-19,0,0,5,70,4,False
2012-01-20,0,0,4,68,4,False
2012-01-21,0,0,5,75,3,False
2012-01-22,0,0,5,75,3,False
2012-01-23,0,0,4,70,4,False
2012-01-24,0,0,7,73,4,False
2012-01-25,0,0,6,73,4,False
2012-01-26,0,0,5,70,5,False
2012-01-27,0,0,5,71,4,False
2012-01-28,0,0,5,74,5,False
2012-01-29,1,0,4,80,4,False
2012-01-30,0,0,5,73,4,False
2012-01-31,1,0,6,72,5,False
2012-02-01,1,0,4,72,4,False
2012-02-02,0,0,4,71,4,False
2012-02-03,1,0,4,69,4,False
2012-02-04,0,0,4,79,4,False
2012-02-05,0,0,5,79,5,False
2012-02-06,0,0,3,70,5,False
2012-02-07,0,0,6,78,4,False
2012-02-08,0,0,5,74,5,False
2012-02-09,0,0,4,75,5,False
2012-02-10,0,0,5,74,4,False
2012-02-11,0,0,4,73,4,False
2012-02-12,0,0,5,74,4,False
2012-02-13,0,0,5,73,4,False
2012-02-14,0,0,7,72,4,False
2012-02-15,0,0,6,72,4,False
2012-02-16,0,0,5,72,4,False
2012-02-17,0,0,5,73,4,False
