date,costliness,costly,debtor,default,depression,isPartial
2009-04-29,0,1,1,75,71,False
2009-04-30,0,0,2,75,66,False
2009-05-01,0,0,2,71,57,False
2009-05-02,0,0,1,68,44,False
2009-05-03,0,0,1,67,63,False
2009-05-04,0,1,2,71,64,False
2009-05-05,0,1,1,63,62,False
2009-05-06,0,0,0,74,75,False
2009-05-07,0,1,0,66,62,False
2009-05-08,0,0,1,77,52,False
2009-05-09,0,0,1,64,35,False
2009-05-10,0,0,0,66,53,False
2009-05-11,0,1,0,69,67,False
2009-05-12,0,1,1,63,60,False
2009-05-13,0,0,2,68,60,False
2009-05-14,0,0,0,71,66,False
2009-05-15,0,0,2,72,61,False
2009-05-16,0,0,0,62,46,False
2009-05-17,0,0,0,72,43,False
2009-05-18,0,1,1,65,55,False
2009-05-19,0,0,1,74,57,False
2009-05-20,0,1,1,74,66,False
2009-05-21,0,0,0,75,52,False
2009-05-22,0,0,1,76,53,False
2009-05-23,0,1,0,62,38,False
2009-05-24,0,0,0,66,47,False
2009-05-25,0,0,1,68,48,False
2009-05-26,0,0,1,72,57,False
2009-05-27,0,1,1,77,53,False
2009-05-28,0,0,0,75,58,False
2009-05-29,0,0,1,78,43,False
2009-05-30,0,1,1,62,42,False
2009-05-31,0,0,0,71,58,False
2009-06-01,0,0,1,73,52,False
2009-06-02,0,0,1,75,51,False
2009-06-03,0,1,1,77,54,False
2009-06-04,0,1,1,84,50,False
2009-06-05,0,0,1,76,42,False
2009-06-06,0,0,2,67,35,False
2009-06-07,0,1,1,66,52,False
2009-06-08,0,0,1,84,47,False
2009-06-09,0,1,1,78,52,False
2009-06-10,0,1,0,76,48,False
2009-06-11,0,0,2,76,46,False
2009-06-12,0,1,1,77,41,False
2009-06-13,0,0,0,77,38,False
2009-06-14,0,1,2,74,42,False
2009-06-15,0,0,1,73,44,False
2009-06-16,0,1,1,79,48,False
2009-06-17,0,0,1,83,45,False
2009-06-18,0,0,1,81,46,False
2009-06-19,0,0,1,82,39,False
2009-06-20,0,0,1,62,40,False
2009-06-21,0,0,0,73,43,False
2009-06-22,0,0,1,75,47,False
2009-06-23,0,0,1,86,43,False
2009-06-24,0,1,0,83,44,False
2009-06-25,0,1,1,85,38,False
2009-06-26,0,0,1,84,34,False
2009-06-27,0,0,0,58,41,False
2009-06-28,0,0,0,66,43,False
2009-06-29,0,0,2,71,40,False
2009-06-30,0,0,1,83,40,False
2009-07-01,0,0,0,90,39,False
2009-07-02,0,1,1,72,41,False
2009-07-03,0,0,1,73,35,False
2009-07-04,0,1,1,64,36,False
2009-07-05,0,0,0,65,41,False
2009-07-06,0,0,1,77,42,False
2009-07-07,0,0,0,85,46,False
2009-07-08,0,0,1,81,41,False
2009-07-09,0,1,1,81,46,False
2009-07-10,0,0,0,84,43,False
2009-07-11,0,1,0,67,41,False
2009-07-12,0,0,0,66,38,False
2009-07-13,0,0,1,80,50,False
2009-07-14,0,0,1,79,51,False
2009-07-15,0,1,1,82,41,False
2009-07-16,0,0,1,83,43,False
2009-07-17,0,0,1,86,41,False
2009-07-18,0,1,1,64,51,False
2009-07-19,0,1,0,64,51,False
2009-07-20,0,1,1,82,69,False
2009-07-21,0,1,2,80,54,False
2009-07-22,0,0,1,69,50,False
2009-07-23,0,0,0,79,48,False
2009-07-24,0,1,1,73,41,False
2009-07-25,0,1,1,58,34,False
2009-07-26,0,1,0,73,51,False
2009-07-27,0,0,1,81,49,False
2009-07-28,0,0,0,78,45,False
2009-07-29,0,0,1,76,46,False
2009-07-30,0,1,1,83,42,False
2009-07-31,0,0,1,86,40,False
2009-08-01,0,1,0,61,35,False
2009-08-02,0,0,0,69,42,False
2009-08-03,0,1,1,69,41,False
2009-08-04,0,1,0,79,42,False
2009-08-05,0,0,2,82,48,False
2009-08-06,0,0,1,73,43,False
2009-08-07,0,0,1,79,40,False
2009-08-08,0,1,1,68,39,False
2009-08-09,0,0,1,59,43,False
