date,advantage,affluence,affluent,afloat,allowance,isPartial
2004-01-01,65,0,0,0,0,False
2004-01-02,36,0,3,3,11,False
2004-01-03,51,3,0,0,17,False
2004-01-04,48,0,0,0,3,False
2004-01-05,64,0,0,0,0,False
2004-01-06,64,0,0,0,22,False
2004-01-07,71,0,2,6,14,False
2004-01-08,57,2,2,0,16,False
2004-01-09,67,0,2,0,10,False
2004-01-10,46,0,0,0,3,False
2004-01-11,53,0,0,0,3,False
2004-01-12,78,2,0,0,8,False
2004-01-13,57,0,4,0,10,False
2004-01-14,66,2,4,0,25,False
2004-01-15,78,0,2,2,12,False
2004-01-16,65,0,0,0,21,False
2004-01-17,65,0,0,3,10,False
2004-01-18,56,0,0,0,16,False
2004-01-19,67,0,7,0,13,False
2004-01-20,62,0,0,0,12,False
2004-01-21,67,0,0,2,4,False
2004-01-22,81,0,0,0,10,False
2004-01-23,61,0,0,0,14,False
2004-01-24,50,0,3,0,3,False
2004-01-25,39,0,3,3,6,False
2004-01-26,63,0,0,0,6,False
2004-01-27,46,0,2,0,18,False
2004-01-28,69,0,0,0,13,False
2004-01-29,87,0,2,2,6,False
2004-01-30,74,0,2,2,12,False
2004-01-31,56,0,3,0,6,False
2004-02-01,46,0,0,0,19,False
2004-02-02,57,2,0,2,9,False
2004-02-03,75,0,0,0,11,False
2004-02-04,53,0,2,0,9,False
2004-02-05,70,0,0,2,9,False
2004-02-06,40,0,0,0,6,False
2004-02-07,24,0,0,0,0,False
2004-02-08,59,0,5,5,23,False
2004-02-09,64,0,2,0,11,False
2004-02-10,70,0,5,0,13,False
2004-02-11,63,0,0,0,7,False
2004-02-12,69,0,6,0,7,False
2004-02-13,59,0,0,0,14,False
2004-02-14,66,0,0,0,13,False
2004-02-15,66,0,0,0,7,False
2004-02-16,85,0,2,0,6,False
2004-02-17,89,0,0,2,20,False
2004-02-18,87,0,0,2,5,False
2004-02-19,74,0,2,2,11,False
2004-02-20,57,0,2,0,8,False
2004-02-21,66,0,3,3,0,False
2004-02-22,53,0,3,0,0,False
2004-02-23,70,0,2,0,11,False
2004-02-24,55,0,0,4,15,False
2004-02-25,48,0,0,0,11,False
2004-02-26,64,0,0,0,16,False
2004-02-27,72,0,2,4,8,False
2004-02-28,55,0,3,0,6,False
2004-02-29,62,0,0,0,18,False
2004-03-01,54,0,0,2,15,False
2004-03-02,56,0,2,0,2,False
2004-03-03,62,0,0,0,19,False
2004-03-04,83,0,5,0,18,False
2004-03-05,54,0,0,0,0,False
2004-03-06,48,0,0,0,5,False
2004-03-07,26,0,0,0,0,False
2004-03-08,0,0,0,0,0,True
2004-03-09,0,0,0,0,0,True
2004-03-10,60,0,0,0,10,False
2004-03-11,60,0,0,0,7,False
2004-03-12,55,0,3,0,16,False
2004-03-13,62,0,6,0,6,False
2004-03-14,40,3,0,0,12,False
2004-03-15,82,0,4,0,22,False
2004-03-16,74,0,0,0,9,False
2004-03-17,61,0,0,0,13,False
2004-03-18,77,2,0,0,6,False
2004-03-19,78,2,4,2,12,False
2004-03-20,66,0,0,0,9,False
2004-03-21,49,3,0,0,9,False
2004-03-22,73,0,7,0,15,False
2004-03-23,0,0,0,0,0,True
2004-03-24,79,2,0,2,5,False
2004-03-25,53,7,0,0,7,False
2004-03-26,62,0,0,3,14,False
2004-03-27,50,0,0,0,19,False
2004-03-28,35,0,0,3,10,False
2004-03-29,72,0,0,2,20,False
2004-03-30,87,0,2,0,12,False
2004-03-31,80,2,2,0,10,False
2004-04-01,68,0,0,2,12,False
2004-04-02,49,0,2,0,9,False
2004-04-03,71,0,6,0,6,False
2004-04-04,60,0,3,0,9,False
2004-04-05,71,0,2,2,9,False
2004-04-06,80,0,4,0,12,False
2004-04-07,70,2,0,0,7,False
2004-04-08,58,0,0,0,7,False
2004-04-09,53,0,0,0,7,False
2004-04-10,41,0,3,3,3,False
2004-04-11,71,0,0,0,10,False
