date,gain,generosity,gift,gold,guide,isPartial
2006-10-13,5,0,18,36,61,False
2006-10-14,4,0,17,39,83,False
2006-10-15,5,0,19,40,84,False
2006-10-16,5,0,20,38,68,False
2006-10-17,5,0,21,37,64,False
2006-10-18,5,0,20,34,68,False
2006-10-19,5,0,21,36,68,False
2006-10-20,6,0,19,37,65,False
2006-10-21,5,0,18,40,78,False
2006-10-22,5,0,18,40,92,False
2006-10-23,5,0,21,35,65,False
2006-10-24,5,0,20,34,67,False
2006-10-25,5,0,21,34,64,False
2006-10-26,4,0,20,35,66,False
2006-10-27,6,0,20,34,66,False
2006-10-28,4,0,18,37,83,False
2006-10-29,5,0,17,35,82,False
2006-10-30,6,0,20,33,69,False
2006-10-31,5,0,22,33,71,False
2006-11-01,5,0,22,36,74,False
2006-11-02,6,0,25,35,72,False
2006-11-03,5,0,26,39,72,False
2006-11-04,5,0,21,37,82,False
2006-11-05,3,0,24,34,91,False
2006-11-06,5,0,26,39,78,False
2006-11-07,6,0,26,33,100,False
2006-11-08,4,0,26,29,65,False
2006-11-09,5,0,27,34,64,False
2006-11-10,5,0,27,36,70,False
2006-11-11,5,0,25,37,81,False
2006-11-12,4,0,29,40,86,False
2006-11-13,5,0,28,33,63,False
2006-11-14,5,0,30,34,61,False
2006-11-15,5,0,30,33,67,False
2006-11-16,5,0,34,36,58,False
2006-11-17,5,0,30,34,65,False
2006-11-18,5,0,35,35,86,False
2006-11-19,4,0,36,37,79,False
2006-11-20,5,0,39,32,67,False
2006-11-21,4,0,38,38,67,False
2006-11-22,4,0,33,35,70,False
2006-11-23,3,0,30,38,91,False
2006-11-24,4,0,37,36,82,False
2006-11-25,4,0,47,40,84,False
2006-11-26,6,0,46,39,87,False
2006-11-27,5,0,50,39,66,False
2006-11-28,6,0,47,37,63,False
2006-11-29,5,0,47,36,69,False
2006-11-30,5,0,49,33,68,False
2006-12-01,5,0,52,38,68,False
2006-12-02,4,0,59,41,79,False
2006-12-03,4,0,52,38,79,False
2006-12-04,5,0,61,37,65,False
2006-12-05,5,0,62,36,67,False
2006-12-06,4,0,61,36,66,False
2006-12-07,4,0,69,37,62,False
2006-12-08,3,0,67,40,66,False
2006-12-09,5,0,69,40,80,False
2006-12-10,4,0,75,41,89,False
2006-12-11,5,0,71,38,63,False
2006-12-12,5,0,72,38,65,False
2006-12-13,4,0,83,41,68,False
2006-12-14,5,0,76,39,67,False
2006-12-15,4,0,80,37,67,False
2006-12-16,4,0,82,40,73,False
2006-12-17,5,0,81,40,84,False
2006-12-18,4,0,83,39,66,False
2006-12-19,4,0,90,42,69,False
2006-12-20,4,0,86,35,63,False
2006-12-21,4,0,80,39,66,False
2006-12-22,5,0,70,38,69,False
2006-12-23,3,0,76,36,81,False
2006-12-24,4,0,61,40,86,False
2006-12-25,3,0,46,40,92,False
2006-12-26,4,0,32,44,83,False
2006-12-27,5,0,29,41,77,False
2006-12-28,4,0,27,38,77,False
2006-12-29,3,0,25,34,76,False
2006-12-30,4,0,20,41,81,False
2006-12-31,5,0,19,36,95,False
2007-01-01,4,0,18,36,83,False
2007-01-02,4,0,21,37,77,False
