date,gain,generosity,gift,gold,guide,isPartial
2010-04-05,8,0,18,46,80,False
2010-04-06,8,0,19,47,75,False
2010-04-07,8,0,19,45,73,False
2010-04-08,9,0,19,45,73,False
2010-04-09,7,0,21,50,69,False
2010-04-10,8,0,18,50,85,False
2010-04-11,7,0,19,52,88,False
2010-04-12,9,0,19,46,73,False
2010-04-13,8,0,19,43,75,False
2010-04-14,9,0,20,45,75,False
2010-04-15,8,0,18,43,70,False
2010-04-16,7,0,20,43,69,False
2010-04-17,6,0,22,52,83,False
2010-04-18,6,0,21,54,89,False
2010-04-19,7,0,20,48,71,False
2010-04-20,8,0,21,43,72,False
2010-04-21,8,0,20,43,70,False
2010-04-22,7,0,20,44,70,False
2010-04-23,8,0,22,44,71,False
2010-04-24,8,0,20,51,79,False
2010-04-25,7,0,20,52,95,False
2010-04-26,7,0,20,46,71,False
2010-04-27,9,0,22,43,70,False
2010-04-28,8,0,24,46,73,False
2010-04-29,8,0,23,44,68,False
2010-04-30,7,0,25,46,66,False
2010-05-01,6,0,24,50,83,False
2010-05-02,7,0,25,51,89,False
2010-05-03,9,0,29,48,73,False
2010-05-04,6,0,32,44,72,False
2010-05-05,9,0,32,44,71,False
2010-05-06,8,0,36,49,63,False
2010-05-07,7,0,37,49,70,False
2010-05-08,6,0,37,52,83,False
2010-05-09,7,0,28,53,86,False
2010-05-10,7,0,21,47,67,False
2010-05-11,8,0,22,51,73,False
2010-05-12,8,0,20,51,71,False
2010-05-13,7,0,22,53,71,False
2010-05-14,7,0,21,51,66,False
2010-05-15,6,0,23,48,81,False
2010-05-16,8,0,22,53,95,False
2010-05-17,8,0,20,51,73,False
2010-05-18,7,0,22,50,78,False
2010-05-19,8,0,23,52,71,False
2010-05-20,7,0,21,50,72,False
2010-05-21,7,0,21,50,72,False
2010-05-22,7,0,21,51,87,False
2010-05-23,7,0,20,48,93,False
2010-05-24,8,0,21,47,74,False
2010-05-25,7,0,21,50,70,False
2010-05-26,8,0,21,46,70,False
2010-05-27,8,0,20,43,68,False
2010-05-28,7,0,21,45,68,False
2010-05-29,7,0,18,48,80,False
2010-05-30,7,0,17,47,83,False
2010-05-31,7,0,20,47,85,False
2010-06-01,7,0,22,46,73,False
2010-06-02,8,0,23,47,69,False
2010-06-03,8,0,23,44,70,False
2010-06-04,7,0,23,43,65,False
2010-06-05,7,0,20,48,79,False
2010-06-06,7,0,21,47,85,False
2010-06-07,7,0,22,47,73,False
2010-06-08,8,0,21,49,75,False
2010-06-09,7,0,24,45,69,False
2010-06-10,6,0,24,45,67,False
2010-06-11,6,0,21,47,68,False
2010-06-12,7,0,21,44,81,False
2010-06-13,7,0,21,47,84,False
2010-06-14,7,0,23,46,68,False
2010-06-15,7,0,24,46,66,False
2010-06-16,7,0,27,42,70,False
2010-06-17,7,0,25,41,68,False
2010-06-18,6,0,23,46,64,False
2010-06-19,6,0,28,49,76,False
2010-06-20,7,0,25,48,84,False
2010-06-21,6,0,20,45,68,False
2010-06-22,7,0,21,46,68,False
2010-06-23,7,0,22,43,67,False
2010-06-24,7,0,20,44,66,False
2010-06-25,7,0,19,43,66,False
2010-06-26,6,0,19,47,78,False
2010-06-27,7,0,20,51,84,False
2010-06-28,7,0,19,43,73,False
2010-06-29,8,0,19,44,71,False
2010-06-30,7,0,17,46,69,False
2010-07-01,7,0,20,49,68,False
2010-07-02,6,0,19,44,62,False
2010-07-03,8,0,15,43,68,False
2010-07-04,6,0,16,42,70,False
2010-07-05,6,0,16,43,71,False
2010-07-06,7,0,20,42,67,False
2010-07-07,8,0,19,42,64,False
2010-07-08,7,0,21,43,67,False
2010-07-09,7,0,19,42,61,False
2010-07-10,7,0,19,44,70,False
2010-07-11,7,0,18,44,82,False
2010-07-12,8,0,21,44,69,False
2010-07-13,7,0,20,44,68,False
2010-07-14,8,0,19,44,68,False
2010-07-15,7,0,20,43,63,False
2010-07-16,8,0,18,44,59,False
2010-07-17,7,0,16,42,71,False
2010-07-18,8,0,16,43,75,False
2010-07-19,8,0,17,41,63,False
2010-07-20,7,0,18,42,64,False
2010-07-21,7,0,18,44,61,False
2010-07-22,8,0,17,41,63,False
2010-07-23,7,0,17,41,60,False
2010-07-24,6,0,15,44,64,False
2010-07-25,7,0,17,44,73,False
2010-07-26,9,0,17,43,65,False
2010-07-27,8,0,18,41,64,False
2010-07-28,7,0,17,44,63,False
2010-07-29,8,0,17,42,64,False
2010-07-30,7,0,20,43,64,False
2010-07-31,6,0,17,46,66,False
2010-08-01,7,0,17,43,74,False
2010-08-02,7,0,19,47,68,False
2010-08-03,7,0,21,43,64,False
2010-08-04,8,0,18,44,62,False
2010-08-05,8,0,19,39,64,False
2010-08-06,8,0,18,42,60,False
2010-08-07,7,0,18,43,70,False
2010-08-08,7,0,17,44,74,False
2010-08-09,7,0,18,43,68,False
2010-08-10,7,0,18,41,66,False
2010-08-11,7,0,19,39,63,False
2010-08-12,7,0,17,42,62,False
2010-08-13,6,0,18,42,62,False
2010-08-14,7,0,20,43,68,False
2010-08-15,7,0,17,43,71,False
2010-08-16,7,0,19,43,66,False
2010-08-17,7,0,19,43,61,False
2010-08-18,7,0,19,40,64,False
2010-08-19,7,0,19,41,63,False
2010-08-20,6,0,20,42,58,False
2010-08-21,7,0,18,44,64,False
2010-08-22,7,0,17,44,74,False
2010-08-23,7,0,19,44,66,False
2010-08-24,7,0,18,42,66,False
2010-08-25,7,0,19,40,64,False
2010-08-26,8,0,17,42,60,False
2010-08-27,6,0,19,41,61,False
2010-08-28,6,0,16,42,69,False
2010-08-29,7,0,16,42,73,False
2010-08-30,8,0,17,42,64,False
2010-08-31,7,0,17,41,60,False
2010-09-01,8,0,18,42,61,False
2010-09-02,7,0,18,39,61,False
2010-09-03,6,0,18,43,59,False
2010-09-04,6,0,15,43,65,False
2010-09-05,5,0,16,46,75,False
2010-09-06,7,0,15,44,73,False
2010-09-07,7,0,18,42,62,False
2010-09-08,7,0,19,40,61,False
2010-09-09,8,0,19,42,63,False
2010-09-10,8,0,17,42,56,False
2010-09-11,6,0,16,40,69,False
2010-09-12,7,0,15,40,78,False
2010-09-13,7,0,18,40,65,False
2010-09-14,7,0,17,43,58,False
2010-09-15,8,0,17,42,60,False
2010-09-16,7,0,17,43,60,False
2010-09-17,6,0,18,43,60,False
2010-09-18,6,0,17,42,68,False
2010-09-19,7,0,17,43,76,False
2010-09-20,7,0,19,43,68,False
2010-09-21,7,0,19,44,66,False
2010-09-22,7,0,18,42,67,False
2010-09-23,8,0,18,43,64,False
2010-09-24,7,0,18,45,62,False
2010-09-25,7,0,18,44,68,False
2010-09-26,7,0,16,41,72,False
2010-09-27,7,0,18,43,67,False
2010-09-28,8,0,19,45,61,False
2010-09-29,7,0,18,46,64,False
2010-09-30,7,0,20,43,60,False
2010-10-01,7,0,19,43,58,False
2010-10-02,6,0,19,39,68,False
2010-10-03,6,0,17,41,70,False
2010-10-04,7,0,19,42,58,False
2010-10-05,8,0,17,47,62,False
2010-10-06,7,0,19,45,63,False
2010-10-07,8,0,20,46,59,False
2010-10-08,7,0,18,44,57,False
2010-10-09,7,0,16,41,66,False
2010-10-10,5,0,16,42,68,False
2010-10-11,7,0,19,45,65,False
2010-10-12,7,0,19,41,56,False
2010-10-13,8,0,19,43,56,False
2010-10-14,7,0,19,44,59,False
2010-10-15,7,0,19,47,61,False
2010-10-16,7,0,18,44,68,False
2010-10-17,8,0,19,42,72,False
2010-10-18,7,0,18,41,62,False
2010-10-19,7,0,18,43,61,False
