date,partnership,patron,patronage,precious,priceless,isPartial
2005-11-06,43,29,0,63,29,False
2005-11-07,51,32,2,37,35,False
2005-11-08,53,27,2,30,27,False
2005-11-09,64,29,0,41,12,False
2005-11-10,52,12,2,30,32,False
2005-11-11,60,22,0,38,58,False
2005-11-12,35,23,3,61,55,False
2005-11-13,26,37,0,46,17,False
2005-11-14,64,23,0,43,38,False
2005-11-15,59,25,2,44,37,False
2005-11-16,42,20,2,36,41,False
2005-11-17,38,28,0,28,37,False
2005-11-18,62,22,2,37,32,False
2005-11-19,17,31,0,48,46,False
2005-11-20,14,40,0,48,31,False
2005-11-21,61,44,2,37,37,False
2005-11-22,49,21,2,45,35,False
2005-11-23,38,16,0,50,36,False
2005-11-24,19,16,0,41,19,False
2005-11-25,19,56,0,53,22,False
2005-11-26,29,20,0,38,29,False
2005-11-27,42,22,0,50,42,False
2005-11-28,72,22,2,42,28,False
2005-11-29,67,18,2,43,30,False
2005-11-30,61,41,2,36,36,False
2005-12-01,62,18,2,42,44,False
2005-12-02,28,28,2,41,27,False
2005-12-03,29,37,5,29,24,False
2005-12-04,23,31,0,68,21,False
2005-12-05,67,20,2,39,13,False
2005-12-06,64,32,2,36,30,False
2005-12-07,61,21,0,49,26,False
2005-12-08,46,25,0,44,17,False
2005-12-09,48,11,4,57,32,False
2005-12-10,26,29,0,53,21,False
2005-12-11,35,24,0,51,32,False
2005-12-12,42,37,3,43,28,False
2005-12-13,48,21,2,44,36,False
2005-12-14,50,12,2,35,25,False
2005-12-15,48,31,3,54,25,False
2005-12-16,45,17,2,68,32,False
2005-12-17,17,19,0,36,30,False
2005-12-18,20,12,0,49,43,False
2005-12-19,61,31,0,52,34,False
2005-12-20,48,23,2,66,32,False
2005-12-21,51,30,2,49,28,False
2005-12-22,34,26,4,32,52,False
2005-12-23,51,24,0,46,39,False
2005-12-24,34,23,0,30,44,False
2005-12-25,20,25,0,74,16,False
2005-12-26,37,37,0,52,34,False
2005-12-27,37,15,0,39,37,False
2005-12-28,45,22,0,39,33,False
2005-12-29,24,10,0,36,30,False
2005-12-30,44,18,0,38,44,False
2005-12-31,14,29,3,52,23,False
2006-01-01,23,37,3,54,20,False
2006-01-02,41,39,0,62,27,False
2006-01-03,58,21,0,29,26,False
2006-01-04,62,17,2,30,28,False
2006-01-05,49,20,2,27,37,False
2006-01-06,45,31,3,50,33,False
2006-01-07,23,34,0,47,39,False
2006-01-08,45,26,3,52,29,False
2006-01-09,61,20,0,40,38,False
2006-01-10,62,24,2,42,35,False
2006-01-11,57,21,2,44,24,False
2006-01-12,74,15,3,40,31,False
2006-01-13,29,27,3,51,26,False
2006-01-14,37,20,0,57,27,False
2006-01-15,18,18,3,44,29,False
2006-01-16,40,16,2,31,29,False
2006-01-17,65,21,0,36,33,False
2006-01-18,62,13,0,58,33,False
2006-01-19,76,26,0,47,23,False
2006-01-20,53,18,0,57,32,False
2006-01-21,34,17,0,54,29,False
2006-01-22,17,27,0,30,37,False
2006-01-23,61,30,2,48,26,False
2006-01-24,66,20,3,37,31,False
2006-01-25,61,19,0,53,28,False
2006-01-26,73,25,0,73,16,False
2006-01-27,71,25,2,23,31,False
2006-01-28,43,29,2,41,36,False
2006-01-29,31,14,2,43,38,False
2006-01-30,64,20,0,43,26,False
2006-01-31,47,21,0,42,29,False
2006-02-01,54,39,0,40,26,False
2006-02-02,67,25,0,39,36,False
2006-02-03,65,28,5,43,23,False
2006-02-04,28,26,0,35,31,False
2006-02-05,36,21,5,43,26,False
2006-02-06,61,14,0,43,34,False
2006-02-07,80,7,1,46,19,False
2006-02-08,60,21,2,51,26,False
2006-02-09,60,15,0,57,33,False
2006-02-10,64,19,0,30,40,False
2006-02-11,21,35,0,42,42,False
2006-02-12,35,37,0,42,9,False
2006-02-13,72,26,0,32,21,False
2006-02-14,95,21,2,35,24,False
2006-02-15,64,33,2,38,34,False
2006-02-16,70,23,3,40,31,False
