date,boom,breadwinner,buy,capitalize,charitable,isPartial
2012-10-19,2,0,25,0,0,False
2012-10-20,2,0,30,0,0,False
2012-10-21,2,0,31,0,0,False
2012-10-22,1,0,26,0,0,False
2012-10-23,1,0,25,0,0,False
2012-10-24,1,0,25,0,0,False
2012-10-25,1,0,25,0,0,False
2012-10-26,1,0,28,0,0,False
2012-10-27,2,0,31,0,0,False
2012-10-28,2,0,30,0,0,False
2012-10-29,1,0,24,0,0,False
2012-10-30,1,0,24,0,0,False
2012-10-31,1,0,24,0,0,False
2012-11-01,1,0,24,0,0,False
2012-11-02,1,0,27,0,0,False
2012-11-03,1,0,31,0,0,False
2012-11-04,1,0,33,0,0,False
2012-11-05,1,0,26,0,0,False
2012-11-06,1,0,26,0,0,False
2012-11-07,1,0,23,0,0,False
2012-11-08,1,0,28,0,0,False
2012-11-09,1,0,29,0,0,False
2012-11-10,1,0,33,0,0,False
2012-11-11,1,0,36,0,0,False
2012-11-12,1,0,32,0,0,False
2012-11-13,1,0,31,0,0,False
2012-11-14,1,0,31,0,0,False
2012-11-15,1,0,30,0,0,False
2012-11-16,1,0,31,0,0,False
2012-11-17,1,0,39,0,0,False
2012-11-18,1,0,44,0,0,False
2012-11-19,1,0,41,0,0,False
2012-11-20,1,0,43,0,0,False
2012-11-21,1,0,48,0,0,False
2012-11-22,1,0,69,0,0,False
2012-11-23,1,0,100,0,0,False
2012-11-24,1,0,55,0,0,False
2012-11-25,1,0,50,0,0,False
2012-11-26,1,0,55,0,0,False
2012-11-27,1,0,39,0,0,False
2012-11-28,1,0,35,0,0,False
2012-11-29,1,0,32,0,0,False
2012-11-30,1,0,32,0,0,False
2012-12-01,1,0,38,0,0,False
2012-12-02,1,0,39,0,0,False
2012-12-03,1,0,33,0,0,False
2012-12-04,1,0,32,0,0,False
2012-12-05,1,0,31,0,0,False
2012-12-06,1,0,31,0,0,False
2012-12-07,1,0,34,0,0,False
2012-12-08,1,0,39,0,0,False
2012-12-09,1,0,39,0,0,False
2012-12-10,1,0,34,0,0,False
2012-12-11,1,0,33,0,0,False
2012-12-12,1,0,33,0,0,False
2012-12-13,1,0,33,0,0,False
2012-12-14,1,0,36,0,0,False
2012-12-15,1,0,43,0,0,False
2012-12-16,1,0,46,0,0,False
2012-12-17,1,0,38,0,0,False
2012-12-18,1,0,39,0,0,False
2012-12-19,1,0,39,0,0,False
2012-12-20,1,0,39,0,0,False
2012-12-21,1,0,44,0,0,False
2012-12-22,1,0,53,0,0,False
2012-12-23,1,0,52,0,0,False
2012-12-24,1,0,45,0,0,False
2012-12-25,1,0,37,0,0,False
2012-12-26,1,0,48,0,0,False
2012-12-27,1,0,41,0,0,False
2012-12-28,1,0,38,0,0,False
2012-12-29,1,0,38,0,0,False
2012-12-30,1,0,39,0,0,False
2012-12-31,1,0,34,0,0,False
2013-01-01,1,0,32,0,0,False
2013-01-02,1,0,31,0,0,False
2013-01-03,1,0,30,0,0,False
2013-01-04,1,0,30,0,0,False
2013-01-05,1,0,33,0,0,False
2013-01-06,1,0,35,0,0,False
2013-01-07,1,0,27,0,0,False
2013-01-08,1,0,26,0,0,False
2013-01-09,1,0,25,0,0,False
2013-01-10,1,0,26,0,0,False
2013-01-11,1,0,27,0,0,False
2013-01-12,1,0,32,0,0,False
2013-01-13,1,0,34,0,0,False
2013-01-14,1,0,27,0,0,False
2013-01-15,1,0,25,0,0,False
2013-01-16,1,0,26,0,0,False
2013-01-17,1,0,25,0,0,False
2013-01-18,1,0,26,0,0,False
2013-01-19,1,0,32,0,0,False
2013-01-20,1,0,33,0,0,False
2013-01-21,1,0,29,0,0,False
2013-01-22,1,0,26,0,0,False
2013-01-23,1,0,25,0,0,False
2013-01-24,1,0,25,0,0,False
2013-01-25,1,0,26,0,0,False
2013-01-26,1,0,32,0,0,False
2013-01-27,1,0,33,0,0,False
2013-01-28,1,0,26,0,0,False
2013-01-29,1,0,26,0,0,False
2013-01-30,1,0,25,0,0,False
