date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2010-12-15,19,27,2,29,0,False
2010-12-16,18,25,3,26,0,False
2010-12-17,19,25,2,20,0,False
2010-12-18,18,14,1,15,1,False
2010-12-19,21,14,1,10,0,False
2010-12-20,20,25,2,26,0,False
2010-12-21,17,25,3,28,0,False
2010-12-22,18,26,3,23,0,False
2010-12-23,19,29,1,21,0,False
2010-12-24,24,23,1,13,0,False
2010-12-25,19,11,2,9,0,False
2010-12-26,23,15,3,12,0,False
2010-12-27,21,30,2,22,1,False
2010-12-28,20,33,2,28,0,False
2010-12-29,21,33,3,27,0,False
2010-12-30,21,37,3,22,0,False
2010-12-31,20,29,2,17,1,False
2011-01-01,22,23,2,14,1,False
2011-01-02,27,23,3,18,0,False
2011-01-03,19,43,3,34,0,False
2011-01-04,18,39,3,38,0,False
2011-01-05,19,42,3,37,0,False
2011-01-06,19,35,3,34,0,False
2011-01-07,16,36,3,32,0,False
2011-01-08,24,23,3,19,0,False
2011-01-09,23,21,2,18,0,False
2011-01-10,21,31,3,32,0,False
2011-01-11,18,33,2,34,1,False
2011-01-12,20,33,3,31,0,False
2011-01-13,21,34,3,35,0,False
2011-01-14,21,37,3,32,0,False
2011-01-15,26,27,3,20,0,False
2011-01-16,31,24,2,16,0,False
2011-01-17,24,43,2,28,0,False
2011-01-18,22,39,2,33,1,False
2011-01-19,23,37,2,32,0,False
2011-01-20,21,33,2,36,0,False
2011-01-21,25,32,4,36,0,False
2011-01-22,31,23,3,24,0,False
2011-01-23,30,19,3,20,0,False
2011-01-24,22,36,3,35,0,False
2011-01-25,20,34,8,39,0,False
2011-01-26,18,32,5,34,0,False
2011-01-27,18,32,4,34,0,False
2011-01-28,19,32,5,31,0,False
2011-01-29,26,22,4,23,0,False
2011-01-30,26,24,4,19,1,False
2011-01-31,20,37,6,35,1,False
2011-02-01,19,38,6,35,0,False
2011-02-02,18,37,3,34,1,False
2011-02-03,19,41,3,32,0,False
2011-02-04,19,36,3,30,0,False
2011-02-05,21,31,2,19,1,False
2011-02-06,26,26,2,17,0,False
2011-02-07,16,39,3,32,0,False
