date,benevolent,bequeath,betroth,betrothal,bonus,isPartial
2013-01-15,6,1,0,1,75,False
2013-01-16,6,0,0,1,81,False
2013-01-17,7,1,0,1,88,False
2013-01-18,7,1,0,0,77,False
2013-01-19,4,1,0,0,77,False
2013-01-20,3,0,0,0,78,False
2013-01-21,3,1,0,1,62,False
2013-01-22,4,0,0,1,74,False
2013-01-23,4,1,0,1,64,False
2013-01-24,6,1,1,1,66,False
2013-01-25,5,1,0,1,70,False
2013-01-26,4,0,0,0,69,False
2013-01-27,3,1,0,0,75,False
2013-01-28,5,0,1,1,66,False
2013-01-29,6,0,0,0,71,False
2013-01-30,6,1,0,1,84,False
2013-01-31,4,0,0,0,71,False
2013-02-01,10,1,0,0,75,False
2013-02-02,3,1,0,0,71,False
2013-02-03,5,0,0,0,80,False
2013-02-04,6,1,0,1,91,False
2013-02-05,7,1,1,0,77,False
2013-02-06,6,1,0,1,67,False
2013-02-07,5,1,0,1,72,False
2013-02-08,4,1,0,0,61,False
2013-02-09,1,1,0,1,69,False
2013-02-10,4,0,1,1,63,False
2013-02-11,3,2,0,1,60,False
2013-02-12,5,1,0,1,71,False
2013-02-13,2,1,0,1,75,False
2013-02-14,5,0,0,0,62,False
2013-02-15,5,0,0,1,65,False
2013-02-16,4,0,1,0,79,False
2013-02-17,4,1,0,0,67,False
2013-02-18,4,1,0,0,74,False
2013-02-19,4,2,0,0,75,False
2013-02-20,5,1,0,0,73,False
2013-02-21,4,2,0,0,73,False
2013-02-22,6,1,0,0,67,False
2013-02-23,3,1,0,0,68,False
2013-02-24,5,0,0,0,75,False
2013-02-25,7,0,0,1,64,False
2013-02-26,5,2,0,1,78,False
2013-02-27,5,1,0,1,70,False
2013-02-28,7,0,0,0,75,False
2013-03-01,8,0,0,0,62,False
2013-03-02,3,2,0,0,67,False
2013-03-03,4,0,0,0,67,False
2013-03-04,6,1,0,0,71,False
2013-03-05,5,0,0,1,75,False
2013-03-06,5,1,0,0,68,False
2013-03-07,8,2,1,1,78,False
2013-03-08,3,1,0,0,71,False
2013-03-09,5,0,0,1,74,False
2013-03-10,3,1,0,0,58,False
2013-03-11,5,0,0,0,69,False
2013-03-12,6,1,0,0,83,False
2013-03-13,4,1,0,0,78,False
2013-03-14,7,1,0,0,67,False
2013-03-15,6,1,0,1,69,False
2013-03-16,4,0,0,1,66,False
2013-03-17,4,0,0,1,71,False
2013-03-18,4,1,0,1,70,False
2013-03-19,6,1,0,1,65,False
2013-03-20,6,0,0,0,66,False
2013-03-21,4,1,0,1,74,False
2013-03-22,5,1,0,0,81,False
2013-03-23,2,1,0,0,90,False
2013-03-24,2,0,0,1,100,False
2013-03-25,5,1,0,0,71,False
2013-03-26,3,1,0,0,75,False
2013-03-27,6,0,0,0,61,False
2013-03-28,4,1,0,0,71,False
2013-03-29,3,0,0,1,73,False
2013-03-30,2,0,0,0,89,False
2013-03-31,1,0,0,0,90,False
2013-04-01,5,0,0,0,67,False
2013-04-02,2,2,0,0,69,False
2013-04-03,5,1,0,1,78,False
2013-04-04,7,1,1,1,68,False
2013-04-05,5,1,0,0,76,False
2013-04-06,2,1,0,0,76,False
2013-04-07,4,0,0,0,92,False
2013-04-08,5,1,0,0,63,False
2013-04-09,4,0,0,0,82,False
2013-04-10,4,1,0,3,60,False
2013-04-11,9,0,0,1,62,False
2013-04-12,3,1,0,1,67,False
2013-04-13,3,0,0,1,66,False
2013-04-14,4,1,0,0,65,False
2013-04-15,4,1,0,1,61,False
2013-04-16,7,1,0,1,63,False
2013-04-17,5,1,0,1,68,False
2013-04-18,4,1,0,2,62,False
2013-04-19,4,1,0,1,55,False
2013-04-20,3,0,0,1,57,False
2013-04-21,4,1,0,0,60,False
2013-04-22,6,0,0,1,55,False
2013-04-23,5,1,0,2,66,False
2013-04-24,4,1,0,0,56,False
2013-04-25,7,1,0,0,54,False
2013-04-26,5,0,0,0,61,False
2013-04-27,2,1,0,0,66,False
2013-04-28,2,0,0,0,63,False
2013-04-29,2,1,0,0,62,False
2013-04-30,6,1,0,0,61,False
2013-05-01,7,1,0,0,59,False
2013-05-02,5,2,0,0,63,False
2013-05-03,5,1,0,0,61,False
2013-05-04,3,0,0,0,64,False
2013-05-05,5,0,0,1,65,False
2013-05-06,4,1,0,0,59,False
2013-05-07,5,1,0,2,60,False
2013-05-08,4,0,1,0,70,False
2013-05-09,5,2,0,1,52,False
2013-05-10,3,1,0,0,57,False
2013-05-11,1,0,0,0,65,False
2013-05-12,5,1,0,1,64,False
2013-05-13,4,1,0,0,49,False
2013-05-14,5,0,0,0,61,False
2013-05-15,4,1,1,0,60,False
2013-05-16,5,1,0,0,64,False
2013-05-17,3,0,0,0,59,False
2013-05-18,4,1,0,1,64,False
2013-05-19,3,0,0,0,62,False
2013-05-20,5,1,0,1,55,False
2013-05-21,7,0,0,1,52,False
2013-05-22,6,1,0,1,58,False
2013-05-23,4,1,0,0,60,False
2013-05-24,2,1,0,1,63,False
2013-05-25,3,0,0,0,69,False
2013-05-26,1,1,0,0,63,False
2013-05-27,3,0,0,1,69,False
2013-05-28,3,1,0,0,48,False
2013-05-29,3,1,0,0,64,False
2013-05-30,5,1,0,0,63,False
2013-05-31,3,1,0,0,61,False
2013-06-01,3,1,0,0,61,False
2013-06-02,6,1,0,0,64,False
2013-06-03,3,1,0,1,60,False
2013-06-04,4,1,0,1,57,False
2013-06-05,3,1,0,1,52,False
2013-06-06,3,1,0,0,57,False
2013-06-07,4,0,0,1,70,False
2013-06-08,1,0,0,0,66,False
2013-06-09,4,1,0,0,61,False
2013-06-10,5,1,0,0,53,False
2013-06-11,4,0,0,0,62,False
2013-06-12,3,1,0,0,71,False
2013-06-13,4,1,0,0,62,False
2013-06-14,3,1,1,1,71,False
2013-06-15,1,1,0,1,57,False
2013-06-16,1,0,0,0,61,False
2013-06-17,5,1,0,0,64,False
2013-06-18,2,0,0,0,69,False
2013-06-19,5,1,0,1,67,False
2013-06-20,3,1,0,0,60,False
2013-06-21,3,1,0,0,67,False
2013-06-22,4,0,0,0,73,False
2013-06-23,3,0,0,0,70,False
2013-06-24,2,0,0,0,56,False
2013-06-25,3,1,0,0,65,False
2013-06-26,5,1,0,0,67,False
2013-06-27,4,0,0,0,57,False
2013-06-28,4,0,0,1,64,False
2013-06-29,2,0,1,0,56,False
2013-06-30,3,0,0,0,53,False
2013-07-01,3,0,0,0,57,False
2013-07-02,3,0,0,0,67,False
2013-07-03,2,1,0,0,66,False
2013-07-04,1,0,0,0,60,False
2013-07-05,3,0,0,0,58,False
2013-07-06,2,1,0,0,58,False
2013-07-07,1,0,0,0,66,False
2013-07-08,2,1,0,0,53,False
2013-07-09,2,1,0,0,65,False
2013-07-10,6,1,0,1,61,False
2013-07-11,4,1,0,0,64,False
2013-07-12,6,1,0,0,73,False
2013-07-13,2,1,0,0,68,False
2013-07-14,2,1,0,0,61,False
2013-07-15,4,0,0,1,64,False
2013-07-16,2,0,0,0,65,False
2013-07-17,4,1,1,1,65,False
2013-07-18,4,1,0,1,58,False
2013-07-19,3,1,0,0,56,False
2013-07-20,2,1,0,0,63,False
2013-07-21,4,1,0,0,57,False
2013-07-22,3,0,1,1,59,False
2013-07-23,4,1,0,0,63,False
2013-07-24,4,0,0,0,59,False
2013-07-25,5,0,0,0,61,False
2013-07-26,3,1,0,1,68,False
2013-07-27,2,0,0,0,57,False
2013-07-28,4,0,0,0,66,False
2013-07-29,3,0,0,0,64,False
2013-07-30,2,1,0,1,74,False
2013-07-31,3,1,0,1,72,False
2013-08-01,2,1,0,1,69,False
2013-08-02,3,0,0,1,67,False
2013-08-03,2,0,0,0,72,False
2013-08-04,4,2,0,0,66,False
2013-08-05,4,0,0,0,70,False
2013-08-06,3,1,0,0,70,False
2013-08-07,4,1,0,1,58,False
2013-08-08,2,0,0,0,63,False
2013-08-09,4,0,0,0,65,False
2013-08-10,2,0,0,1,66,False
2013-08-11,4,0,0,0,59,False
2013-08-12,4,1,0,1,64,False
2013-08-13,4,0,0,1,64,False
