date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2016-07-08,0,1,65,35,15,False
2016-07-09,1,1,42,34,8,False
2016-07-10,0,1,43,69,7,False
2016-07-11,1,2,75,46,7,False
2016-07-12,1,1,81,34,6,False
2016-07-13,0,2,76,43,7,False
2016-07-14,1,2,77,42,9,False
2016-07-15,0,2,66,38,8,False
2016-07-16,1,0,41,34,7,False
2016-07-17,1,1,46,62,6,False
2016-07-18,0,3,75,41,5,False
2016-07-19,1,3,77,40,7,False
2016-07-20,0,2,74,43,8,False
2016-07-21,1,2,74,41,7,False
2016-07-22,1,2,68,36,8,False
2016-07-23,0,2,37,38,9,False
2016-07-24,1,1,37,57,10,False
2016-07-25,0,1,71,41,6,False
2016-07-26,1,1,74,40,9,False
2016-07-27,1,1,77,41,8,False
2016-07-28,0,1,78,36,9,False
2016-07-29,0,1,69,40,8,False
2016-07-30,0,1,50,40,10,False
2016-07-31,0,2,50,64,7,False
2016-08-01,1,2,80,44,8,False
2016-08-02,1,2,87,44,8,False
2016-08-03,1,2,84,43,9,False
2016-08-04,1,2,79,40,8,False
2016-08-05,1,1,67,39,7,False
2016-08-06,0,0,45,26,6,False
2016-08-07,0,1,42,56,6,False
2016-08-08,0,1,74,43,8,False
2016-08-09,0,2,76,42,5,False
2016-08-10,0,1,69,40,7,False
2016-08-11,1,2,77,44,5,False
2016-08-12,0,1,60,37,6,False
2016-08-13,1,2,47,35,7,False
2016-08-14,0,0,44,59,8,False
2016-08-15,1,2,68,41,6,False
2016-08-16,1,2,74,42,9,False
2016-08-17,0,3,67,40,7,False
2016-08-18,1,1,75,36,10,False
2016-08-19,1,1,64,40,7,False
2016-08-20,0,1,44,33,8,False
2016-08-21,1,1,43,65,5,False
2016-08-22,0,2,72,48,6,False
2016-08-23,1,3,77,48,7,False
2016-08-24,1,2,85,44,7,False
2016-08-25,1,3,84,41,9,False
2016-08-26,0,2,80,44,6,False
2016-08-27,1,2,64,39,8,False
2016-08-28,0,1,62,60,6,False
2016-08-29,1,2,80,43,9,False
2016-08-30,1,4,86,44,6,False
2016-08-31,0,4,81,46,8,False
2016-09-01,0,4,95,44,6,False
2016-09-02,0,3,73,39,9,False
2016-09-03,1,2,62,34,9,False
2016-09-04,0,2,58,63,7,False
