date,advantage,affluence,affluent,afloat,allowance,isPartial
2008-08-18,73,0,0,1,14,False
2008-08-19,74,1,1,1,14,False
2008-08-20,73,0,0,1,18,False
2008-08-21,79,0,3,0,10,False
2008-08-22,75,0,0,1,11,False
2008-08-23,59,1,0,0,10,False
2008-08-24,56,1,0,1,7,False
2008-08-25,72,0,2,2,13,False
2008-08-26,76,0,1,2,12,False
2008-08-27,74,1,6,0,11,False
2008-08-28,75,0,4,1,13,False
2008-08-29,70,1,2,1,6,False
2008-08-30,55,1,0,0,7,False
2008-08-31,58,0,1,1,9,False
2008-09-01,49,1,1,2,10,False
2008-09-02,87,0,0,0,14,False
2008-09-03,79,0,1,0,12,False
2008-09-04,78,0,1,0,14,False
2008-09-05,75,0,2,0,12,False
2008-09-06,55,0,1,2,4,False
2008-09-07,56,0,1,1,13,False
2008-09-08,77,0,2,2,14,False
2008-09-09,72,0,2,1,12,False
2008-09-10,78,0,0,2,11,False
2008-09-11,79,0,1,4,13,False
2008-09-12,80,1,0,0,10,False
2008-09-13,58,1,0,3,6,False
2008-09-14,48,0,1,1,7,False
2008-09-15,84,0,0,0,13,False
2008-09-16,81,0,1,1,12,False
2008-09-17,85,1,1,0,12,False
2008-09-18,82,0,2,1,12,False
2008-09-19,77,0,1,1,13,False
2008-09-20,50,1,0,1,4,False
2008-09-21,49,0,2,1,8,False
2008-09-22,87,0,2,1,10,False
2008-09-23,70,0,2,0,11,False
2008-09-24,79,2,3,1,13,False
2008-09-25,80,0,1,1,10,False
2008-09-26,72,0,0,0,17,False
2008-09-27,50,0,0,0,7,False
2008-09-28,56,1,1,0,6,False
2008-09-29,77,1,2,0,15,False
2008-09-30,88,0,3,1,16,False
2008-10-01,79,0,2,3,14,False
2008-10-02,79,0,5,0,15,False
2008-10-03,68,0,2,1,13,False
2008-10-04,63,0,1,0,14,False
2008-10-05,57,1,0,0,10,False
2008-10-06,79,0,1,1,14,False
2008-10-07,74,1,1,1,14,False
2008-10-08,79,0,1,2,10,False
2008-10-09,64,1,2,0,13,False
2008-10-10,66,0,2,0,10,False
2008-10-11,54,1,2,0,9,False
2008-10-12,52,0,1,0,9,False
2008-10-13,71,0,3,0,10,False
2008-10-14,85,0,2,0,15,False
2008-10-15,74,1,2,0,13,False
2008-10-16,66,0,3,1,11,False
2008-10-17,66,0,2,0,11,False
2008-10-18,51,0,0,1,13,False
2008-10-19,38,1,1,1,10,False
2008-10-20,67,0,1,0,16,False
