date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2016-07-08,8,29,1,13,0,False
2016-07-09,10,20,1,9,0,False
2016-07-10,10,18,2,8,0,False
2016-07-11,9,32,1,16,0,False
2016-07-12,8,27,2,15,1,False
2016-07-13,8,27,1,16,0,False
2016-07-14,8,25,2,16,0,False
2016-07-15,10,25,1,13,0,False
2016-07-16,9,22,1,9,0,False
2016-07-17,9,18,1,9,0,False
2016-07-18,9,29,2,16,1,False
2016-07-19,8,26,1,16,1,False
2016-07-20,8,25,2,15,0,False
2016-07-21,10,27,2,16,0,False
2016-07-22,10,24,2,15,0,False
2016-07-23,10,19,1,10,0,False
2016-07-24,9,16,1,9,0,False
2016-07-25,9,27,2,14,0,False
2016-07-26,9,26,2,16,0,False
2016-07-27,8,25,2,17,0,False
2016-07-28,10,24,1,18,0,False
2016-07-29,9,25,2,15,0,False
2016-07-30,11,20,2,9,0,False
2016-07-31,11,17,2,10,0,False
2016-08-01,9,32,2,15,0,False
2016-08-02,9,30,2,16,0,False
2016-08-03,9,28,1,17,0,False
2016-08-04,10,24,1,14,0,False
2016-08-05,9,26,1,14,0,False
2016-08-06,9,20,1,8,0,False
2016-08-07,10,18,1,8,0,False
2016-08-08,7,25,2,15,0,False
2016-08-09,8,26,2,17,0,False
2016-08-10,7,25,1,14,0,False
2016-08-11,8,23,1,14,0,False
2016-08-12,9,23,2,13,0,False
2016-08-13,10,19,1,9,0,False
2016-08-14,10,14,1,7,0,False
2016-08-15,9,25,1,16,0,False
2016-08-16,13,24,1,14,0,False
2016-08-17,13,25,1,15,0,False
2016-08-18,12,23,1,14,0,False
2016-08-19,11,25,1,12,0,False
2016-08-20,11,19,1,8,0,False
2016-08-21,12,15,1,8,1,False
2016-08-22,10,30,1,15,0,False
2016-08-23,9,27,2,15,1,False
2016-08-24,9,23,1,14,0,False
2016-08-25,9,27,2,14,0,False
2016-08-26,8,25,1,13,0,False
2016-08-27,10,17,1,8,0,False
2016-08-28,11,17,1,8,0,False
2016-08-29,9,26,1,15,0,False
2016-08-30,9,28,1,14,0,False
2016-08-31,9,24,2,16,1,False
2016-09-01,10,25,2,17,0,False
2016-09-02,16,26,2,14,0,False
2016-09-03,21,21,1,8,1,False
2016-09-04,21,22,1,7,0,False
2016-09-05,20,28,2,8,0,False
2016-09-06,15,37,2,15,0,False
2016-09-07,14,35,2,17,0,False
2016-09-08,15,31,1,16,0,False
2016-09-09,12,30,2,14,0,False
2016-09-10,14,21,2,10,0,False
2016-09-11,13,16,1,8,1,False
2016-09-12,11,31,2,18,0,False
2016-09-13,11,28,2,16,0,False
2016-09-14,9,26,1,17,0,False
2016-09-15,10,26,2,17,0,False
2016-09-16,12,27,1,14,1,False
2016-09-17,13,20,2,9,1,False
2016-09-18,13,17,1,9,0,False
2016-09-19,12,27,2,14,0,False
2016-09-20,12,27,2,15,0,False
2016-09-21,11,25,1,14,0,False
2016-09-22,10,26,1,14,0,False
2016-09-23,10,24,1,14,0,False
2016-09-24,11,18,1,8,0,False
2016-09-25,11,15,1,8,0,False
2016-09-26,10,28,2,14,0,False
2016-09-27,10,27,3,16,0,False
2016-09-28,11,27,2,16,1,False
2016-09-29,11,29,2,14,0,False
2016-09-30,12,23,2,13,0,False
2016-10-01,13,19,1,8,0,False
2016-10-02,14,17,2,8,0,False
2016-10-03,15,28,2,15,0,False
2016-10-04,16,29,2,15,1,False
2016-10-05,17,30,2,16,0,False
2016-10-06,16,27,2,13,0,False
2016-10-07,15,26,2,11,0,False
2016-10-08,16,21,2,8,0,False
2016-10-09,19,18,1,8,0,False
2016-10-10,15,32,2,13,0,False
2016-10-11,15,29,2,15,0,False
2016-10-12,17,30,2,15,0,False
2016-10-13,23,27,1,14,0,False
2016-10-14,53,27,1,12,0,False
2016-10-15,45,17,2,8,0,False
2016-10-16,35,16,1,8,0,False
2016-10-17,28,29,2,14,0,False
2016-10-18,22,27,2,15,1,False
2016-10-19,22,29,2,15,0,False
2016-10-20,28,27,2,13,0,False
2016-10-21,40,25,2,12,0,False
2016-10-22,39,17,1,7,0,False
2016-10-23,31,17,1,8,0,False
2016-10-24,26,30,2,15,0,False
2016-10-25,20,29,2,15,0,False
2016-10-26,20,28,1,12,0,False
2016-10-27,19,27,1,12,0,False
2016-10-28,18,23,1,11,0,False
2016-10-29,22,18,1,8,1,False
2016-10-30,26,16,1,7,0,False
2016-10-31,23,28,2,13,0,False
2016-11-01,29,29,1,14,0,False
2016-11-02,32,27,1,14,0,False
2016-11-03,52,25,3,13,1,False
2016-11-04,100,26,3,13,0,False
2016-11-05,97,20,2,8,0,False
2016-11-06,79,18,1,7,0,False
2016-11-07,57,29,2,14,0,False
2016-11-08,45,28,2,14,0,False
2016-11-09,28,19,3,12,0,False
2016-11-10,38,28,3,15,0,False
2016-11-11,42,28,2,13,1,False
2016-11-12,47,21,1,8,0,False
2016-11-13,45,17,2,9,0,False
2016-11-14,31,29,2,14,1,False
2016-11-15,31,29,2,17,0,False
2016-11-16,26,27,2,14,0,False
2016-11-17,28,26,2,13,0,False
2016-11-18,26,26,2,13,0,False
2016-11-19,34,21,1,8,1,False
2016-11-20,37,17,1,7,0,False
2016-11-21,28,29,1,13,0,False
2016-11-22,29,28,2,12,0,False
2016-11-23,30,28,1,11,0,False
2016-11-24,40,19,1,6,0,False
2016-11-25,51,30,1,7,0,False
2016-11-26,38,21,1,7,0,False
2016-11-27,34,17,1,8,1,False
2016-11-28,29,29,2,13,0,False
2016-11-29,26,27,1,13,0,False
2016-11-30,24,29,1,14,1,False
2016-12-01,24,29,1,15,0,False
2016-12-02,25,25,1,12,1,False
2016-12-03,28,19,1,9,1,False
2016-12-04,29,17,1,7,0,False
2016-12-05,22,29,1,12,0,False
2016-12-06,20,29,2,12,0,False
2016-12-07,19,29,2,13,0,False
2016-12-08,21,23,1,14,1,False
2016-12-09,21,24,1,11,0,False
2016-12-10,27,17,1,7,0,False
2016-12-11,26,15,1,6,0,False
2016-12-12,23,27,1,13,0,False
2016-12-13,28,28,2,14,1,False
2016-12-14,29,24,1,12,0,False
2016-12-15,24,23,1,13,0,False
2016-12-16,26,23,1,11,0,False
2016-12-17,28,17,1,7,0,False
2016-12-18,30,13,1,7,0,False
2016-12-19,25,23,1,11,0,False
2016-12-20,24,24,1,12,0,False
2016-12-21,23,24,2,11,0,False
2016-12-22,23,24,1,12,0,False
2016-12-23,25,22,1,8,0,False
2016-12-24,27,15,1,5,0,False
2016-12-25,37,14,1,4,0,False
2016-12-26,40,47,1,7,0,False
2016-12-27,28,37,1,12,0,False
2016-12-28,28,37,1,13,0,False
2016-12-29,25,34,1,13,0,False
2016-12-30,25,31,1,11,0,False
2016-12-31,25,21,1,7,0,False
2017-01-01,27,17,1,7,0,False
2017-01-02,23,37,1,8,0,False
2017-01-03,20,32,1,14,0,False
2017-01-04,18,32,2,14,1,False
2017-01-05,18,31,2,14,0,False
2017-01-06,18,28,2,13,0,False
2017-01-07,22,19,1,8,0,False
2017-01-08,21,17,1,7,0,False
2017-01-09,17,29,2,15,0,False
2017-01-10,15,30,2,15,0,False
2017-01-11,18,28,1,14,0,False
2017-01-12,16,28,1,14,0,False
2017-01-13,18,34,1,14,0,False
2017-01-14,22,23,1,9,0,False
2017-01-15,22,22,1,8,0,False
2017-01-16,17,37,1,10,1,False
2017-01-17,16,35,1,14,0,False
2017-01-18,15,34,1,14,0,False
2017-01-19,16,30,2,14,1,False
2017-01-20,15,26,1,14,0,False
2017-01-21,19,21,1,9,0,False
2017-01-22,19,16,1,8,1,False
2017-01-23,15,27,2,14,0,False
2017-01-24,15,30,2,15,0,False
2017-01-25,14,29,2,15,0,False
2017-01-26,14,27,2,15,0,False
2017-01-27,17,25,1,15,0,False
2017-01-28,21,21,1,10,0,False
2017-01-29,19,19,2,9,0,False
2017-01-30,18,32,1,14,0,False
2017-01-31,20,34,2,15,0,False
2017-02-01,17,38,2,15,0,False
2017-02-02,17,40,2,15,0,False
2017-02-03,15,38,1,14,1,False
2017-02-04,25,39,1,8,0,False
2017-02-05,18,35,1,7,0,False
2017-02-06,14,37,2,13,0,False
2017-02-07,16,29,2,16,0,False
2017-02-08,18,27,2,14,0,False
2017-02-09,15,29,2,13,0,False
2017-02-10,15,27,2,12,0,False
2017-02-11,16,18,2,9,0,False
2017-02-12,20,17,1,8,0,False
2017-02-13,15,26,2,14,0,False
2017-02-14,15,26,2,13,0,False
2017-02-15,15,25,2,16,0,False
2017-02-16,14,27,1,15,1,False
2017-02-17,16,24,1,13,1,False
2017-02-18,16,19,1,9,0,False
2017-02-19,17,19,1,8,0,False
2017-02-20,23,33,1,14,0,False
2017-02-21,15,31,2,16,0,False
2017-02-22,15,29,2,15,0,False
2017-02-23,15,29,2,17,1,False
2017-02-24,15,26,2,13,1,False
2017-02-25,19,18,1,9,0,False
2017-02-26,18,17,1,9,0,False
2017-02-27,14,28,2,14,0,False
2017-02-28,16,28,1,13,0,False
2017-03-01,15,29,2,15,0,False
2017-03-02,15,27,2,15,1,False
