date,blackmail,bribe,bum,commoner,corrupt,isPartial
2014-06-07,17,4,79,3,25,False
2014-06-08,10,7,67,3,26,False
2014-06-09,14,6,64,4,43,False
2014-06-10,18,8,62,3,39,False
2014-06-11,15,3,64,1,44,False
2014-06-12,22,3,62,0,44,False
2014-06-13,14,4,63,1,35,False
2014-06-14,15,5,66,1,32,False
2014-06-15,21,5,72,2,35,False
2014-06-16,16,7,74,0,48,False
2014-06-17,9,11,69,1,45,False
2014-06-18,19,6,69,1,41,False
2014-06-19,11,8,78,1,46,False
2014-06-20,18,6,77,0,40,False
2014-06-21,15,8,71,8,26,False
2014-06-22,20,6,65,3,26,False
2014-06-23,16,7,57,0,30,False
2014-06-24,13,3,61,1,45,False
2014-06-25,19,4,77,1,41,False
2014-06-26,21,7,68,1,40,False
2014-06-27,19,5,67,0,46,False
2014-06-28,18,4,75,1,24,False
2014-06-29,21,5,67,0,22,False
2014-06-30,16,5,85,0,34,False
2014-07-01,14,4,75,0,32,False
2014-07-02,13,4,68,0,31,False
2014-07-03,20,7,75,0,44,False
2014-07-04,27,6,92,2,29,False
2014-07-05,20,5,87,0,32,False
2014-07-06,18,12,87,3,34,False
2014-07-07,18,1,73,2,41,False
2014-07-08,19,6,78,1,42,False
2014-07-09,12,7,83,1,42,False
2014-07-10,17,7,60,1,41,False
2014-07-11,15,4,67,2,33,False
2014-07-12,22,6,64,2,27,False
2014-07-13,23,4,61,1,28,False
2014-07-14,25,4,67,1,43,False
2014-07-15,15,3,56,1,36,False
2014-07-16,17,6,78,0,31,False
2014-07-17,14,6,76,0,31,False
2014-07-18,15,3,67,1,30,False
2014-07-19,22,12,64,2,37,False
2014-07-20,20,6,78,1,25,False
2014-07-21,21,5,69,1,34,False
2014-07-22,16,7,71,2,37,False
2014-07-23,14,6,61,1,45,False
2014-07-24,18,5,57,2,25,False
2014-07-25,15,1,58,3,35,False
2014-07-26,15,7,84,1,37,False
2014-07-27,19,7,87,0,30,False
2014-07-28,18,7,67,1,33,False
2014-07-29,15,6,57,0,31,False
2014-07-30,14,5,61,2,36,False
2014-07-31,13,5,68,1,40,False
2014-08-01,16,3,59,2,28,False
2014-08-02,17,4,66,0,27,False
2014-08-03,25,8,83,1,29,False
2014-08-04,22,8,59,1,38,False
2014-08-05,20,3,64,1,29,False
2014-08-06,22,7,51,1,30,False
2014-08-07,18,4,60,1,43,False
2014-08-08,19,4,56,2,29,False
2014-08-09,26,5,71,0,30,False
2014-08-10,25,2,75,2,43,False
2014-08-11,18,3,58,0,39,False
2014-08-12,16,6,60,1,37,False
2014-08-13,18,6,51,1,34,False
2014-08-14,19,6,57,2,43,False
2014-08-15,15,6,70,1,38,False
2014-08-16,26,6,70,1,24,False
2014-08-17,25,6,71,0,31,False
2014-08-18,17,6,89,0,38,False
2014-08-19,15,6,100,1,35,False
2014-08-20,16,3,81,1,37,False
2014-08-21,16,1,64,1,29,False
2014-08-22,18,6,50,1,38,False
2014-08-23,14,7,60,1,22,False
2014-08-24,24,4,66,1,28,False
2014-08-25,18,6,61,0,29,False
2014-08-26,16,3,61,1,31,False
2014-08-27,15,3,48,1,34,False
2014-08-28,23,8,49,1,42,False
2014-08-29,22,3,48,0,40,False
2014-08-30,22,1,68,1,28,False
2014-08-31,18,3,70,2,31,False
2014-09-01,22,6,69,3,31,False
2014-09-02,20,4,57,1,27,False
2014-09-03,17,7,53,2,42,False
2014-09-04,17,5,58,1,39,False
2014-09-05,14,3,60,0,33,False
2014-09-06,22,6,69,2,25,False
2014-09-07,23,7,66,2,32,False
2014-09-08,18,5,44,0,37,False
2014-09-09,12,4,53,1,32,False
2014-09-10,17,9,53,3,27,False
2014-09-11,18,5,54,0,27,False
2014-09-12,18,9,53,0,36,False
2014-09-13,22,7,58,0,36,False
2014-09-14,20,7,65,0,35,False
2014-09-15,20,3,52,1,41,False
2014-09-16,21,2,59,0,43,False
2014-09-17,16,6,51,0,39,False
2014-09-18,13,7,50,2,61,False
2014-09-19,16,5,49,1,45,False
2014-09-20,17,3,64,3,37,False
2014-09-21,17,7,54,1,26,False
2014-09-22,16,5,43,1,49,False
2014-09-23,16,6,52,1,43,False
2014-09-24,21,7,49,3,39,False
2014-09-25,22,3,52,1,38,False
2014-09-26,17,3,46,3,36,False
2014-09-27,21,6,61,3,27,False
2014-09-28,24,8,56,2,38,False
2014-09-29,16,3,46,3,53,False
2014-09-30,18,5,51,1,53,False
2014-10-01,16,5,70,3,34,False
2014-10-02,15,7,58,3,53,False
2014-10-03,15,2,54,2,47,False
2014-10-04,14,6,57,2,36,False
2014-10-05,18,2,60,2,32,False
2014-10-06,14,7,49,3,43,False
2014-10-07,21,4,50,1,36,False
2014-10-08,17,6,43,0,38,False
2014-10-09,9,7,47,1,43,False
2014-10-10,18,5,46,0,40,False
2014-10-11,15,4,61,2,29,False
2014-10-12,20,3,63,1,29,False
2014-10-13,19,5,54,2,33,False
2014-10-14,22,5,55,3,49,False
2014-10-15,25,3,50,1,44,False
2014-10-16,15,6,55,1,44,False
2014-10-17,18,3,69,2,41,False
2014-10-18,17,5,62,0,32,False
2014-10-19,17,7,67,1,30,False
2014-10-20,20,7,56,1,41,False
2014-10-21,15,6,58,1,50,False
2014-10-22,30,4,55,2,39,False
2014-10-23,20,3,54,1,44,False
2014-10-24,19,6,47,1,37,False
2014-10-25,25,6,55,0,31,False
2014-10-26,21,5,63,1,38,False
2014-10-27,27,3,62,1,52,False
2014-10-28,16,9,55,2,44,False
2014-10-29,21,5,74,1,48,False
2014-10-30,21,5,89,0,61,False
2014-10-31,17,11,95,1,43,False
2014-11-01,16,5,61,0,29,False
2014-11-02,19,3,65,2,32,False
2014-11-03,18,4,61,1,43,False
2014-11-04,17,6,81,1,59,False
2014-11-05,18,9,59,1,59,False
2014-11-06,11,7,56,3,42,False
2014-11-07,15,9,63,0,42,False
2014-11-08,22,9,72,0,37,False
2014-11-09,27,3,61,1,31,False
2014-11-10,24,8,59,0,33,False
2014-11-11,15,5,64,1,42,False
2014-11-12,23,7,70,3,52,False
2014-11-13,11,9,62,2,46,False
2014-11-14,17,7,71,1,47,False
2014-11-15,17,6,63,2,29,False
2014-11-16,19,6,61,0,36,False
2014-11-17,18,4,59,1,45,False
2014-11-18,22,5,61,1,44,False
2014-11-19,20,7,59,1,50,False
2014-11-20,17,3,55,3,46,False
2014-11-21,19,3,58,1,36,False
2014-11-22,20,3,65,1,32,False
2014-11-23,19,3,68,2,37,False
2014-11-24,15,6,56,2,39,False
2014-11-25,19,7,57,0,55,False
2014-11-26,17,6,57,0,29,False
2014-11-27,18,5,57,2,30,False
2014-11-28,19,6,67,1,25,False
2014-11-29,12,6,65,1,28,False
2014-11-30,26,6,51,2,30,False
2014-12-01,25,4,53,2,39,False
2014-12-02,16,7,53,0,39,False
2014-12-03,12,9,56,2,48,False
2014-12-04,14,6,60,1,57,False
2014-12-05,21,7,75,0,43,False
2014-12-06,26,5,72,0,32,False
2014-12-07,20,8,64,2,38,False
2014-12-08,19,4,49,2,38,False
2014-12-09,20,7,47,0,47,False
2014-12-10,26,6,58,2,45,False
2014-12-11,14,5,63,2,47,False
2014-12-12,24,2,52,3,40,False
2014-12-13,22,7,74,2,27,False
2014-12-14,23,6,62,2,32,False
2014-12-15,12,7,63,0,42,False
2014-12-16,15,3,57,5,44,False
2014-12-17,24,5,58,2,46,False
2014-12-18,18,8,63,3,46,False
2014-12-19,28,2,64,1,41,False
2014-12-20,17,3,69,1,28,False
2014-12-21,24,8,60,1,27,False
2014-12-22,14,6,61,1,33,False
2014-12-23,19,2,64,1,32,False
2014-12-24,27,7,68,2,23,False
2014-12-25,17,8,62,0,34,False
2014-12-26,18,5,58,1,27,False
2014-12-27,25,7,64,0,26,False
2014-12-28,20,8,62,3,27,False
2014-12-29,19,6,56,0,33,False
2014-12-30,22,4,61,1,40,False
2014-12-31,23,5,73,0,20,False
2015-01-01,19,4,65,2,36,False
2015-01-02,23,5,56,0,31,False
2015-01-03,23,10,73,1,35,False
2015-01-04,23,5,57,2,31,False
2015-01-05,21,5,56,1,42,False
2015-01-06,15,5,59,1,54,False
2015-01-07,17,5,70,0,38,False
2015-01-08,20,3,73,3,34,False
2015-01-09,17,4,74,2,38,False
2015-01-10,20,4,69,1,31,False
2015-01-11,17,5,71,3,34,False
2015-01-12,30,4,62,1,34,False
2015-01-13,15,6,47,1,41,False
2015-01-14,16,7,65,1,41,False
2015-01-15,20,7,66,2,44,False
2015-01-16,11,3,59,0,40,False
2015-01-17,20,6,62,0,19,False
2015-01-18,31,6,61,2,27,False
2015-01-19,22,7,71,3,34,False
2015-01-20,24,5,58,6,29,False
2015-01-21,18,4,59,1,37,False
2015-01-22,13,5,58,5,30,False
2015-01-23,22,3,71,2,35,False
2015-01-24,20,7,57,4,26,False
2015-01-25,22,2,75,6,37,False
2015-01-26,22,4,64,1,33,False
2015-01-27,16,4,54,3,35,False
2015-01-28,20,3,63,4,33,False
2015-01-29,16,6,49,4,37,False
2015-01-30,24,4,64,3,40,False
2015-01-31,21,5,66,2,29,False
2015-02-01,23,4,71,2,27,False
2015-02-02,16,7,55,4,33,False
2015-02-03,17,5,51,1,44,False
2015-02-04,21,3,57,2,46,False
2015-02-05,16,7,62,2,33,False
2015-02-06,18,8,71,5,52,False
2015-02-07,20,9,74,1,25,False
2015-02-08,22,3,80,2,33,False
2015-02-09,20,8,55,3,33,False
2015-02-10,23,7,62,2,46,False
2015-02-11,20,6,64,2,48,False
2015-02-12,13,6,65,4,41,False
2015-02-13,20,7,69,4,42,False
2015-02-14,30,5,70,2,34,False
2015-02-15,21,3,71,3,23,False
2015-02-16,20,3,63,2,37,False
2015-02-17,21,3,60,1,39,False
2015-02-18,21,7,51,1,43,False
2015-02-19,20,4,46,4,44,False
2015-02-20,16,5,71,1,42,False
2015-02-21,19,5,71,1,33,False
2015-02-22,22,6,79,1,37,False
2015-02-23,15,5,59,2,45,False
2015-02-24,20,6,59,2,42,False
2015-02-25,16,4,49,2,38,False
2015-02-26,15,7,53,4,39,False
2015-02-27,20,7,44,0,44,False
2015-02-28,20,5,66,2,34,False
2015-03-01,23,2,81,2,34,False
2015-03-02,21,7,65,2,45,False
2015-03-03,18,6,59,2,52,False
