date,partnership,patron,patronage,precious,priceless,isPartial
2006-10-13,73,25,7,43,34,False
2006-10-14,40,24,3,58,29,False
2006-10-15,33,44,3,64,28,False
2006-10-16,58,56,0,39,29,False
2006-10-17,56,38,0,40,40,False
2006-10-18,98,40,3,48,42,False
2006-10-19,70,33,5,55,40,False
2006-10-20,49,30,4,35,35,False
2006-10-21,39,34,0,42,31,False
2006-10-22,33,45,0,38,30,False
2006-10-23,68,52,0,27,37,False
2006-10-24,70,27,2,35,30,False
2006-10-25,57,47,3,38,25,False
2006-10-26,72,40,5,50,34,False
2006-10-27,78,29,0,50,36,False
2006-10-28,38,38,0,50,30,False
2006-10-29,49,46,3,44,23,False
2006-10-30,86,37,0,45,26,False
2006-10-31,75,45,2,40,26,False
2006-11-01,71,39,8,39,29,False
2006-11-02,81,47,5,46,36,False
2006-11-03,75,29,5,41,32,False
2006-11-04,32,37,0,39,37,False
2006-11-05,49,32,2,54,27,False
2006-11-06,72,41,0,39,30,False
2006-11-07,53,39,2,50,32,False
2006-11-08,74,36,2,44,21,False
2006-11-09,65,37,6,65,34,False
2006-11-10,56,21,5,44,51,False
2006-11-11,12,39,2,51,41,False
2006-11-12,31,35,2,78,26,False
2006-11-13,81,40,3,57,39,False
2006-11-14,96,38,3,61,26,False
2006-11-15,58,27,5,36,24,False
2006-11-16,80,50,2,56,39,False
2006-11-17,73,28,5,63,36,False
2006-11-18,39,34,2,48,36,False
2006-11-19,19,39,0,66,46,False
2006-11-20,97,31,2,50,52,False
2006-11-21,62,26,5,44,26,False
2006-11-22,60,28,4,55,37,False
2006-11-23,32,21,0,34,21,False
2006-11-24,41,19,0,60,29,False
2006-11-25,36,41,0,66,33,False
2006-11-26,27,39,5,51,27,False
2006-11-27,87,25,3,55,31,False
2006-11-28,57,36,3,55,33,False
2006-11-29,68,29,1,49,31,False
2006-11-30,58,34,1,55,42,False
2006-12-01,65,30,3,49,32,False
2006-12-02,29,18,2,77,38,False
2006-12-03,36,48,5,84,23,False
2006-12-04,83,32,2,65,42,False
2006-12-05,66,38,3,66,25,False
2006-12-06,70,40,1,52,28,False
2006-12-07,64,38,2,56,30,False
2006-12-08,95,22,3,40,28,False
2006-12-09,45,43,0,59,18,False
2006-12-10,41,27,2,68,30,False
2006-12-11,54,48,3,48,36,False
2006-12-12,78,46,3,59,32,False
2006-12-13,61,49,4,57,36,False
2006-12-14,65,40,2,52,26,False
2006-12-15,63,35,0,60,40,False
2006-12-16,31,40,0,64,19,False
2006-12-17,25,25,0,55,30,False
2006-12-18,67,27,2,62,27,False
2006-12-19,48,16,0,63,49,False
2006-12-20,55,40,0,48,38,False
2006-12-21,62,33,2,57,27,False
2006-12-22,40,36,2,44,35,False
2006-12-23,16,42,0,53,29,False
2006-12-24,17,29,0,52,26,False
2006-12-25,23,52,0,72,29,False
2006-12-26,34,30,0,51,47,False
2006-12-27,51,29,0,49,42,False
2006-12-28,47,29,2,58,34,False
2006-12-29,46,40,0,25,27,False
2006-12-30,22,29,0,38,39,False
2006-12-31,17,60,0,42,45,False
2007-01-01,24,42,0,55,26,False
2007-01-02,49,32,0,54,21,False
2007-01-03,64,31,0,60,50,False
2007-01-04,73,26,3,46,35,False
2007-01-05,64,30,0,59,25,False
2007-01-06,20,29,4,65,38,False
2007-01-07,43,27,0,27,32,False
2007-01-08,81,28,0,58,30,False
2007-01-09,73,41,1,47,33,False
2007-01-10,90,50,1,37,21,False
2007-01-11,73,45,0,40,16,False
2007-01-12,73,54,0,45,34,False
2007-01-13,20,46,0,50,33,False
2007-01-14,29,40,0,58,31,False
2007-01-15,55,37,0,45,31,False
2007-01-16,65,23,1,33,26,False
2007-01-17,60,34,1,50,32,False
