date,hustle,hustler,inflation,jobless,laid,isPartial
2014-06-07,35,21,32,1,25,False
2014-06-08,56,27,26,1,25,False
2014-06-09,28,20,28,1,18,False
2014-06-10,33,15,36,2,25,False
2014-06-11,30,18,29,1,21,False
2014-06-12,31,27,25,2,21,False
2014-06-13,32,24,25,1,23,False
2014-06-14,42,24,23,1,22,False
2014-06-15,44,24,32,2,19,False
2014-06-16,27,20,28,0,29,False
2014-06-17,26,19,32,1,21,False
2014-06-18,27,35,35,1,22,False
2014-06-19,29,20,38,3,23,False
2014-06-20,32,19,30,1,24,False
2014-06-21,30,20,32,0,18,False
2014-06-22,38,21,27,0,25,False
2014-06-23,33,22,37,1,22,False
2014-06-24,28,24,34,1,24,False
2014-06-25,28,22,26,1,24,False
2014-06-26,27,19,28,2,22,False
2014-06-27,30,21,28,1,19,False
2014-06-28,33,30,30,0,22,False
2014-06-29,35,22,31,1,26,False
2014-06-30,30,24,36,0,25,False
2014-07-01,24,20,33,1,22,False
2014-07-02,32,24,34,1,25,False
2014-07-03,32,20,33,2,21,False
2014-07-04,37,20,28,1,20,False
2014-07-05,39,25,24,1,22,False
2014-07-06,42,24,31,0,18,False
2014-07-07,26,22,37,1,16,False
2014-07-08,24,20,33,0,24,False
2014-07-09,27,18,34,1,24,False
2014-07-10,27,20,26,4,22,False
2014-07-11,35,21,33,2,23,False
2014-07-12,38,24,32,1,27,False
2014-07-13,46,30,28,0,25,False
2014-07-14,31,15,25,1,23,False
2014-07-15,31,18,35,0,28,False
2014-07-16,26,18,35,1,26,False
2014-07-17,27,21,33,3,24,False
2014-07-18,26,20,22,1,23,False
2014-07-19,36,21,28,0,25,False
2014-07-20,30,24,31,1,23,False
2014-07-21,33,23,33,1,23,False
2014-07-22,34,20,38,1,23,False
2014-07-23,30,24,28,1,23,False
2014-07-24,32,21,36,3,26,False
2014-07-25,29,20,31,1,24,False
2014-07-26,34,34,23,0,26,False
2014-07-27,43,25,27,1,24,False
2014-07-28,37,19,32,1,22,False
2014-07-29,28,20,34,1,24,False
2014-07-30,25,21,34,1,27,False
2014-07-31,29,21,32,4,27,False
2014-08-01,30,17,24,1,21,False
2014-08-02,34,27,27,0,21,False
2014-08-03,38,30,28,0,24,False
2014-08-04,34,21,34,1,24,False
2014-08-05,37,20,32,1,27,False
2014-08-06,31,18,26,2,22,False
2014-08-07,30,16,30,3,26,False
2014-08-08,35,22,28,1,24,False
2014-08-09,100,28,27,0,22,False
2014-08-10,96,20,20,2,25,False
2014-08-11,49,19,28,2,23,False
2014-08-12,44,29,25,1,25,False
2014-08-13,47,25,31,1,24,False
