date,expense,expensive,fine,ghetto,intervention,isPartial
2008-11-13,12,24,88,23,24,False
2008-11-14,8,28,96,25,16,False
2008-11-15,7,28,93,32,17,False
2008-11-16,8,32,83,26,15,False
2008-11-17,12,26,81,23,22,False
2008-11-18,11,29,79,19,27,False
2008-11-19,12,28,88,24,22,False
2008-11-20,11,30,78,22,21,False
2008-11-21,9,26,69,22,17,False
2008-11-22,5,24,74,24,17,False
2008-11-23,6,29,83,25,19,False
2008-11-24,12,28,75,21,20,False
2008-11-25,9,30,80,19,29,False
2008-11-26,7,24,82,22,18,False
2008-11-27,5,20,68,27,11,False
2008-11-28,6,25,70,28,10,False
2008-11-29,8,33,75,31,15,False
2008-11-30,5,28,77,30,14,False
2008-12-01,12,28,87,24,20,False
2008-12-02,13,27,77,17,28,False
2008-12-03,13,35,77,19,17,False
2008-12-04,9,32,84,26,20,False
2008-12-05,15,30,74,19,20,False
2008-12-06,5,31,73,28,16,False
2008-12-07,6,32,80,24,21,False
2008-12-08,11,30,76,22,22,False
2008-12-09,15,31,78,26,27,False
2008-12-10,12,31,80,21,20,False
2008-12-11,14,29,77,23,15,False
2008-12-12,10,33,81,30,17,False
2008-12-13,7,27,76,25,14,False
2008-12-14,9,26,78,27,15,False
2008-12-15,11,30,88,21,22,False
2008-12-16,9,27,77,28,27,False
2008-12-17,10,30,74,23,24,False
2008-12-18,6,28,78,21,12,False
2008-12-19,9,25,72,22,16,False
2008-12-20,1,26,70,23,12,False
2008-12-21,5,28,82,29,13,False
2008-12-22,7,31,82,18,16,False
2008-12-23,8,28,76,22,23,False
2008-12-24,3,27,70,28,17,False
2008-12-25,4,22,71,37,10,False
2008-12-26,5,32,74,19,10,False
2008-12-27,5,34,81,23,7,False
2008-12-28,7,28,64,24,9,False
2008-12-29,8,29,88,23,15,False
2008-12-30,12,30,71,19,43,False
2008-12-31,9,25,91,24,18,False
2009-01-01,3,29,69,25,8,False
2009-01-02,9,28,65,22,15,False
2009-01-03,10,32,83,27,13,False
2009-01-04,5,31,87,29,10,False
2009-01-05,9,26,74,17,17,False
2009-01-06,10,28,69,20,30,False
2009-01-07,12,24,79,19,21,False
2009-01-08,14,29,78,21,20,False
2009-01-09,8,26,73,21,14,False
2009-01-10,8,30,79,25,16,False
2009-01-11,5,31,75,32,11,False
2009-01-12,13,25,73,24,19,False
2009-01-13,10,33,76,23,23,False
2009-01-14,8,23,88,22,22,False
2009-01-15,11,27,75,24,16,False
2009-01-16,10,25,79,21,14,False
2009-01-17,8,28,84,27,12,False
2009-01-18,8,31,90,30,14,False
2009-01-19,16,26,80,25,16,False
2009-01-20,11,30,66,20,25,False
2009-01-21,15,25,77,13,20,False
2009-01-22,12,21,74,21,18,False
2009-01-23,12,28,80,23,13,False
2009-01-24,7,30,74,24,17,False
2009-01-25,8,30,86,23,11,False
2009-01-26,18,26,74,23,20,False
2009-01-27,13,27,78,19,36,False
2009-01-28,13,28,81,21,20,False
2009-01-29,15,27,80,18,22,False
2009-01-30,14,24,83,20,19,False
2009-01-31,9,26,83,23,13,False
2009-02-01,10,28,69,20,15,False
2009-02-02,18,25,78,19,19,False
2009-02-03,12,25,94,23,26,False
2009-02-04,13,26,90,23,21,False
2009-02-05,13,31,88,18,19,False
2009-02-06,12,24,81,23,19,False
2009-02-07,7,27,79,22,15,False
2009-02-08,13,32,83,25,11,False
2009-02-09,15,27,70,19,20,False
2009-02-10,15,29,89,24,27,False
2009-02-11,17,27,100,20,23,False
2009-02-12,15,28,84,23,21,False
2009-02-13,11,24,93,20,14,False
2009-02-14,11,29,95,23,16,False
2009-02-15,9,31,84,22,12,False
2009-02-16,14,30,73,24,21,False
2009-02-17,14,26,73,21,28,False
2009-02-18,15,27,80,25,23,False
2009-02-19,18,27,67,19,18,False
2009-02-20,13,28,75,24,20,False
2009-02-21,9,25,82,25,15,False
2009-02-22,10,28,82,28,14,False
2009-02-23,15,27,76,20,27,False
2009-02-24,13,31,76,20,25,False
2009-02-25,14,29,77,25,21,False
2009-02-26,11,28,70,26,17,False
2009-02-27,15,27,68,22,21,False
2009-02-28,9,26,82,25,14,False
2009-03-01,16,26,68,30,13,False
2009-03-02,10,28,72,26,21,False
2009-03-03,11,29,65,21,24,False
2009-03-04,12,28,78,21,25,False
2009-03-05,15,23,81,18,18,False
2009-03-06,12,29,79,23,15,False
2009-03-07,10,23,82,27,13,False
2009-03-08,10,28,73,27,16,False
2009-03-09,11,29,73,22,22,False
2009-03-10,15,29,71,25,38,False
2009-03-11,15,31,73,19,19,False
2009-03-12,15,28,78,28,18,False
2009-03-13,17,24,74,26,17,False
2009-03-14,7,27,67,21,15,False
2009-03-15,9,36,81,32,9,False
2009-03-16,12,26,84,24,19,False
2009-03-17,17,25,73,26,23,False
2009-03-18,15,24,73,21,18,False
2009-03-19,12,24,68,22,16,False
2009-03-20,8,23,80,18,19,False
2009-03-21,9,29,77,30,18,False
2009-03-22,10,20,65,26,22,False
2009-03-23,13,30,72,21,22,False
2009-03-24,15,35,69,20,26,False
2009-03-25,12,28,72,24,22,False
2009-03-26,14,27,87,22,20,False
2009-03-27,11,30,77,21,22,False
2009-03-28,9,31,86,28,16,False
2009-03-29,9,25,76,32,15,False
2009-03-30,14,27,80,23,21,False
2009-03-31,15,29,72,24,30,False
2009-04-01,16,32,74,20,25,False
2009-04-02,14,27,74,20,17,False
2009-04-03,14,30,71,22,18,False
2009-04-04,11,29,85,25,13,False
2009-04-05,13,29,69,28,10,False
2009-04-06,16,32,80,25,20,False
2009-04-07,15,32,69,25,21,False
2009-04-08,18,28,75,26,18,False
2009-04-09,14,27,78,24,20,False
2009-04-10,14,27,74,24,12,False
2009-04-11,12,32,81,23,11,False
2009-04-12,13,34,79,26,14,False
2009-04-13,16,28,77,21,23,False
2009-04-14,21,31,74,20,22,False
2009-04-15,17,33,71,21,19,False
2009-04-16,14,28,71,24,20,False
2009-04-17,13,27,76,25,18,False
2009-04-18,13,21,74,26,16,False
2009-04-19,8,27,86,27,14,False
2009-04-20,13,27,75,23,19,False
2009-04-21,11,32,78,23,17,False
2009-04-22,12,24,79,26,22,False
2009-04-23,15,29,78,20,19,False
2009-04-24,13,27,71,33,18,False
2009-04-25,8,32,74,29,13,False
2009-04-26,10,36,68,30,13,False
2009-04-27,11,27,68,22,21,False
2009-04-28,11,33,77,27,24,False
2009-04-29,11,24,87,24,22,False
2009-04-30,14,27,71,26,23,False
2009-05-01,11,26,74,20,16,False
2009-05-02,6,32,89,25,8,False
2009-05-03,10,30,69,29,16,False
2009-05-04,10,31,74,25,23,False
2009-05-05,10,33,70,28,32,False
2009-05-06,10,31,67,21,22,False
2009-05-07,9,24,70,23,22,False
2009-05-08,8,28,64,20,21,False
2009-05-09,7,34,73,18,12,False
2009-05-10,8,38,79,32,12,False
2009-05-11,12,26,79,25,19,False
2009-05-12,13,28,70,26,23,False
2009-05-13,13,29,79,26,21,False
2009-05-14,9,32,74,26,20,False
2009-05-15,9,26,76,27,26,False
2009-05-16,5,28,86,31,13,False
2009-05-17,4,35,80,32,13,False
2009-05-18,12,28,83,27,18,False
2009-05-19,9,26,77,22,22,False
2009-05-20,11,26,80,34,16,False
2009-05-21,12,32,73,30,18,False
