date,privileged,productive,productivity,profit,profitable,isPartial
2010-04-05,2,3,5,79,7,False
2010-04-06,3,5,12,76,4,False
2010-04-07,3,5,10,85,5,False
2010-04-08,3,4,11,90,5,False
2010-04-09,0,5,11,76,6,False
2010-04-10,3,1,8,59,3,False
2010-04-11,1,1,4,65,1,False
2010-04-12,1,8,13,82,5,False
2010-04-13,3,5,12,95,6,False
2010-04-14,1,3,10,93,5,False
2010-04-15,1,3,10,81,3,False
2010-04-16,1,2,11,73,5,False
2010-04-17,0,2,8,64,3,False
2010-04-18,2,4,10,54,4,False
2010-04-19,2,5,11,88,5,False
2010-04-20,2,8,12,79,4,False
2010-04-21,2,7,11,97,2,False
2010-04-22,1,5,12,94,7,False
2010-04-23,5,4,11,86,4,False
2010-04-24,1,3,7,51,6,False
2010-04-25,1,2,9,60,3,False
2010-04-26,4,5,9,77,4,False
2010-04-27,2,4,15,88,3,False
2010-04-28,3,3,12,90,4,False
2010-04-29,3,3,20,91,4,False
2010-04-30,3,5,10,72,6,False
2010-05-01,2,4,7,40,3,False
2010-05-02,1,2,11,72,3,False
2010-05-03,1,5,12,91,5,False
2010-05-04,3,5,10,93,7,False
2010-05-05,2,5,13,99,7,False
2010-05-06,1,5,15,95,2,False
2010-05-07,4,4,11,74,5,False
2010-05-08,1,1,10,56,2,False
2010-05-09,5,5,6,52,5,False
2010-05-10,1,4,11,98,4,False
2010-05-11,0,6,10,82,6,False
2010-05-12,3,5,13,89,7,False
2010-05-13,2,4,13,81,4,False
2010-05-14,2,5,9,72,4,False
2010-05-15,2,3,6,57,7,False
2010-05-16,3,3,7,64,6,False
2010-05-17,2,5,12,83,7,False
2010-05-18,1,9,12,92,4,False
2010-05-19,2,8,10,87,3,False
2010-05-20,1,2,7,81,4,False
2010-05-21,1,3,8,60,6,False
2010-05-22,1,1,2,57,3,False
2010-05-23,2,5,8,52,5,False
2010-05-24,4,3,9,79,3,False
2010-05-25,1,3,11,91,2,False
2010-05-26,2,5,10,100,9,False
2010-05-27,1,5,15,74,3,False
2010-05-28,2,1,6,66,5,False
2010-05-29,1,3,4,42,4,False
2010-05-30,2,3,3,50,3,False
2010-05-31,1,3,3,51,4,False
2010-06-01,3,4,7,67,3,False
2010-06-02,3,4,6,78,4,False
2010-06-03,1,6,11,79,5,False
2010-06-04,2,2,11,70,7,False
2010-06-05,2,1,7,60,4,False
2010-06-06,1,3,7,41,4,False
2010-06-07,2,4,7,76,3,False
2010-06-08,5,6,10,77,3,False
2010-06-09,1,4,11,76,4,False
2010-06-10,2,6,12,84,3,False
2010-06-11,3,5,11,71,6,False
2010-06-12,0,2,2,41,5,False
2010-06-13,3,2,5,56,11,False
2010-06-14,2,3,11,80,3,False
2010-06-15,1,3,9,83,7,False
2010-06-16,3,4,6,85,4,False
2010-06-17,2,5,7,75,3,False
2010-06-18,3,3,9,69,3,False
2010-06-19,2,1,5,59,5,False
2010-06-20,2,5,4,41,2,False
2010-06-21,3,5,8,78,6,False
2010-06-22,2,4,7,72,3,False
2010-06-23,1,4,11,68,5,False
2010-06-24,2,3,8,89,3,False
2010-06-25,3,3,7,66,4,False
2010-06-26,2,2,7,43,2,False
2010-06-27,1,2,10,56,6,False
2010-06-28,0,2,3,70,3,False
2010-06-29,2,3,11,84,4,False
2010-06-30,3,6,8,83,10,False
2010-07-01,4,4,6,74,4,False
2010-07-02,1,4,4,57,3,False
2010-07-03,0,1,3,49,2,False
2010-07-04,1,3,3,42,4,False
2010-07-05,1,3,3,44,6,False
2010-07-06,1,4,7,72,2,False
2010-07-07,1,2,10,74,5,False
2010-07-08,3,4,7,65,7,False
2010-07-09,2,3,10,66,1,False
2010-07-10,1,1,4,54,4,False
2010-07-11,0,5,3,49,3,False
2010-07-12,2,3,11,76,4,False
2010-07-13,3,3,6,74,5,False
2010-07-14,2,2,6,74,6,False
2010-07-15,2,6,8,66,1,False
2010-07-16,1,3,7,60,5,False
2010-07-17,0,2,7,51,4,False
2010-07-18,2,2,5,56,4,False
2010-07-19,1,2,4,77,5,False
2010-07-20,3,3,7,78,4,False
2010-07-21,3,5,12,72,5,False
2010-07-22,2,4,7,69,6,False
2010-07-23,2,3,9,68,4,False
2010-07-24,2,2,4,46,5,False
2010-07-25,1,2,6,57,4,False
2010-07-26,3,8,6,75,6,False
2010-07-27,2,2,7,72,8,False
2010-07-28,3,1,10,91,9,False
2010-07-29,2,4,8,70,4,False
2010-07-30,1,4,6,63,1,False
2010-07-31,3,1,5,49,5,False
