date,unprofitable,vagabond,vagrant,abundance,accrue,isPartial
2011-08-26,0,58,15,43,5,False
2011-08-27,3,51,33,21,3,False
2011-08-28,0,57,9,45,3,False
2011-08-29,0,36,14,48,7,False
2011-08-30,0,29,17,39,12,False
2011-08-31,0,44,29,41,10,False
2011-09-01,0,44,17,61,15,False
2011-09-02,0,58,20,53,5,False
2011-09-03,0,75,22,38,3,False
2011-09-04,0,35,35,44,0,False
2011-09-05,3,46,34,40,9,False
2011-09-06,2,50,16,66,14,False
2011-09-07,2,45,21,73,17,False
2011-09-08,0,45,22,65,19,False
2011-09-09,2,57,7,37,10,False
2011-09-10,0,24,27,60,9,False
2011-09-11,3,59,53,77,9,False
2011-09-12,5,45,31,66,5,False
2011-09-13,0,42,42,53,5,False
2011-09-14,0,44,35,100,16,False
2011-09-15,2,64,26,81,7,False
2011-09-16,0,40,20,47,7,False
2011-09-17,0,40,21,49,3,False
2011-09-18,0,61,23,58,6,False
2011-09-19,2,40,28,87,7,False
2011-09-20,0,58,26,61,7,False
2011-09-21,0,44,26,98,7,False
2011-09-22,2,49,19,47,7,False
2011-09-23,0,39,20,49,17,False
2011-09-24,3,69,39,39,3,False
2011-09-25,0,47,15,47,6,False
2011-09-26,5,46,42,72,12,False
2011-09-27,0,30,23,74,12,False
2011-09-28,0,28,16,77,16,False
2011-09-29,5,65,49,70,23,False
2011-09-30,0,44,37,44,2,False
2011-10-01,0,48,36,39,3,False
2011-10-02,0,51,21,60,12,False
2011-10-03,0,40,28,56,21,False
2011-10-04,2,32,23,61,11,False
2011-10-05,0,55,35,78,12,False
2011-10-06,2,44,25,74,7,False
2011-10-07,0,32,17,41,15,False
2011-10-08,3,39,30,24,3,False
2011-10-09,0,36,24,39,6,False
2011-10-10,2,33,35,61,14,False
2011-10-11,0,45,19,54,13,False
2011-10-12,2,48,30,61,22,False
2011-10-13,2,41,16,76,7,False
2011-10-14,0,38,22,55,5,False
2011-10-15,0,54,15,27,3,False
2011-10-16,0,41,18,38,3,False
2011-10-17,2,34,32,71,16,False
2011-10-18,0,41,23,39,27,False
2011-10-19,0,29,25,88,13,False
2011-10-20,0,23,56,65,14,False
2011-10-21,0,56,24,39,17,False
2011-10-22,0,51,24,24,3,False
2011-10-23,0,35,41,64,0,False
2011-10-24,2,38,29,45,7,False
2011-10-25,2,29,18,41,11,False
2011-10-26,2,43,34,69,20,False
2011-10-27,0,43,23,38,11,False
2011-10-28,0,55,29,52,2,False
2011-10-29,0,23,37,17,9,False
2011-10-30,0,32,24,62,6,False
2011-10-31,5,38,24,66,12,False
2011-11-01,2,38,17,47,7,False
2011-11-02,0,36,23,38,20,False
2011-11-03,0,32,32,50,11,False
2011-11-04,0,24,26,59,12,False
2011-11-05,0,43,32,29,0,False
2011-11-06,3,51,28,56,6,False
2011-11-07,2,51,16,47,11,False
2011-11-08,4,35,33,42,11,False
2011-11-09,2,57,20,44,11,False
2011-11-10,0,27,25,34,4,False
2011-11-11,0,48,26,36,14,False
2011-11-12,3,49,20,17,6,False
2011-11-13,0,36,25,36,11,False
2011-11-14,0,40,29,56,22,False
2011-11-15,0,29,18,82,18,False
2011-11-16,4,37,24,75,24,False
2011-11-17,0,47,22,45,20,False
2011-11-18,2,37,23,54,12,False
2011-11-19,0,46,23,43,3,False
2011-11-20,0,59,17,39,8,False
2011-11-21,0,31,29,55,18,False
2011-11-22,2,49,22,40,4,False
2011-11-23,2,37,14,33,9,False
2011-11-24,0,50,17,47,0,False
2011-11-25,0,36,28,42,0,False
2011-11-26,0,62,11,20,6,False
2011-11-27,6,52,33,41,11,False
2011-11-28,4,53,28,34,11,False
2011-11-29,0,30,47,66,13,False
2011-11-30,0,57,26,52,9,False
2011-12-01,0,41,24,48,9,False
2011-12-02,2,48,20,34,5,False
2011-12-03,0,57,19,32,8,False
2011-12-04,0,51,43,48,3,False
2011-12-05,2,38,23,49,2,False
2011-12-06,0,55,17,57,21,False
2011-12-07,2,38,13,43,2,False
2011-12-08,0,43,19,69,11,False
2011-12-09,0,40,13,43,9,False
2011-12-10,0,32,29,37,11,False
2011-12-11,3,43,14,35,0,False
2011-12-12,2,45,32,56,15,False
2011-12-13,0,24,21,88,13,False
2011-12-14,2,39,33,52,11,False
2011-12-15,2,49,22,62,11,False
2011-12-16,2,41,32,27,7,False
2011-12-17,0,39,30,30,5,False
2011-12-18,0,44,39,28,8,False
2011-12-19,0,25,16,31,9,False
2011-12-20,0,31,18,44,4,False
2011-12-21,0,53,18,28,11,False
2011-12-22,0,28,19,33,17,False
2011-12-23,0,26,28,44,15,False
2011-12-24,0,39,33,27,0,False
2011-12-25,0,44,27,51,0,False
2011-12-26,0,47,39,30,6,False
2011-12-27,0,35,19,21,9,False
2011-12-28,0,30,30,49,14,False
2011-12-29,0,42,19,38,7,False
2011-12-30,2,38,29,41,7,False
2011-12-31,0,54,32,32,8,False
2012-01-01,0,48,27,55,9,False
2012-01-02,0,45,17,38,7,False
2012-01-03,6,28,43,48,13,False
2012-01-04,0,34,28,62,28,False
2012-01-05,2,28,17,67,13,False
2012-01-06,0,44,22,41,26,False
2012-01-07,0,60,29,23,8,False
2012-01-08,0,25,28,31,3,False
2012-01-09,2,49,32,40,11,False
2012-01-10,2,38,23,29,17,False
2012-01-11,0,38,25,61,8,False
2012-01-12,0,42,12,44,10,False
2012-01-13,0,51,24,47,13,False
2012-01-14,0,33,21,49,5,False
2012-01-15,3,56,26,49,3,False
2012-01-16,2,44,24,41,4,False
2012-01-17,0,27,21,44,21,False
2012-01-18,0,47,24,44,12,False
2012-01-19,0,37,17,46,19,False
2012-01-20,2,59,36,53,2,False
2012-01-21,0,37,20,30,5,False
2012-01-22,0,47,12,52,2,False
2012-01-23,0,26,26,64,12,False
2012-01-24,0,45,33,37,10,False
2012-01-25,2,51,25,47,16,False
2012-01-26,2,62,23,47,12,False
2012-01-27,0,34,19,19,15,False
2012-01-28,0,48,23,30,3,False
2012-01-29,3,50,28,61,3,False
2012-01-30,0,51,22,84,14,False
2012-01-31,2,26,26,45,14,False
2012-02-01,0,44,24,63,8,False
2012-02-02,0,32,22,48,16,False
2012-02-03,2,36,21,48,10,False
2012-02-04,0,43,30,38,10,False
2012-02-05,0,50,15,42,5,False
2012-02-06,2,43,25,53,21,False
2012-02-07,0,40,24,64,12,False
2012-02-08,2,37,37,51,14,False
2012-02-09,2,61,16,69,18,False
2012-02-10,0,50,25,65,10,False
2012-02-11,2,44,17,44,7,False
2012-02-12,0,42,21,45,7,False
2012-02-13,0,33,22,45,12,False
2012-02-14,4,28,26,62,14,False
2012-02-15,0,46,33,25,8,False
2012-02-16,0,65,18,53,16,False
2012-02-17,0,49,34,32,6,False
2012-02-18,0,48,20,35,2,False
2012-02-19,0,38,31,26,10,False
2012-02-20,0,40,15,55,6,False
2012-02-21,0,45,22,81,22,False
2012-02-22,2,36,16,50,14,False
2012-02-23,4,44,26,48,24,False
2012-02-24,0,33,21,33,10,False
2012-02-25,0,45,28,50,3,False
2012-02-26,0,41,25,61,8,False
2012-02-27,2,30,20,60,8,False
2012-02-28,4,36,20,34,12,False
2012-02-29,6,58,22,34,14,False
2012-03-01,0,57,20,83,9,False
2012-03-02,2,47,27,52,5,False
2012-03-03,0,36,19,33,14,False
2012-03-04,0,28,22,25,6,False
2012-03-05,2,44,22,81,9,False
2012-03-06,0,36,22,48,16,False
2012-03-07,0,49,18,77,6,False
2012-03-08,4,26,20,51,12,False
2012-03-09,0,49,17,25,8,False
2012-03-10,0,45,25,40,8,False
2012-03-11,0,69,15,28,3,False
2012-03-12,0,31,24,33,2,False
2012-03-13,2,53,10,32,6,False
2012-03-14,2,67,17,44,12,False
2012-03-15,0,48,21,48,15,False
2012-03-16,0,66,13,45,17,False
2012-03-17,0,52,13,31,13,False
2012-03-18,0,68,10,26,5,False
2012-03-19,0,49,14,72,16,False
2012-03-20,0,49,16,51,4,False
2012-03-21,2,33,20,49,10,False
2012-03-22,0,57,25,46,10,False
2012-03-23,0,24,33,35,7,False
2012-03-24,0,21,36,59,0,False
2012-03-25,0,74,28,28,5,False
2012-03-26,2,31,26,41,12,False
2012-03-27,0,43,24,41,16,False
2012-03-28,0,26,20,43,8,False
2012-03-29,0,52,21,35,17,False
2012-03-30,0,55,22,57,9,False
2012-03-31,0,49,17,37,2,False
2012-04-01,0,49,20,28,3,False
2012-04-02,2,33,27,54,2,False
2012-04-03,2,28,37,49,10,False
