date,prosper,prosperity,isPartial
2015-10-28,37,47,False
2015-10-29,38,53,False
2015-10-30,38,44,False
2015-10-31,24,26,False
2015-11-01,32,35,False
2015-11-02,37,48,False
2015-11-03,29,47,False
2015-11-04,40,44,False
2015-11-05,42,43,False
2015-11-06,45,43,False
2015-11-07,36,29,False
2015-11-08,27,35,False
2015-11-09,38,45,False
2015-11-10,42,42,False
2015-11-11,41,42,False
2015-11-12,37,45,False
2015-11-13,38,48,False
2015-11-14,23,27,False
2015-11-15,31,27,False
2015-11-16,42,44,False
2015-11-17,44,44,False
2015-11-18,42,43,False
2015-11-19,33,45,False
2015-11-20,48,42,False
2015-11-21,20,25,False
2015-11-22,25,29,False
2015-11-23,34,41,False
2015-11-24,33,44,False
2015-11-25,29,37,False
2015-11-26,15,17,False
2015-11-27,14,33,False
2015-11-28,31,25,False
2015-11-29,27,24,False
2015-11-30,36,48,False
2015-12-01,38,52,False
2015-12-02,44,43,False
2015-12-03,43,51,False
2015-12-04,35,42,False
2015-12-05,32,33,False
2015-12-06,24,29,False
2015-12-07,35,38,False
2015-12-08,63,46,False
2015-12-09,65,50,False
2015-12-10,45,49,False
2015-12-11,44,50,False
2015-12-12,36,32,False
2015-12-13,32,24,False
2015-12-14,46,43,False
2015-12-15,46,51,False
2015-12-16,36,49,False
2015-12-17,30,32,False
2015-12-18,34,41,False
2015-12-19,39,37,False
2015-12-20,38,29,False
2015-12-21,31,43,False
2015-12-22,34,40,False
2015-12-23,32,56,False
2015-12-24,27,54,False
2015-12-25,20,24,False
2015-12-26,25,35,False
2015-12-27,27,25,False
2015-12-28,41,48,False
2015-12-29,32,37,False
2015-12-30,47,54,False
2015-12-31,43,65,False
2016-01-01,38,100,False
2016-01-02,34,48,False
2016-01-03,34,34,False
2016-01-04,38,47,False
2016-01-05,41,60,False
2016-01-06,40,40,False
2016-01-07,48,45,False
2016-01-08,41,42,False
2016-01-09,29,36,False
2016-01-10,26,26,False
2016-01-11,37,51,False
2016-01-12,32,59,False
2016-01-13,43,47,False
2016-01-14,35,40,False
2016-01-15,38,46,False
2016-01-16,29,33,False
2016-01-17,31,27,False
2016-01-18,32,29,False
2016-01-19,47,51,False
2016-01-20,35,59,False
2016-01-21,41,69,False
2016-01-22,49,51,False
2016-01-23,39,28,False
2016-01-24,27,28,False
2016-01-25,40,45,False
2016-01-26,40,42,False
2016-01-27,37,37,False
2016-01-28,30,46,False
2016-01-29,42,42,False
2016-01-30,28,34,False
2016-01-31,31,28,False
2016-02-01,40,49,False
2016-02-02,45,38,False
2016-02-03,41,42,False
2016-02-04,46,60,False
2016-02-05,43,50,False
2016-02-06,28,27,False
2016-02-07,34,42,False
2016-02-08,38,50,False
2016-02-09,42,54,False
2016-02-10,44,54,False
2016-02-11,39,53,False
2016-02-12,37,58,False
2016-02-13,28,34,False
2016-02-14,27,31,False
2016-02-15,39,50,False
2016-02-16,36,57,False
2016-02-17,49,48,False
2016-02-18,45,53,False
2016-02-19,52,51,False
2016-02-20,33,35,False
