date,betrothal,bonus,boom,breadwinner,buy
2004-03-30,0,2.22810984681,2.393359375,0,76.3017974067
2004-03-31,0,3.34216477022,3.5900390625,0,70.7726816526
2004-04-01,0,2.22810984681,3.5900390625,0,67.4552122001
2004-04-02,0,2.22810984681,3.5900390625,0,71.8785048034
2004-04-03,0,3.34216477022,3.5900390625,0,97.3124372723
2004-04-04,0,2.22810984681,4.78671875,0,91.7833215182
2004-04-05,0,2.22810984681,4.78671875,0,74.0901511051
2004-04-06,0,1.11405492341,3.5900390625,0,72.9843279543
2004-04-07,0,2.22810984681,3.5900390625,0,66.3493890493
2004-04-08,0,2.22810984681,3.5900390625,0,65.2435658985
2004-04-09,0,3.34216477022,2.393359375,0,72.9843279543
2004-04-10,0,2.22810984681,4.78671875,0,97.3124372723
2004-04-11,0,3.34216477022,8.3767578125,0,91.7833215182
2004-04-12,0,0.0,0.0,0,0.0
2004-04-13,0,0.0,0.0,0,0.0
2004-04-14,0,2.22810984681,3.5900390625,0,54.1853343903
2004-04-15,0,2.22810984681,3.5900390625,0,66.3493890493
2004-04-16,0,3.34216477022,3.5900390625,0,72.9843279543
2004-04-17,0,3.34216477022,4.78671875,0,95.1007909707
2004-04-18,0,2.22810984681,3.5900390625,0,98.4182604232
2004-04-19,0,2.22810984681,2.393359375,0,75.1959742559
2004-04-20,0,2.22810984681,3.5900390625,0,77.4076205575
2004-04-21,0,2.22810984681,2.393359375,0,69.6668585018
2004-04-22,0,2.22810984681,2.393359375,0,67.4552122001
2004-04-23,0,1.11405492341,4.78671875,0,61.926096446
2004-04-24,0,2.22810984681,4.78671875,0,91.7833215182
2004-04-25,0,4.45621969363,3.5900390625,0,93.9949678199
2004-04-26,0,2.22810984681,2.393359375,0,69.6668585018
2004-04-27,0,3.34216477022,3.5900390625,0,69.6668585018
2004-04-28,0,2.22810984681,4.78671875,0,68.561035351
2004-04-29,0,2.22810984681,3.5900390625,0,70.7726816526
2004-04-30,0,2.22810984681,3.5900390625,0,75.1959742559
2004-05-01,0,2.22810984681,2.393359375,0,82.9367363116
2004-05-02,0,2.22810984681,4.78671875,0,100.629906725
2004-05-03,0,2.22810984681,2.393359375,0,80.72509001
2004-05-04,0,3.34216477022,3.5900390625,0,69.6668585018
2004-05-05,0,2.22810984681,4.78671875,0,67.4552122001
2004-05-06,0,2.22810984681,3.5900390625,0,66.3493890493
2004-05-07,0,2.22810984681,5.9833984375,0,76.3017974067
2004-05-08,0,4.45621969363,4.78671875,0,81.8309131608
2004-05-09,0,2.22810984681,4.78671875,0,92.889144669
2004-05-10,0,2.22810984681,3.5900390625,0,70.7726816526
2004-05-11,0,1.11405492341,4.78671875,0,74.0901511051
2004-05-12,0,3.34216477022,2.393359375,0,67.4552122001
2004-05-13,0,2.22810984681,4.78671875,0,67.4552122001
2004-05-14,0,2.22810984681,4.78671875,0,71.8785048034
2004-05-15,0,2.22810984681,3.5900390625,0,80.72509001
2004-05-16,0,3.34216477022,3.5900390625,0,87.3600289149
2004-05-17,0,2.22810984681,3.5900390625,0,78.5134437084
2004-05-18,0,1.11405492341,4.78671875,0,74.0901511051
2004-05-19,0,3.34216477022,3.5900390625,0,68.561035351
2004-05-20,0,3.34216477022,3.5900390625,0,70.7726816526
2004-05-21,0,2.22810984681,2.393359375,0,68.561035351
2004-05-22,0,2.22810984681,4.78671875,0,85.1483826133
2004-05-23,0,2.22810984681,7.180078125,0,92.889144669
2004-05-24,0,2.22810984681,3.5900390625,0,70.7726816526
2004-05-25,0,3.34216477022,3.5900390625,0,78.5134437084
2004-05-26,0,2.22810984681,4.78671875,0,80.72509001
2004-05-27,0,1.11405492341,3.5900390625,0,79.6192668592
2004-05-28,0,2.22810984681,4.78671875,0,76.3017974067
2004-05-29,0,3.34216477022,3.5900390625,0,99.524083574
2004-05-30,0,3.34216477022,9.5734375,0,96.2066141215
2004-05-31,0,2.22810984681,4.78671875,0,95.1007909707
2004-06-01,0,2.22810984681,2.393359375,0,78.5134437084
2004-06-02,0,2.22810984681,3.5900390625,0,72.9843279543
2004-06-03,0,1.11405492341,4.78671875,0,72.9843279543
2004-06-04,0,2.22810984681,4.78671875,0,71.8785048034
2004-06-05,0,4.45621969363,2.393359375,0,93.9949678199
2004-06-06,0,1.11405492341,3.5900390625,0,98.4182604232
2004-06-07,0,2.22810984681,3.5900390625,0,84.0425594625
2004-06-08,0,2.22810984681,3.5900390625,0,75.1959742559
2004-06-09,0,2.22810984681,3.5900390625,0,76.3017974067
2004-06-10,0,1.11405492341,3.5900390625,0,79.6192668592
2004-06-11,0,2.22810984681,4.78671875,0,81.8309131608
2004-06-12,0,1.11405492341,3.5900390625,0,105.053199328
2004-06-13,0,2.22810984681,3.5900390625,0,98.4182604232
2004-06-14,0,2.22810984681,4.78671875,0,84.0425594625
2004-06-15,0,2.22810984681,4.78671875,0,76.3017974067
2004-06-16,0,2.22810984681,4.78671875,0,81.8309131608
2004-06-17,0,2.22810984681,4.78671875,0,72.9843279543
2004-06-18,0,2.22810984681,4.78671875,0,88.4658520658
2004-06-19,0,3.34216477022,4.78671875,0,108.370668781
2004-06-20,0,2.22810984681,4.78671875,0,103.947376177
2004-06-21,0,2.22810984681,3.5900390625,0,89.5716752166
2004-06-22,0,1.11405492341,3.5900390625,0,81.8309131608
2004-06-23,0,4.45621969363,3.5900390625,0,79.6192668592
2004-06-24,0,2.22810984681,3.5900390625,0,85.1483826133
2004-06-25,0,2.22810984681,3.5900390625,0,76.3017974067
2004-06-26,0,2.22810984681,4.78671875,0,98.4182604232
2004-06-27,0,2.22810984681,5.9833984375,0,99.524083574
2004-06-28,0,2.22810984681,4.78671875,0,84.0425594625
2004-06-29,0,3.34216477022,5.9833984375,0,76.3017974067
2004-06-30,0,2.22810984681,4.78671875,0,79.6192668592
2004-07-01,0,1.11405492341,4.78671875,0,79.6192668592
2004-07-02,0,3.34216477022,4.78671875,0,78.5134437084
2004-07-03,0,3.34216477022,5.9833984375,0,98.4182604232
2004-07-04,0,2.22810984681,5.9833984375,0,101.735729876
2004-07-05,0,2.22810984681,5.9833984375,0,100.629906725
2004-07-06,0,2.22810984681,3.5900390625,0,84.0425594625
2004-07-07,0,1.11405492341,3.5900390625,0,84.0425594625
2004-07-08,0,2.22810984681,4.78671875,0,79.6192668592
2004-07-09,0,2.22810984681,4.78671875,0,78.5134437084
2004-07-10,0,1.11405492341,4.78671875,0,102.841553026
2004-07-11,0,4.45621969363,3.5900390625,0,108.370668781
2004-07-12,0,2.22810984681,3.5900390625,0,76.3017974067
2004-07-13,0,2.22810984681,3.5900390625,0,80.72509001
2004-07-14,0,1.11405492341,3.5900390625,0,91.7833215182
2004-07-15,0,2.22810984681,2.393359375,0,79.6192668592
2004-07-16,0,2.22810984681,3.5900390625,0,80.72509001
2004-07-17,0,2.22810984681,2.393359375,0,99.524083574
2004-07-18,0,2.22810984681,4.78671875,0,105.053199328
2004-07-19,0,2.22810984681,2.393359375,0,89.5716752166
2004-07-20,0,2.22810984681,4.78671875,0,78.5134437084
2004-07-21,0,2.22810984681,2.393359375,0,80.72509001
2004-07-22,0,2.22810984681,2.393359375,0,77.4076205575
