date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2006-10-13,6,1,1,73,1,False
2006-10-14,6,0,0,59,0,False
2006-10-15,7,1,0,69,0,False
2006-10-16,5,1,0,81,0,False
2006-10-17,8,2,0,86,1,False
2006-10-18,7,1,0,92,0,False
2006-10-19,7,2,1,79,1,False
2006-10-20,5,1,0,67,0,False
2006-10-21,8,2,0,48,0,False
2006-10-22,9,0,0,55,0,False
2006-10-23,8,1,0,73,1,False
2006-10-24,8,1,0,80,0,False
2006-10-25,6,3,0,95,1,False
2006-10-26,8,1,0,73,1,False
2006-10-27,7,0,0,70,0,False
2006-10-28,5,1,0,51,0,False
2006-10-29,5,2,0,63,0,False
2006-10-30,7,2,1,78,0,False
2006-10-31,8,1,0,73,1,False
2006-11-01,8,3,0,81,0,False
2006-11-02,9,2,1,88,0,False
2006-11-03,6,1,1,69,0,False
2006-11-04,5,0,0,61,0,False
2006-11-05,7,1,0,52,0,False
2006-11-06,6,2,0,78,0,False
2006-11-07,7,0,0,77,1,False
2006-11-08,6,1,0,74,0,False
2006-11-09,9,2,0,76,1,False
2006-11-10,8,0,1,74,0,False
2006-11-11,8,1,0,51,0,False
2006-11-12,6,1,0,62,0,False
2006-11-13,8,1,0,86,0,False
2006-11-14,8,1,0,83,0,False
2006-11-15,5,1,0,100,1,False
2006-11-16,6,1,0,81,0,False
2006-11-17,8,1,0,69,0,False
2006-11-18,8,0,0,48,1,False
2006-11-19,10,0,1,54,0,False
2006-11-20,8,1,1,67,0,False
2006-11-21,8,1,0,79,0,False
2006-11-22,7,1,0,65,0,False
2006-11-23,8,1,0,41,0,False
2006-11-24,8,1,0,62,0,False
2006-11-25,6,0,1,50,0,False
2006-11-26,7,1,0,54,0,False
2006-11-27,7,1,0,92,0,False
2006-11-28,9,2,0,78,0,False
2006-11-29,9,2,0,87,0,False
2006-11-30,7,0,0,71,0,False
2006-12-01,7,2,0,79,0,False
2006-12-02,8,0,0,55,0,False
2006-12-03,9,0,0,52,0,False
2006-12-04,9,1,0,71,0,False
2006-12-05,9,2,0,69,0,False
2006-12-06,8,2,0,79,0,False
2006-12-07,8,2,0,69,0,False
2006-12-08,8,2,0,69,0,False
2006-12-09,9,1,0,63,0,False
2006-12-10,10,1,0,46,0,False
2006-12-11,8,1,1,74,0,False
2006-12-12,10,2,0,67,0,False
2006-12-13,6,1,0,81,0,False
2006-12-14,9,2,0,65,0,False
2006-12-15,9,1,0,65,0,False
2006-12-16,7,0,0,49,0,False
2006-12-17,7,1,0,53,0,False
2006-12-18,8,2,0,66,1,False
