date,expense,expensive,fine,ghetto,intervention,isPartial
2007-06-24,6,19,74,27,6,False
2007-06-25,7,17,73,20,13,False
2007-06-26,9,19,59,19,13,False
2007-06-27,10,19,76,21,12,False
2007-06-28,6,11,69,23,14,False
2007-06-29,8,18,68,22,9,False
2007-06-30,8,23,74,32,16,False
2007-07-01,5,20,80,25,10,False
2007-07-02,10,18,83,23,8,False
2007-07-03,9,21,62,17,13,False
2007-07-04,3,16,84,21,7,False
2007-07-05,9,18,78,20,8,False
2007-07-06,8,20,81,19,11,False
2007-07-07,5,15,76,23,13,False
2007-07-08,5,21,76,22,8,False
2007-07-09,9,20,72,22,11,False
2007-07-10,9,21,72,24,12,False
2007-07-11,10,18,77,33,13,False
2007-07-12,10,19,73,30,12,False
2007-07-13,7,22,70,23,13,False
2007-07-14,8,18,85,32,13,False
2007-07-15,9,24,81,27,9,False
2007-07-16,9,18,73,30,13,False
2007-07-17,12,17,78,26,10,False
2007-07-18,12,17,81,28,9,False
2007-07-19,11,18,84,26,13,False
2007-07-20,7,23,79,20,12,False
2007-07-21,7,17,73,19,14,False
2007-07-22,3,23,75,34,10,False
2007-07-23,9,20,78,24,13,False
2007-07-24,8,23,71,32,14,False
2007-07-25,6,19,76,29,10,False
2007-07-26,9,23,87,35,15,False
2007-07-27,5,15,84,30,7,False
2007-07-28,4,24,92,21,19,False
2007-07-29,6,23,70,23,13,False
2007-07-30,11,23,73,19,12,False
2007-07-31,9,26,75,21,15,False
2007-08-01,7,20,79,26,10,False
2007-08-02,12,21,81,20,14,False
2007-08-03,10,22,77,26,9,False
2007-08-04,6,14,91,21,17,False
2007-08-05,5,23,77,30,14,False
2007-08-06,10,19,86,22,11,False
2007-08-07,8,19,86,22,15,False
2007-08-08,9,21,80,19,10,False
2007-08-09,10,20,72,21,16,False
2007-08-10,8,20,80,20,9,False
2007-08-11,6,19,81,23,11,False
2007-08-12,5,18,79,20,11,False
2007-08-13,6,21,77,21,13,False
2007-08-14,14,20,80,18,10,False
2007-08-15,8,16,89,21,12,False
2007-08-16,5,23,74,28,11,False
2007-08-17,7,25,74,36,12,False
2007-08-18,6,21,88,30,20,False
2007-08-19,8,19,94,25,10,False
2007-08-20,6,21,67,19,14,False
2007-08-21,5,21,89,20,8,False
2007-08-22,7,21,78,26,10,False
2007-08-23,10,20,78,21,12,False
2007-08-24,12,18,68,20,10,False
2007-08-25,7,20,76,27,11,False
2007-08-26,5,19,94,33,10,False
2007-08-27,7,19,65,20,6,False
2007-08-28,9,15,85,20,14,False
2007-08-29,7,19,77,20,12,False
2007-08-30,10,20,82,20,13,False
2007-08-31,3,20,72,31,7,False
2007-09-01,9,16,79,27,12,False
2007-09-02,6,15,75,31,13,False
2007-09-03,4,20,84,25,13,False
2007-09-04,10,22,72,23,17,False
2007-09-05,12,20,71,16,16,False
2007-09-06,8,18,75,19,13,False
2007-09-07,10,16,72,20,12,False
2007-09-08,3,16,80,18,16,False
2007-09-09,6,20,74,19,12,False
2007-09-10,9,15,75,18,12,False
2007-09-11,11,18,78,20,13,False
2007-09-12,10,21,83,21,12,False
2007-09-13,11,27,90,18,11,False
2007-09-14,11,20,85,23,12,False
2007-09-15,5,20,95,20,7,False
2007-09-16,11,16,87,28,9,False
2007-09-17,10,22,72,18,14,False
2007-09-18,11,27,90,15,17,False
2007-09-19,9,21,77,25,14,False
2007-09-20,10,16,70,22,15,False
2007-09-21,9,18,86,23,18,False
2007-09-22,5,21,77,28,12,False
2007-09-23,4,18,67,22,11,False
2007-09-24,9,23,73,23,12,False
2007-09-25,12,19,85,18,15,False
2007-09-26,10,19,78,25,20,False
2007-09-27,10,22,81,15,15,False
2007-09-28,9,20,85,21,14,False
2007-09-29,5,20,85,28,18,False
2007-09-30,11,23,88,24,11,False
2007-10-01,12,22,72,17,19,False
2007-10-02,15,16,82,23,19,False
2007-10-03,10,21,72,23,15,False
2007-10-04,10,18,81,19,13,False
2007-10-05,9,21,82,21,14,False
2007-10-06,8,16,77,26,15,False
2007-10-07,11,16,84,20,17,False
2007-10-08,8,19,75,18,15,False
2007-10-09,9,22,73,22,18,False
2007-10-10,9,15,81,20,16,False
2007-10-11,8,23,77,21,16,False
2007-10-12,10,24,81,19,13,False
2007-10-13,5,22,78,20,14,False
2007-10-14,9,21,76,25,15,False
2007-10-15,15,21,75,24,19,False
2007-10-16,7,25,80,18,15,False
2007-10-17,11,25,70,17,16,False
2007-10-18,9,21,85,25,15,False
2007-10-19,10,19,71,18,14,False
2007-10-20,4,20,72,26,12,False
2007-10-21,8,14,74,26,8,False
2007-10-22,7,24,74,18,17,False
2007-10-23,9,20,75,18,16,False
2007-10-24,10,24,80,25,13,False
2007-10-25,15,22,79,23,13,False
2007-10-26,8,20,88,20,12,False
2007-10-27,6,20,78,27,8,False
2007-10-28,7,21,87,30,14,False
2007-10-29,9,16,76,20,16,False
2007-10-30,11,22,76,16,15,False
2007-10-31,13,24,81,19,12,False
2007-11-01,11,21,77,20,12,False
2007-11-02,10,21,82,22,17,False
2007-11-03,5,21,92,25,16,False
2007-11-04,11,23,89,23,17,False
2007-11-05,9,25,77,17,21,False
2007-11-06,8,21,73,17,23,False
2007-11-07,9,19,80,19,16,False
2007-11-08,10,25,84,19,16,False
2007-11-09,11,19,75,21,11,False
2007-11-10,5,25,84,23,9,False
2007-11-11,8,23,94,25,11,False
2007-11-12,9,23,84,20,14,False
2007-11-13,11,23,75,19,27,False
2007-11-14,11,22,82,19,21,False
2007-11-15,9,23,79,20,18,False
2007-11-16,9,29,91,22,17,False
2007-11-17,5,23,96,24,13,False
2007-11-18,3,22,87,27,11,False
2007-11-19,10,23,77,23,19,False
2007-11-20,10,21,84,18,27,False
2007-11-21,8,21,80,24,13,False
2007-11-22,3,21,73,26,10,False
2007-11-23,6,22,76,23,8,False
2007-11-24,5,25,85,22,10,False
2007-11-25,6,26,87,20,12,False
2007-11-26,10,25,75,19,15,False
2007-11-27,11,25,84,22,24,False
2007-11-28,11,23,82,22,19,False
2007-11-29,8,21,82,26,20,False
2007-11-30,10,21,78,22,15,False
2007-12-01,6,21,90,26,13,False
2007-12-02,8,28,88,27,15,False
2007-12-03,10,17,83,18,19,False
2007-12-04,11,21,86,17,29,False
2007-12-05,5,29,74,23,24,False
2007-12-06,14,23,84,18,16,False
2007-12-07,8,25,83,20,16,False
2007-12-08,7,21,94,30,21,False
2007-12-09,7,18,88,25,15,False
2007-12-10,11,22,88,22,17,False
2007-12-11,12,25,81,21,25,False
2007-12-12,8,27,87,23,18,False
2007-12-13,11,23,86,22,15,False
2007-12-14,10,20,80,22,10,False
2007-12-15,7,19,83,30,12,False
2007-12-16,4,25,86,28,11,False
2007-12-17,12,24,83,22,13,False
2007-12-18,12,19,84,22,16,False
2007-12-19,10,23,71,18,13,False
2007-12-20,9,23,78,23,14,False
2007-12-21,8,20,76,25,10,False
2007-12-22,4,27,90,25,9,False
2007-12-23,3,19,79,28,8,False
2007-12-24,4,27,78,27,6,False
2007-12-25,5,25,74,30,7,False
2007-12-26,10,24,80,24,12,False
2007-12-27,9,23,89,23,10,False
2007-12-28,7,22,100,22,10,False
2007-12-29,4,19,88,19,7,False
2007-12-30,7,24,89,26,5,False
2007-12-31,7,21,95,25,11,False
2008-01-01,6,28,81,22,17,False
2008-01-02,10,21,81,20,16,False
2008-01-03,12,20,76,19,13,False
2008-01-04,10,19,80,16,14,False
2008-01-05,8,25,82,29,12,False
2008-01-06,7,23,87,22,7,False
2008-01-07,14,22,82,22,13,False
2008-01-08,10,23,77,17,27,False
